Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,65.000000,65.449997,63.790001,65.010002,59.353119,4319500
2016-02-02,63.830002,63.860001,62.820000,63.209999,57.709740,5195700
2016-02-03,63.660000,64.010002,59.860001,63.150002,57.654961,6036600
2016-02-04,63.000000,64.360001,62.840000,63.730000,58.184498,4308500
2016-02-05,63.919998,64.629997,62.639999,63.360001,57.846691,3507800
2016-02-08,62.330002,62.450001,60.099998,60.889999,55.591621,3878300
2016-02-09,60.040001,62.930000,59.750000,62.419998,56.988483,4424000
2016-02-10,62.919998,64.120003,62.180000,62.240002,56.824154,3186400
2016-02-11,59.709999,60.880001,58.740002,60.150002,55.271229,4823200
2016-02-12,61.209999,62.840000,60.619999,62.540001,57.467369,5528000
2016-02-16,63.709999,65.129997,63.080002,64.209999,59.001911,4309000
2016-02-17,64.959999,66.050003,64.870003,65.180000,59.893250,3806000
2016-02-18,65.480003,66.680000,65.180000,65.930000,60.582409,4272100
2016-02-19,65.500000,65.879997,64.760002,65.730003,60.398628,2456700
2016-02-22,66.440002,67.790001,66.400002,67.760002,62.263969,3007600
2016-02-23,67.610001,67.610001,65.320000,65.720001,60.389446,3487000
2016-02-24,64.769997,65.639999,63.450001,65.410004,60.104580,2894800
2016-02-25,65.760002,66.419998,64.870003,66.419998,61.032665,2642200
2016-02-26,66.730003,68.190002,66.639999,67.199997,61.749401,3105800
2016-02-29,66.930000,67.180000,65.699997,65.730003,60.398628,3404300
2016-03-01,66.669998,68.000000,66.150002,67.989998,62.475311,4131800
2016-03-02,68.019997,69.139999,67.739998,69.139999,63.532032,2397500
2016-03-03,68.970001,69.660004,68.690002,69.660004,64.009872,2444600
2016-03-04,69.809998,70.389999,68.959999,69.589996,63.945560,2939300
2016-03-07,68.940002,69.620003,68.779999,69.519997,63.881226,2002700
2016-03-08,68.849998,69.169998,68.010002,68.489998,62.934761,2713800
2016-03-09,69.040001,69.300003,68.250000,68.699997,63.127739,2508100
2016-03-10,69.180000,70.000000,68.120003,69.230003,63.614746,2155600
2016-03-11,70.190002,71.120003,70.010002,71.029999,65.268753,2358000
2016-03-14,70.779999,71.010002,69.730003,69.930000,64.257957,2550400
2016-03-15,69.290001,69.320000,68.309998,69.320000,63.697441,3395800
2016-03-16,69.209999,70.080002,68.849998,69.379997,63.752560,3274100
2016-03-17,69.050003,70.059998,68.589996,69.500000,63.862839,4067500
2016-03-18,69.820000,71.120003,69.529999,70.570000,64.846062,5089800
2016-03-21,70.309998,71.389999,70.080002,70.809998,65.066597,2381000
2016-03-22,70.279999,70.779999,69.949997,70.459999,64.744980,1904900
2016-03-23,70.519997,70.769997,70.000000,70.209999,64.515259,2603800
2016-03-24,69.440002,69.779999,68.879997,69.760002,64.101746,2090100
2016-03-28,69.809998,69.970001,68.959999,69.199997,63.587177,1884400
2016-03-29,68.830002,68.959999,67.580002,68.849998,63.265564,4411700
2016-03-30,69.300003,70.000000,69.040001,69.150002,63.541229,2050000
2016-03-31,69.150002,69.790001,68.980003,69.309998,63.688248,3222700
2016-04-01,69.730003,70.970001,69.260002,70.800003,65.057388,2894900
2016-04-04,70.589996,70.889999,69.720001,69.830002,64.166092,1617400
2016-04-05,68.099998,68.949997,67.790001,68.529999,62.971512,3455200
2016-04-06,68.010002,68.419998,67.199997,68.269997,62.732601,3215900
2016-04-07,67.660004,67.980003,66.099998,66.580002,61.179676,2842900
2016-04-08,67.029999,67.720001,66.410004,66.669998,61.262390,2259300
2016-04-11,66.830002,67.699997,66.730003,67.199997,61.749401,3626200
2016-04-12,67.550003,68.459999,67.410004,68.309998,62.769352,2862000
2016-04-13,69.000000,70.870003,68.980003,70.839996,65.094147,3366100
2016-04-14,70.660004,72.180000,70.480003,71.470001,65.673065,2871400
2016-04-15,71.720001,72.239998,71.050003,71.339996,65.553619,2862500
2016-04-18,70.889999,71.900002,70.550003,71.660004,65.847656,1765400
2016-04-19,71.959999,72.889999,71.459999,72.800003,66.895180,2349100
2016-04-20,73.349998,75.550003,73.309998,75.430000,69.311852,4921500
2016-04-21,75.250000,76.300003,74.690002,74.730003,68.668655,2962000
