Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,7.180000,7.500000,7.040000,7.460000,7.460000,8810800
2016-02-02,7.570000,7.710000,7.350000,7.460000,7.460000,12878200
2016-02-03,7.450000,7.790000,7.270000,7.730000,7.730000,12698800
2016-02-04,7.400000,7.640000,7.210000,7.360000,7.360000,15021000
2016-02-05,7.250000,7.560000,7.200000,7.400000,7.400000,9439900
2016-02-08,7.290000,7.400000,7.190000,7.370000,7.370000,9970700
2016-02-09,7.270000,7.540000,7.260000,7.390000,7.390000,8277700
2016-02-10,7.410000,7.580000,7.360000,7.490000,7.490000,7206800
2016-02-11,7.390000,7.490000,6.930000,6.990000,6.990000,10468400
2016-02-12,6.980000,7.120000,6.880000,6.990000,6.990000,8385400
2016-02-16,7.100000,7.480000,6.900000,7.420000,7.420000,12650700
2016-02-17,7.450000,7.840000,7.420000,7.830000,7.830000,14565700
2016-02-18,7.740000,7.830000,7.560000,7.630000,7.630000,12577700
2016-02-19,7.510000,7.530000,7.260000,7.320000,7.320000,13505100
2016-02-22,7.350000,7.450000,7.150000,7.400000,7.400000,12322700
2016-02-23,7.500000,7.740000,7.420000,7.550000,7.550000,10362100
2016-02-24,7.500000,7.730000,7.350000,7.700000,7.700000,10450800
2016-02-25,7.830000,8.470000,7.740000,8.360000,8.360000,32680600
2016-02-26,9.650000,9.710000,8.890000,9.590000,9.590000,65290500
2016-02-29,9.580000,10.230000,9.420000,10.200000,10.200000,38650600
2016-03-01,10.200000,10.280000,9.900000,10.180000,10.180000,20974300
2016-03-02,10.060000,10.610000,10.010000,10.580000,10.580000,17535300
2016-03-03,10.530000,10.920000,10.350000,10.840000,10.840000,20642600
2016-03-04,11.110000,11.490000,10.880000,11.210000,11.210000,35021900
2016-03-07,11.150000,11.860000,11.060000,11.680000,11.680000,25100300
2016-03-08,11.630000,11.990000,11.500000,11.860000,11.860000,19355500
2016-03-09,11.900000,11.920000,11.410000,11.510000,11.510000,16347200
2016-03-10,11.620000,11.780000,11.330000,11.550000,11.550000,12673000
2016-03-11,11.650000,11.700000,11.160000,11.220000,11.220000,14149200
2016-03-14,11.120000,11.720000,11.060000,11.480000,11.480000,15338500
2016-03-15,11.340000,11.400000,10.940000,11.190000,11.190000,13587000
2016-03-16,11.100000,11.250000,11.000000,11.230000,11.230000,8542700
2016-03-17,11.200000,11.610000,11.050000,11.520000,11.520000,8661300
2016-03-18,11.520000,11.850000,11.480000,11.570000,11.570000,12225600
2016-03-21,11.530000,11.730000,11.430000,11.530000,11.530000,5695500
2016-03-22,11.450000,11.510000,11.250000,11.260000,11.260000,8456200
2016-03-23,11.230000,11.280000,10.960000,10.960000,10.960000,10056800
2016-03-24,10.900000,10.930000,10.540000,10.910000,10.910000,11341500
2016-03-28,10.890000,11.350000,10.880000,11.220000,11.220000,8289200
2016-03-29,11.320000,11.460000,11.220000,11.430000,11.430000,11400800
2016-03-30,11.470000,11.500000,11.040000,11.220000,11.220000,12214700
2016-03-31,11.220000,11.300000,11.030000,11.060000,11.060000,8702100
2016-04-01,11.010000,11.130000,10.610000,10.630000,10.630000,12669900
2016-04-04,10.810000,10.990000,10.520000,10.540000,10.540000,12009800
