Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,2.130000,2.250000,2.040000,2.250000,2.250000,5133
2016-02-02,2.160000,2.160000,2.160000,2.160000,2.160000,3367
2016-02-03,2.250000,2.700000,2.229000,2.700000,2.700000,20000
2016-02-04,2.730000,2.820000,2.280000,2.280000,2.280000,13333
2016-02-05,2.400000,2.400000,2.310000,2.400000,2.400000,1733
2016-02-08,2.280000,2.334000,2.250000,2.334000,2.334000,12967
2016-02-09,2.415000,2.415000,2.310000,2.400000,2.400000,2767
2016-02-10,2.400000,2.400000,2.400000,2.400000,2.400000,0
2016-02-11,2.400000,2.400000,2.340000,2.340000,2.340000,4333
2016-02-12,2.430000,2.430000,2.400000,2.400000,2.400000,2367
2016-02-16,2.400000,2.460000,2.400000,2.460000,2.460000,5533
2016-02-17,2.460000,2.550000,2.460000,2.550000,2.550000,1667
2016-02-18,2.580000,2.580000,2.580000,2.580000,2.580000,33
2016-02-19,2.580000,2.700000,2.580000,2.580000,2.580000,9100
2016-02-22,2.550000,2.700000,2.460000,2.490000,2.490000,33433
2016-02-23,2.550000,2.760000,2.550000,2.700000,2.700000,25833
2016-02-24,2.670000,2.820000,2.625000,2.655000,2.655000,44233
2016-02-25,2.697000,2.910000,2.250000,2.325000,2.325000,96500
2016-02-26,2.490000,2.490000,2.340000,2.340000,2.340000,15933
2016-02-29,2.445000,2.445000,2.295000,2.355000,2.355000,14967
2016-03-01,2.400000,2.430000,2.220000,2.220000,2.220000,23733
2016-03-02,2.310000,2.310000,2.310000,2.310000,2.310000,667
2016-03-03,2.370000,2.370000,2.160000,2.205000,2.205000,22000
2016-03-04,2.205000,2.250000,2.190000,2.190000,2.190000,1367
2016-03-07,2.190000,2.250000,2.190000,2.250000,2.250000,7967
2016-03-08,2.250000,2.250000,2.220000,2.250000,2.250000,1333
2016-03-09,2.265000,2.340000,2.250000,2.310000,2.310000,8300
2016-03-10,2.310000,2.310000,2.310000,2.310000,2.310000,0
2016-03-11,2.394000,2.400000,2.394000,2.400000,2.400000,900
2016-03-14,2.400000,2.460000,2.400000,2.400000,2.400000,4600
2016-03-15,2.514000,2.514000,2.430000,2.430000,2.430000,1033
2016-03-16,2.430000,2.430000,2.430000,2.430000,2.430000,0
2016-03-17,2.337000,2.655000,2.337000,2.610000,2.610000,7033
2016-03-18,2.730000,2.745000,2.700000,2.745000,2.745000,68567
2016-03-21,2.640000,2.820000,2.610000,2.685000,2.685000,17333
2016-03-22,2.835000,2.988000,2.835000,2.850000,2.850000,27833
2016-03-23,2.850000,2.880000,2.700000,2.760000,2.760000,20767
2016-03-24,2.940000,3.000000,2.730000,2.850000,2.850000,6133
2016-03-28,2.760000,3.120000,2.700000,2.760000,2.760000,17400
2016-03-29,2.850000,2.940000,2.841000,2.880000,2.880000,5900
2016-03-30,2.895000,3.000000,2.895000,2.952000,2.952000,19667
2016-03-31,3.000000,4.200000,3.000000,3.900000,3.900000,55400
2016-04-01,4.140000,4.140000,3.840000,4.020000,4.020000,14667
2016-04-04,4.050000,4.050000,3.369000,3.750000,3.750000,20400
2016-04-05,3.750000,3.780000,3.630000,3.750000,3.750000,6200
2016-04-06,3.810000,3.990000,3.750000,3.990000,3.990000,7567
2016-04-07,3.780000,3.960000,3.750000,3.900000,3.900000,20033
2016-04-08,3.900000,4.170000,3.900000,3.900000,3.900000,6733
2016-04-11,3.915000,4.020000,3.900000,3.900000,3.900000,13633
2016-04-12,3.900000,4.200000,3.900000,4.050000,4.050000,21700
2016-04-13,4.170000,4.290000,3.990000,4.290000,4.290000,1867
2016-04-14,4.320000,4.350000,4.320000,4.350000,4.350000,1833
2016-04-15,4.350000,4.770000,4.290000,4.560000,4.560000,20333
2016-04-18,4.560000,4.800000,4.560000,4.740000,4.740000,5233
2016-04-19,4.740000,4.800000,4.650000,4.650000,4.650000,9833
2016-04-20,4.650000,4.650000,4.380000,4.560000,4.560000,7467
2016-04-21,4.650000,4.650000,4.500000,4.500000,4.500000,2300
2016-04-22,4.440000,4.440000,4.380000,4.380000,4.380000,1467
2016-04-25,4.500000,4.500000,4.470000,4.470000,4.470000,17933
2016-04-26,4.590000,4.800000,4.560000,4.770000,4.770000,5333
2016-04-27,4.770000,4.800000,4.770000,4.770000,4.770000,6133
2016-04-28,4.770000,5.460000,4.770000,5.100000,5.100000,8167
2016-04-29,5.400000,5.400000,5.010000,5.400000,5.400000,26433
2016-05-02,5.400000,5.400000,5.190000,5.310000,5.310000,9133
2016-05-03,5.310000,5.370000,5.310000,5.370000,5.370000,1600
2016-05-04,5.250000,5.310000,5.010000,5.160000,5.160000,4067
