Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,39.130001,39.419998,38.779999,39.230000,34.462101,2326600
2016-02-02,38.450001,38.450001,37.299999,37.509998,32.951141,3308100
2016-02-03,38.000000,38.189999,36.230000,37.509998,32.951141,3807300
2016-02-04,37.060001,37.630001,35.220001,35.910000,31.545605,4308100
2016-02-05,35.900002,36.849998,35.520000,35.779999,31.431406,3626900
2016-02-08,34.900002,34.959999,33.029999,33.400002,29.340664,3933500
2016-02-09,32.610001,33.970001,32.470001,33.799999,29.692051,4549200
2016-02-10,34.139999,35.029999,34.040001,34.279999,30.113718,3435200
2016-02-11,33.009998,33.040001,30.389999,30.780001,27.039089,5278900
2016-02-12,31.620001,32.990002,31.500000,32.650002,28.681822,2882900
2016-02-16,33.380001,34.240002,32.889999,33.919998,29.797462,3664700
2016-02-17,34.400002,36.099998,34.380001,35.880001,31.519243,4814000
2016-02-18,35.840000,36.090000,35.560001,35.919998,31.554382,3835600
2016-02-19,35.570000,35.990002,35.290001,35.959999,31.589523,2430200
2016-02-22,36.720001,38.150002,36.509998,36.720001,32.257156,2769900
2016-02-23,36.470001,36.730000,35.330002,35.869999,31.510458,2775300
2016-02-24,35.020000,35.639999,34.160000,35.500000,31.185432,2479300
2016-02-25,35.330002,36.400002,35.270000,36.400002,31.976051,2007000
2016-02-26,36.759998,38.090000,36.759998,37.509998,32.951141,3454400
2016-02-29,37.380001,37.500000,36.529999,36.529999,32.090248,2350800
2016-03-01,36.910000,38.950001,36.910000,38.889999,34.163422,3042900
2016-03-02,38.880001,39.830002,38.639999,39.240002,34.470886,3015500
2016-03-03,39.169998,40.000000,39.009998,39.799999,34.962822,1879700
2016-03-04,40.119999,40.470001,39.049999,39.529999,34.725636,3370500
2016-03-07,39.240002,39.840000,39.029999,39.439999,34.646580,2488900
2016-03-08,38.580002,39.180000,37.419998,38.049999,33.425514,2900200
2016-03-09,38.490002,38.740002,37.630001,38.110001,33.478222,2676100
2016-03-10,38.470001,39.060001,37.580002,38.130001,33.495800,2274700
2016-03-11,38.880001,40.110001,38.799999,40.060001,35.191227,3181800
2016-03-14,39.759998,40.669998,39.660000,40.389999,35.481117,2800200
2016-03-15,39.840000,40.029999,39.369999,39.939999,35.085800,2005500
2016-03-16,39.869999,40.900002,39.680000,40.290001,35.393276,2861200
2016-03-17,40.020000,41.160000,39.740002,40.849998,35.885212,1911400
2016-03-18,41.049999,41.959999,40.930000,41.669998,36.605537,4422600
2016-03-21,41.439999,42.060001,41.000000,41.470001,36.429855,2024200
2016-03-22,40.919998,41.410000,40.689999,41.139999,36.139969,1776800
2016-03-23,41.040001,41.169998,40.220001,40.320000,35.419621,1866200
2016-03-24,39.169998,39.619999,38.580002,39.270000,34.497242,2997200
2016-03-28,39.560001,40.049999,39.279999,39.869999,35.024319,1568000
2016-03-29,39.500000,39.709999,38.919998,39.590000,34.778347,1676300
2016-03-30,39.980000,41.230000,39.560001,39.970001,35.112164,2721200
2016-03-31,39.889999,40.130001,38.939999,39.200001,34.435745,2977800
2016-04-01,39.049999,39.860001,38.380001,39.810001,34.971611,2555700
2016-04-04,39.750000,40.060001,39.340000,39.470001,34.672935,1882900
2016-04-05,38.970001,39.090000,38.490002,38.580002,33.891102,2178100
2016-04-06,39.000000,39.580002,38.330002,38.650002,33.952599,3553200
2016-04-07,38.220001,38.669998,37.119999,37.369999,33.041885,2977600
2016-04-08,37.980000,38.220001,37.369999,37.520000,33.174511,2207500
2016-04-11,37.820000,38.790001,37.790001,38.259998,33.828800,2054100
2016-04-12,38.490002,39.340000,38.279999,39.270000,34.721832,2260100
2016-04-13,39.880001,41.110001,39.759998,40.990002,36.242626,2057000
2016-04-14,40.889999,41.450001,40.490002,40.990002,36.242626,2436400
2016-04-15,40.930000,40.930000,40.389999,40.700001,35.986210,1352300
2016-04-18,40.480000,41.049999,40.250000,41.020000,36.269157,1155100
2016-04-19,41.130001,41.849998,41.119999,41.779999,36.941124,1423800
2016-04-20,42.020000,43.389999,41.820000,43.209999,38.205509,2210300
2016-04-21,43.299999,43.810001,43.270000,43.540001,38.497295,2851800
2016-04-22,43.759998,44.720001,43.580002,44.340000,39.204636,2134000
2016-04-25,44.000000,44.189999,43.160000,43.790001,38.718338,1686500
2016-04-26,44.049999,44.509998,43.869999,44.500000,39.346107,1317800
2016-04-27,44.209999,44.799999,44.080002,44.630001,39.461052,1995600
2016-04-28,43.950001,44.419998,43.599998,43.730000,38.665283,1769700
2016-04-29,43.529999,44.139999,43.009998,43.450001,38.417717,2983700
2016-05-02,43.560001,44.209999,43.040001,44.130001,39.018959,1659700
2016-05-03,43.160000,43.220001,42.270000,43.160000,38.161297,2274000
2016-05-04,42.150002,42.799999,41.950001,42.639999,37.701530,2413900
2016-05-05,40.650002,41.790001,40.160000,40.869999,36.136524,5402300
2016-05-06,40.450001,41.740002,40.299999,41.419998,36.622822,3622600
2016-05-09,41.430000,41.880001,41.230000,41.599998,36.781975,2713300
2016-05-10,41.939999,43.299999,41.840000,42.990002,38.010994,2832400
2016-05-11,42.889999,43.959999,42.779999,42.950001,37.975620,3219700
2016-05-12,43.520000,43.889999,42.439999,43.040001,38.055199,3063600
2016-05-13,42.910000,43.799999,42.509998,42.590000,37.657322,3238000
2016-05-16,42.720001,43.570000,42.549999,43.139999,38.143612,1912000
2016-05-17,43.020000,43.970001,42.900002,43.279999,38.267399,1943200
2016-05-18,43.310001,45.570000,43.310001,45.070000,39.850082,2924100
2016-05-19,44.770000,45.279999,43.919998,44.380001,39.240005,2499400
2016-05-20,44.740002,45.500000,44.480000,44.590000,39.425678,2325700
2016-05-23,44.410000,44.740002,44.119999,44.259998,39.133892,2684900
2016-05-24,44.689999,45.340000,44.470001,45.009998,39.797035,3871500
2016-05-25,45.369999,46.430000,45.369999,45.840000,40.530907,2303900
2016-05-26,45.820000,45.910000,45.110001,45.270000,40.026920,2073100
2016-05-27,45.520000,46.160000,44.810001,46.160000,40.813854,1517900
2016-05-31,46.490002,46.689999,45.430000,45.849998,40.539749,2871500
2016-06-01,45.310001,45.869999,44.369999,45.709999,40.415966,2234100
2016-06-02,45.480000,46.049999,45.279999,46.049999,40.716587,1964400
2016-06-03,45.060001,45.060001,43.750000,44.430000,39.284218,3358000
2016-06-06,44.549999,45.669998,44.450001,45.490002,40.221447,1660200
2016-06-07,45.439999,45.889999,44.860001,45.500000,40.230297,2029600
2016-06-08,45.389999,46.090000,44.720001,45.650002,40.362919,1654100
2016-06-09,45.180000,45.220001,44.200001,44.330002,39.195789,2158800
2016-06-10,43.500000,43.570000,42.869999,43.040001,38.055199,2676600
2016-06-13,42.650002,43.349998,42.380001,42.830002,37.869522,3277900
2016-06-14,42.650002,43.160000,41.860001,42.070000,37.197544,2484200
2016-06-15,42.369999,43.029999,41.950001,42.009998,37.144493,1960200
2016-06-16,41.470001,41.990002,40.970001,41.950001,37.091442,2389200
2016-06-17,42.049999,42.470001,41.709999,42.110001,37.232914,2106600
2016-06-20,43.090000,43.580002,42.560001,42.599998,37.666157,1728900
2016-06-21,42.779999,42.930000,42.169998,42.580002,37.648479,1553700
2016-06-22,42.700001,43.200001,42.599998,42.660000,37.719215,1494800
2016-06-23,43.590000,44.369999,43.509998,44.369999,39.231171,1602600
2016-06-24,41.060001,41.900002,38.439999,38.470001,34.014488,5033100
2016-06-27,37.529999,37.619999,35.270000,35.500000,31.388462,4410100
2016-06-28,36.470001,36.869999,36.009998,36.770000,32.511387,3307100
2016-06-29,36.889999,38.000000,36.320000,37.939999,33.545868,3905100
2016-06-30,38.090000,38.770000,37.549999,38.770000,34.279739,3689700
2016-07-01,37.639999,39.060001,37.639999,38.750000,34.262054,3397100
2016-07-05,37.900002,38.230000,36.570000,37.099998,32.803162,3188300
2016-07-06,36.610001,37.630001,36.000000,37.610001,33.254089,3957200
2016-07-07,37.549999,38.680000,36.959999,37.490002,33.369804,5069900
2016-07-08,38.380001,39.299999,38.360001,38.880001,34.607040,3214300
2016-07-11,39.299999,39.759998,38.930000,39.549999,35.203407,2863400
2016-07-12,40.360001,41.779999,40.259998,41.389999,36.841183,3654900
2016-07-13,41.139999,41.389999,40.230000,40.959999,36.458443,2524300
2016-07-14,42.169998,42.959999,41.759998,42.869999,38.158531,3835000
2016-07-15,43.029999,43.340000,42.130001,42.689999,37.998318,2943200
2016-07-18,42.480000,43.490002,42.270000,43.220001,38.470070,1720600
2016-07-19,42.779999,43.369999,42.619999,43.310001,38.550179,1436900
2016-07-20,43.509998,43.660000,42.930000,43.430000,38.656982,1627100
2016-07-21,43.549999,43.810001,43.180000,43.320000,38.559082,1793600
2016-07-22,43.450001,43.509998,42.959999,43.450001,38.674797,1280300
2016-07-25,43.360001,43.400002,43.040001,43.220001,38.470070,1178800
2016-07-26,43.049999,43.750000,43.009998,43.700001,38.897320,1072300
2016-07-27,43.700001,43.919998,43.099998,43.369999,38.603577,1926800
2016-07-28,43.340000,43.790001,42.840000,43.709999,38.906216,1282600
2016-07-29,43.369999,43.860001,43.209999,43.669998,38.870609,1237700
2016-08-01,43.840000,43.910000,43.000000,43.270000,38.514584,1307100
2016-08-02,43.240002,43.630001,42.240002,42.810001,38.105129,2531000
2016-08-03,42.910000,44.849998,42.849998,44.799999,39.876423,2862600
2016-08-04,44.209999,44.349998,42.750000,43.000000,38.274250,3031300
2016-08-05,43.840000,45.869999,43.540001,45.509998,40.508396,3392000
2016-08-08,45.790001,46.400002,45.540001,46.139999,41.069157,1685400
2016-08-09,46.189999,46.459999,45.849998,46.110001,41.042454,1872500
2016-08-10,45.990002,46.009998,45.080002,45.130001,40.170158,2362900
2016-08-11,45.270000,45.860001,45.099998,45.660000,40.641914,1690600
2016-08-12,45.009998,45.340000,44.680000,45.220001,40.250263,1093800
2016-08-15,45.590000,46.139999,45.590000,46.080002,41.015751,1095400
2016-08-16,45.950001,46.450001,45.810001,46.099998,41.033558,1477700
2016-08-17,46.049999,46.330002,45.919998,46.189999,41.113655,1626500
2016-08-18,46.090000,46.180000,45.389999,45.630001,40.615204,2258600
2016-08-19,45.410000,45.980000,45.320000,45.849998,40.811028,1501800
2016-08-22,45.320000,45.750000,45.270000,45.650002,40.633007,1333800
2016-08-23,45.959999,46.450001,45.900002,45.919998,40.873329,1394500
2016-08-24,46.169998,46.400002,45.799999,45.910000,40.864437,1344800
2016-08-25,45.779999,46.459999,45.779999,46.430000,41.327290,1384100
2016-08-26,46.590000,47.279999,46.200001,46.580002,41.460808,1604500
2016-08-29,46.619999,47.599998,46.619999,47.209999,42.021561,1266800
2016-08-30,47.209999,48.259998,47.209999,48.080002,42.795952,1732300
2016-08-31,48.110001,48.480000,47.400002,48.029999,42.751450,2037500
2016-09-01,48.200001,48.470001,46.980000,47.439999,42.226288,1662300
2016-09-02,47.750000,48.240002,47.400002,48.060001,42.778149,1615700
2016-09-06,47.990002,47.990002,46.560001,47.000000,41.834644,1576800
2016-09-07,46.849998,47.070000,46.470001,46.930000,41.772343,1283400
2016-09-08,47.090000,47.259998,46.689999,47.139999,41.959259,1468500
2016-09-09,47.080002,48.139999,46.959999,46.970001,41.807941,1960300
2016-09-12,46.459999,47.520000,45.750000,47.259998,42.066063,2045200
2016-09-13,46.529999,47.320000,46.299999,47.110001,41.932552,2957300
2016-09-14,47.110001,47.250000,46.270000,46.820000,41.674431,2313400
2016-09-15,46.799999,47.799999,46.689999,47.590000,42.359798,1657700
2016-09-16,47.110001,47.160000,46.139999,46.259998,41.175972,3143500
2016-09-19,46.660000,47.139999,46.240002,46.490002,41.380688,1418000
2016-09-20,46.930000,46.990002,46.299999,46.410000,41.309483,1422400
2016-09-21,46.840000,47.299999,46.450001,47.160000,41.977058,2054600
2016-09-22,47.369999,47.520000,46.349998,46.650002,41.523113,1985400
2016-09-23,46.259998,46.950001,46.029999,46.299999,41.211575,1483400
2016-09-26,45.560001,45.939999,45.250000,45.520000,40.517300,1439600
2016-09-27,45.220001,46.169998,44.740002,46.049999,40.989048,1240800
2016-09-28,46.240002,46.610001,45.669998,46.570000,41.451904,1449800
2016-09-29,46.540001,47.040001,45.580002,45.869999,40.828823,1252200
2016-09-30,46.389999,47.330002,45.939999,46.980000,41.816841,1633400
2016-10-03,46.709999,47.410000,46.619999,47.150002,41.968159,1297500
2016-10-04,47.450001,48.369999,47.290001,47.799999,42.546722,2091900
2016-10-05,47.939999,49.259998,47.770000,49.080002,43.915730,2638000
2016-10-06,49.730000,50.000000,48.720001,49.200001,44.023102,1856500
2016-10-07,49.299999,49.299999,48.290001,48.660000,43.539928,1310000
2016-10-10,49.139999,49.590000,49.070000,49.279999,44.094681,1043000
