Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,44.360001,45.299999,43.950001,45.090000,34.750061,147400
2016-02-02,44.939999,45.330002,44.509998,45.259998,34.881081,216100
2016-02-03,45.490002,46.189999,45.290001,45.959999,35.420555,206100
2016-02-04,45.790001,46.290001,45.279999,46.160000,35.574688,181400
2016-02-05,46.270000,46.270000,45.810001,45.980000,35.435974,197800
2016-02-08,45.639999,45.970001,44.889999,45.759998,35.266426,249400
2016-02-09,45.320000,45.639999,43.860001,43.930000,33.856083,523400
2016-02-10,44.060001,44.200001,42.150002,42.180000,32.507381,419800
2016-02-11,41.619999,41.939999,40.549999,41.119999,31.690464,583000
2016-02-12,41.360001,42.070000,41.250000,41.889999,32.283878,283100
2016-02-16,42.230000,42.759998,41.950001,42.400002,32.676926,212400
2016-02-17,42.389999,42.919998,42.119999,42.279999,32.723373,191200
2016-02-18,42.279999,43.240002,42.139999,43.240002,33.466370,192900
2016-02-19,43.180000,43.590000,42.959999,43.130001,33.381241,260500
2016-02-22,43.130001,43.820000,42.279999,43.119999,33.373512,250700
2016-02-23,43.230000,43.880001,42.820000,43.000000,33.280628,188300
2016-02-24,42.810001,43.540001,42.630001,43.400002,33.590210,196600
2016-02-25,43.660000,44.349998,43.400002,44.320000,34.302261,236800
2016-02-26,44.310001,44.580002,43.860001,43.990002,34.046856,191900
2016-02-29,44.009998,45.310001,43.730000,44.439999,34.395142,379500
2016-03-01,44.610001,45.009998,44.459999,44.880001,34.735683,283900
2016-03-02,44.610001,45.029999,44.400002,44.990002,34.820816,326000
2016-03-03,45.080002,45.160000,44.330002,44.650002,34.557678,211100
2016-03-04,44.630001,44.709999,44.000000,44.549999,34.480270,514000
2016-03-07,44.520000,44.849998,44.209999,44.779999,34.658298,234400
2016-03-08,44.660000,45.099998,44.250000,44.340000,34.317745,294900
2016-03-09,44.419998,44.709999,44.279999,44.450001,34.402893,273000
2016-03-10,44.610001,44.990002,43.520000,44.020000,34.070072,237800
2016-03-11,44.430000,44.939999,44.389999,44.790001,34.666039,172700
2016-03-14,44.790001,44.970001,44.560001,44.790001,34.666039,104700
2016-03-15,44.570000,45.029999,44.419998,44.639999,34.549934,122100
2016-03-16,44.410000,44.689999,44.070000,44.650002,34.557678,222200
2016-03-17,44.490002,45.240002,44.389999,45.000000,34.828571,375200
2016-03-18,45.189999,45.189999,44.619999,44.820000,34.689243,741200
2016-03-21,44.520000,45.009998,44.189999,44.330002,34.448357,171900
2016-03-22,44.040001,44.669998,44.000000,44.570000,34.634872,239200
2016-03-23,44.570000,44.810001,44.080002,44.369999,34.479431,241300
2016-03-24,44.099998,44.500000,43.700001,44.490002,34.572689,257200
2016-03-28,44.549999,44.689999,44.310001,44.529999,34.603764,256700
2016-03-29,44.360001,45.759998,44.340000,45.660000,35.481865,282700
2016-03-30,45.790001,45.790001,45.090000,45.099998,35.046703,179700
2016-03-31,45.080002,45.500000,44.650002,45.240002,35.155502,453200
2016-04-01,45.119999,45.630001,44.900002,45.520000,35.373089,195900
2016-04-04,45.590000,46.230000,45.590000,46.099998,35.823788,259300
2016-04-05,45.990002,46.080002,45.480000,45.750000,35.551830,172000
2016-04-06,45.680000,45.939999,45.419998,45.689999,35.505199,199800
2016-04-07,45.509998,45.689999,45.200001,45.520000,35.373089,198600
2016-04-08,45.689999,45.919998,45.580002,45.740002,35.544056,153800
2016-04-11,45.869999,46.830002,45.820000,46.279999,35.963665,168700
2016-04-12,46.349998,46.900002,46.349998,46.509998,36.142395,124600
2016-04-13,46.660000,46.689999,46.169998,46.520000,36.150181,135400
2016-04-14,46.560001,46.639999,46.150002,46.450001,36.095795,90900
2016-04-15,46.480000,47.130001,46.259998,46.900002,36.445469,147200
2016-04-18,46.980000,47.200001,46.720001,47.020000,36.538719,114100
2016-04-19,46.910000,47.189999,46.700001,47.029999,36.686932,103900
2016-04-20,47.009998,47.009998,46.090000,46.090000,35.953671,114500
2016-04-21,46.090000,46.230000,45.270000,45.509998,35.501232,159400
2016-04-22,45.590000,46.279999,45.529999,46.209999,36.047268,168900
2016-04-25,46.169998,46.520000,46.070000,46.509998,36.281292,109600
2016-04-26,46.590000,47.110001,46.470001,46.830002,36.530926,128800
2016-04-27,46.740002,47.169998,46.490002,47.099998,36.741554,117500
2016-04-28,46.849998,47.049999,46.689999,46.919998,36.601135,114600
2016-04-29,46.799999,47.119999,46.060001,46.389999,36.187679,144600
2016-05-02,46.389999,47.330002,46.389999,47.180000,36.803951,133700
2016-05-03,47.000000,48.020000,47.000000,47.520000,37.069157,163000
2016-05-04,47.419998,48.680000,47.419998,48.279999,37.662033,198100
2016-05-05,48.369999,48.459999,48.060001,48.119999,37.537212,167900
2016-05-06,47.860001,48.480000,47.580002,48.459999,37.802444,337000
2016-05-09,48.680000,48.759998,48.230000,48.369999,37.732224,416900
2016-05-10,48.369999,48.400002,47.930000,48.139999,37.552830,221900
2016-05-11,48.130001,48.130001,47.119999,47.849998,37.326599,214200
2016-05-12,47.930000,48.150002,47.279999,48.009998,37.451412,272400
2016-05-13,47.840000,48.200001,47.290001,47.990002,37.435810,209500
2016-05-16,47.959999,48.349998,47.730000,48.090000,37.513813,255400
2016-05-17,47.970001,48.119999,46.770000,47.150002,36.780556,185100
2016-05-18,46.959999,47.270000,46.119999,46.509998,36.281292,191000
2016-05-19,45.980000,46.040001,45.330002,45.630001,35.733131,209200
2016-05-20,45.790001,46.220001,45.630001,46.020000,36.038540,213300
2016-05-23,46.189999,46.389999,45.860001,45.889999,35.936729,252900
2016-05-24,46.130001,46.450001,46.020000,46.270000,36.234303,303000
2016-05-25,46.299999,46.340000,45.790001,46.200001,36.179485,156400
2016-05-26,46.259998,46.490002,45.910000,46.340000,36.289120,151500
2016-05-27,46.369999,46.810001,46.349998,46.700001,36.571026,159500
2016-05-31,46.790001,46.799999,46.150002,46.619999,36.508408,399800
2016-06-01,46.599998,46.900002,46.599998,46.869999,36.704178,241100
2016-06-02,46.869999,47.049999,46.549999,47.000000,36.805984,203800
2016-06-03,47.380001,47.380001,47.000000,47.310001,37.048748,203400
2016-06-06,47.279999,47.570000,46.799999,47.340000,37.072243,188200
2016-06-07,47.299999,48.139999,47.299999,48.119999,37.683052,185500
2016-06-08,48.180000,49.119999,47.889999,48.919998,38.309536,268700
2016-06-09,49.040001,49.540001,48.680000,49.049999,38.411339,385700
2016-06-10,49.099998,49.599998,49.049999,49.290001,38.599293,326900
2016-06-13,49.009998,49.869999,49.009998,49.349998,38.646275,162300
2016-06-14,49.360001,49.549999,49.099998,49.310001,38.614960,157000
2016-06-15,49.389999,50.139999,49.389999,49.790001,38.990852,587900
2016-06-16,49.759998,50.009998,49.590000,49.889999,39.069153,314300
2016-06-17,49.630001,49.630001,48.610001,49.299999,38.607117,767000
2016-06-20,49.299999,49.830002,49.200001,49.470001,38.882206,280500
2016-06-21,49.669998,49.900002,49.470001,49.720001,39.078716,245400
2016-06-22,49.740002,49.840000,49.330002,49.340000,38.780025,177000
2016-06-23,49.380001,49.889999,49.369999,49.790001,39.133724,246000
2016-06-24,48.750000,50.599998,48.660000,49.919998,39.235897,942400
2016-06-27,49.880001,50.630001,49.490002,50.320000,39.550282,256600
2016-06-28,50.520000,51.060001,50.230000,50.810001,39.935429,198100
2016-06-29,50.099998,50.970001,50.000000,50.900002,40.006165,349100
2016-06-30,51.099998,51.740002,50.520000,51.730000,40.658520,386000
2016-07-01,51.970001,52.320000,51.730000,52.049999,40.910038,211500
2016-07-05,52.189999,52.590000,52.060001,52.580002,41.326595,167400
2016-07-06,52.599998,52.680000,52.310001,52.410000,41.192978,122700
2016-07-07,52.480000,52.480000,51.459999,51.580002,40.540634,194200
2016-07-08,51.820000,52.610001,51.680000,52.540001,41.295162,250700
2016-07-11,52.590000,53.090000,52.130001,53.040001,41.688141,137200
2016-07-12,52.849998,53.220001,52.439999,52.889999,41.570263,242500
2016-07-13,52.930000,53.360001,52.759998,53.360001,41.939651,211300
2016-07-14,53.110001,53.360001,52.549999,52.590000,41.334457,208800
2016-07-15,52.560001,52.720001,52.110001,52.669998,41.397350,219100
