Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,301.399994,318.000000,301.399994,310.000000,289.442566,266727
2016-02-02,303.899994,313.899994,296.000000,297.000000,277.304626,188999
2016-02-03,300.000000,301.700012,284.799988,288.100006,268.994812,205314
2016-02-04,280.799988,300.223999,278.600006,298.000000,278.238312,152556
2016-02-05,293.299988,298.500000,275.000000,275.000000,256.763489,404251
2016-02-08,275.000000,286.000000,266.018005,269.100006,251.254822,469226
2016-02-09,275.000000,275.000000,258.407013,264.600006,247.053253,1516054
2016-02-10,270.000000,288.600006,265.000000,285.000000,266.100372,2165031
2016-02-11,289.500000,289.500000,276.290009,280.700012,262.085541,416733
2016-02-12,273.500000,284.399994,273.500000,283.299988,264.513123,189614
2016-02-15,290.100006,294.264008,281.851990,285.500000,266.567230,262944
2016-02-16,278.600006,288.959991,278.600006,282.600006,263.859589,104120
2016-02-17,285.799988,295.600006,279.799988,295.200012,275.623962,106680
2016-02-18,286.799988,294.401001,286.799988,289.799988,270.582123,130182
2016-02-19,287.000000,292.799988,287.000000,288.200012,269.088196,84096
2016-02-22,288.000000,295.634003,288.000000,289.799988,270.582123,570269
2016-02-23,295.799988,295.799988,288.000000,288.799988,269.648376,138596
2016-02-24,282.100006,295.122986,282.100006,288.000000,268.901489,138703
2016-02-25,286.000000,297.600006,286.000000,288.500000,269.368286,79990
2016-02-26,289.600006,291.148987,288.000000,288.000000,268.901489,106558
2016-02-29,288.000000,297.200012,288.000000,293.899994,274.410187,146456
2016-03-01,300.700012,300.700012,284.246002,290.299988,271.048889,118759
2016-03-02,290.399994,292.000000,290.000000,290.500000,271.235626,178072
2016-03-03,290.000000,297.700012,289.000000,296.000000,276.370972,158770
2016-03-04,296.000000,296.000000,291.200012,293.000000,273.569916,99539
2016-03-07,301.000000,305.799988,294.200012,300.000000,280.105682,705187
2016-03-08,297.600006,302.299988,296.899994,300.000000,280.105682,225619
2016-03-09,294.600006,307.899994,294.600006,300.399994,280.479156,548743
2016-03-10,294.299988,305.864014,294.299988,301.500000,281.506226,925663
2016-03-11,308.000000,337.299988,308.000000,331.700012,309.703491,1077241
2016-03-14,340.000000,340.799988,331.929993,334.399994,312.224396,1070865
2016-03-15,326.000000,331.243011,319.600006,325.500000,303.914642,233899
2016-03-16,325.200012,329.600006,323.799988,329.000000,307.182556,263270
2016-03-17,329.500000,347.200012,329.500000,347.200012,324.175659,555401
2016-03-18,348.100006,350.200012,338.570007,350.200012,326.976685,414305
2016-03-21,338.500000,350.799988,338.500000,350.799988,327.536896,265539
2016-03-22,341.899994,350.700012,341.899994,350.600006,327.350189,343405
2016-03-23,341.700012,353.200012,341.700012,351.100006,327.817047,146506
2016-03-24,345.299988,351.399994,341.660004,346.700012,323.708801,200804
2016-03-29,339.899994,349.399994,339.899994,349.399994,326.229736,106123
2016-03-30,354.000000,357.299988,351.000000,357.299988,333.605835,120945
2016-03-31,355.600006,356.700012,349.600006,356.000000,332.392120,494870
2016-04-01,346.700012,357.404999,346.700012,355.000000,331.458405,131422
2016-04-04,357.299988,357.309998,343.399994,343.399994,320.627625,219251
2016-04-05,349.500000,352.500000,342.799988,343.000000,320.254181,171370
2016-04-06,342.799988,345.000000,335.399994,338.700012,316.239319,98840
2016-04-07,346.399994,346.399994,335.899994,337.500000,315.118866,157130
2016-04-08,335.399994,340.700012,334.270996,336.899994,314.558685,381808
2016-04-11,341.000000,341.000000,325.097992,333.000000,310.917297,158760
2016-04-12,331.200012,338.299988,328.700012,336.799988,314.465271,174820
2016-04-13,328.200012,342.399994,328.200012,340.500000,317.919922,629133
2016-04-14,342.399994,342.399994,338.000000,340.100006,317.546478,99360
2016-04-15,339.600006,342.399994,333.809998,335.000000,312.784668,253184
2016-04-18,342.200012,342.299988,332.631989,341.100006,318.480194,121228
2016-04-19,332.600006,340.399994,332.600006,336.100006,313.811737,110069
2016-04-20,329.100006,337.700012,329.100006,332.000000,309.983643,153650
2016-04-21,331.899994,331.899994,323.600006,328.500000,306.715668,113591
2016-04-22,326.000000,333.600006,326.000000,328.100006,306.342285,222825
2016-04-25,336.200012,336.700012,328.480011,330.700012,308.769806,90788
2016-04-26,326.500000,333.000000,322.500000,326.000000,304.381500,227211
2016-04-27,332.600006,332.600006,326.000000,329.000000,307.182556,131045
2016-04-28,322.200012,332.299988,322.200012,331.299988,309.330048,158951
2016-04-29,329.200012,329.200012,316.563995,321.200012,299.899841,131661
