,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,9.44,9.48,9.22,9.43,7.658484,4813500
1,2016-01-05,9.47,9.59,9.28,9.56,7.764061,4393800
2,2016-01-06,9.4,9.48,9.2,9.23,7.496054,4588100
3,2016-01-07,9.09,9.2,8.99,9.0,7.309262,7402900
4,2016-01-08,9.01,9.2,8.78,9.13,7.414841,8175600
5,2016-01-11,9.12,9.22,8.81,9.03,7.333628,7406300
6,2016-01-12,9.1,9.11,8.68,8.75,7.106226,6157100
7,2016-01-13,8.8,9.08,8.57,8.64,7.016891,8486900
8,2016-01-14,8.66,8.89,8.51,8.85,7.187441,10538000
9,2016-01-15,8.63,8.65,8.32,8.54,6.935678,8596100
10,2016-01-19,8.64,8.82,8.43,8.72,7.081864,8836700
11,2016-01-20,8.6,8.7,8.22,8.62,7.000651,9920300
12,2016-01-21,8.64,9.27,8.59,9.11,7.398596,10491700
13,2016-01-22,9.28,9.39,9.07,9.17,7.447326,5393900
14,2016-01-25,9.13,9.19,8.74,8.74,7.098106,7285300
15,2016-01-26,8.81,9.1,8.77,9.04,7.34175,4372000
16,2016-01-27,9.04,9.21,8.96,9.08,7.374233,4714200
17,2016-01-28,9.22,9.34,9.09,9.16,7.439205,5352200
18,2016-01-29,9.12,9.51,9.11,9.5,7.809114,11456200
19,2016-02-01,9.47,9.54,9.3,9.46,7.776231,6064600
20,2016-02-02,9.36,9.49,9.27,9.29,7.636488,7765200
21,2016-02-03,9.41,9.79,9.36,9.75,8.014613,9212100
22,2016-02-04,9.7,10.11,9.7,9.8,8.055713,8354700
23,2016-02-05,9.54,9.97,9.54,9.75,8.014613,8137700
24,2016-02-08,9.68,9.71,9.32,9.44,7.759791,6015300
25,2016-02-09,9.33,9.64,9.2,9.51,7.817331,5530300
26,2016-02-10,9.5,9.62,9.25,9.53,7.83377,4248700
27,2016-02-11,9.38,9.4,8.97,9.0,7.398102,8645900
28,2016-02-12,9.01,9.19,8.88,9.17,7.537846,6144600
29,2016-02-16,9.28,9.46,9.2,9.38,7.710469,4704600
30,2016-02-17,9.44,9.74,9.38,9.62,7.907752,6398100
31,2016-02-18,9.64,9.76,9.5,9.7,7.97351,4311100
32,2016-02-19,9.64,9.64,9.34,9.41,7.735128,4271100
33,2016-02-22,9.66,9.8,9.53,9.79,8.047494,4768200
34,2016-02-23,9.71,9.79,9.51,9.58,7.874874,4175100
35,2016-02-24,9.5,10.14,9.32,10.03,8.244779,7188700
36,2016-02-25,10.03,10.08,9.52,9.97,8.195456,6824300
37,2016-02-26,10.01,10.14,9.8,9.87,8.113254,4623500
38,2016-02-29,9.85,9.97,9.78,9.8,8.055713,4281200
39,2016-03-01,9.83,10.17,9.76,10.12,8.31876,5069600
40,2016-03-02,10.06,10.29,9.94,10.28,8.450279,4193600
41,2016-03-03,10.29,10.46,10.09,10.45,8.590022,4893400
42,2016-03-04,10.43,10.82,10.27,10.79,8.869505,6368500
43,2016-03-07,10.74,10.99,10.68,10.89,8.951706,6156000
44,2016-03-08,10.85,10.87,10.58,10.62,8.729763,6293500
45,2016-03-09,10.69,10.79,10.47,10.5,8.631122,9489500
46,2016-03-10,10.5,10.81,10.43,10.81,8.885947,4153900
47,2016-03-11,10.94,11.01,10.83,10.91,8.968146,4683300
48,2016-03-14,10.87,11.01,10.81,10.96,9.009248,4162000
49,2016-03-15,10.89,11.0,10.85,10.97,9.017468,6634000
50,2016-03-16,10.93,11.41,10.91,11.39,9.362716,8630500
51,2016-03-17,11.37,11.57,11.28,11.53,9.477793,6899200
52,2016-03-18,11.53,11.7,11.53,11.62,9.551776,8059800
53,2016-03-21,11.6,11.64,11.51,11.54,9.486016,6269900
54,2016-03-22,11.5,11.65,11.4,11.54,9.486016,6774400
55,2016-03-23,11.58,11.58,11.28,11.3,9.288731,5362000
56,2016-03-24,11.24,11.58,11.16,11.57,9.510675,7712200
57,2016-03-28,11.61,11.63,11.41,11.41,9.379152,6335000
58,2016-03-29,11.39,11.66,11.35,11.65,9.576435,4601000
59,2016-03-30,11.73,11.78,11.6,11.62,9.551776,3254400
60,2016-03-31,11.62,11.8,11.57,11.8,9.699739,5656000
61,2016-04-01,11.68,11.69,11.41,11.57,9.510675,8260700
62,2016-04-04,11.56,11.66,11.31,11.36,9.338052,5432700
63,2016-04-05,11.27,11.32,11.06,11.07,9.099668,9099700
64,2016-04-06,11.07,11.12,10.94,11.08,9.107889,6786500
65,2016-04-07,10.97,11.17,10.79,10.86,8.927046,7210500
66,2016-04-08,10.91,11.16,10.91,10.96,9.009248,4505400
67,2016-04-11,11.01,11.14,10.96,11.02,9.058568,4628500
68,2016-04-12,11.06,11.19,11.01,11.16,9.173649,3976300
69,2016-04-13,11.22,11.29,11.1,11.23,9.23119,4542900
70,2016-04-14,11.22,11.34,11.2,11.24,9.239411,2511000
71,2016-04-15,11.23,11.33,11.21,11.25,9.247629,3402300
72,2016-04-18,11.25,11.36,11.06,11.31,9.29695,3226800
73,2016-04-19,11.37,11.54,11.36,11.5,9.453134,3985300
74,2016-04-20,11.5,11.53,11.25,11.27,9.264072,2991400
75,2016-04-21,11.27,11.34,11.06,11.11,9.132547,3405600
76,2016-04-22,11.15,11.31,11.07,11.18,9.190089,2706900
77,2016-04-25,11.17,11.21,10.99,11.0,9.04213,3372000
78,2016-04-26,11.02,11.21,11.02,11.21,9.214752,3576900
79,2016-04-27,11.24,11.48,11.13,11.38,9.354493,3914800
80,2016-04-28,11.2,11.31,11.06,11.12,9.229985,4888700
81,2016-04-29,11.12,11.17,10.92,11.16,9.263188,4691900
82,2016-05-02,11.15,11.37,11.12,11.3,9.379394,3722700
83,2016-05-03,11.2,11.24,10.95,11.13,9.238286,4572100
84,2016-05-04,11.08,11.22,11.03,11.16,9.263188,4180300
85,2016-05-05,11.24,11.27,11.01,11.07,9.188484,3350200
86,2016-05-06,11.03,11.11,10.95,11.08,9.196787,3152900
87,2016-05-09,10.95,11.24,10.8,11.16,9.263188,4775400
88,2016-05-10,11.2,11.49,11.13,11.45,9.503896,3476500
89,2016-05-11,11.41,11.47,11.24,11.32,9.395994,4283700
90,2016-05-12,11.39,11.44,11.21,11.27,9.354493,3482300
91,2016-05-13,11.23,11.26,11.07,11.16,9.263188,3384800
92,2016-05-16,11.18,11.24,11.1,11.11,9.221688,3072800
93,2016-05-17,11.08,11.15,10.94,11.02,9.146984,3695600
94,2016-05-18,10.97,11.08,10.68,10.73,8.906274,4378700
95,2016-05-19,10.65,10.77,10.49,10.74,8.914573,7749600
96,2016-05-20,10.76,10.9,10.73,10.89,9.03908,2864700
97,2016-05-23,10.86,10.89,10.73,10.74,8.914573,2852100
98,2016-05-24,10.82,10.94,10.76,10.91,9.055681,3485800
99,2016-05-25,10.89,11.07,10.82,10.97,9.105483,3651800
100,2016-05-26,10.99,11.03,10.88,10.89,9.03908,4934000
101,2016-05-27,10.9,11.13,10.89,11.11,9.221688,3013800
102,2016-05-31,11.12,11.23,10.99,11.09,9.205086,6156100
103,2016-06-01,11.04,11.07,10.91,10.94,9.080581,4592200
104,2016-06-02,10.9,11.01,10.79,10.84,8.997577,5454800
105,2016-06-03,10.93,11.3,10.86,11.22,9.312991,7127800
106,2016-06-06,11.24,11.44,11.22,11.39,9.454096,3685300
107,2016-06-07,11.39,11.55,11.36,11.51,9.5537,4208700
108,2016-06-08,11.55,11.55,11.38,11.43,9.487299,4651400
109,2016-06-09,11.37,11.46,11.22,11.44,9.4956,3313900
110,2016-06-10,11.31,11.39,11.16,11.2,9.296389,4540200
111,2016-06-13,11.17,11.23,11.12,11.17,9.27149,3823100
112,2016-06-14,11.14,11.17,11.01,11.12,9.229985,3944000
113,2016-06-15,11.12,11.21,11.02,11.06,9.180185,4433200
114,2016-06-16,11.0,11.27,10.91,11.26,9.346191,4554000
115,2016-06-17,11.29,11.62,11.27,11.61,9.636703,7971200
116,2016-06-20,11.71,11.91,11.68,11.85,9.835913,7611300
117,2016-06-21,11.87,12.08,11.79,12.01,9.968719,6218900
118,2016-06-22,12.03,12.06,11.94,11.99,9.952116,5205700
119,2016-06-23,12.07,12.14,12.01,12.1,10.043421,3924900
120,2016-06-24,11.85,12.0,11.63,11.89,9.869115,8944300
121,2016-06-27,11.73,11.74,11.29,11.41,9.470699,10444200
122,2016-06-28,11.49,11.8,11.32,11.79,9.786109,8064500
123,2016-06-29,11.9,12.09,11.85,12.03,9.98532,6747200
124,2016-06-30,12.08,12.48,12.0,12.48,10.358833,10361000
125,2016-07-01,12.48,12.53,12.25,12.33,10.234327,4320900
126,2016-07-05,12.25,12.29,12.05,12.2,10.126426,5444400
127,2016-07-06,12.13,12.25,12.03,12.23,10.151325,4760600
128,2016-07-07,12.21,12.26,12.0,12.1,10.043421,4849600
129,2016-07-08,12.15,12.32,12.03,12.32,10.226027,4182400
130,2016-07-11,12.32,12.56,12.24,12.55,10.416935,3808100
131,2016-07-12,12.57,12.68,12.47,12.48,10.358833,3396100
132,2016-07-13,12.57,12.64,12.4,12.63,10.48334,5046500
133,2016-07-14,12.64,12.68,12.44,12.52,10.392035,2987500
134,2016-07-15,12.55,12.68,12.52,12.63,10.48334,3748800
135,2016-07-18,12.63,12.63,12.51,12.57,10.433537,2273700
136,2016-07-19,12.5,12.52,12.35,12.51,10.383736,3343400
137,2016-07-20,12.5,12.58,12.39,12.56,10.425238,3038500
138,2016-07-21,12.55,12.61,12.47,12.59,10.450138,3530300
139,2016-07-22,12.58,12.68,12.52,12.65,10.499941,2738400
140,2016-07-25,12.64,12.72,12.61,12.67,10.516541,3189100
141,2016-07-26,12.66,12.68,12.54,12.61,10.46674,3532400
142,2016-07-27,12.62,12.66,12.26,12.37,10.267529,4207000
143,2016-07-28,12.24,12.3,12.1,12.25,10.259156,2244000
144,2016-07-29,12.22,12.4,12.13,12.35,10.342903,5621400
145,2016-08-01,12.33,12.37,12.13,12.17,10.192158,4826500
146,2016-08-02,12.14,12.23,12.07,12.18,10.200532,4365300
147,2016-08-03,12.21,12.59,12.14,12.4,10.384777,4452700
148,2016-08-04,12.38,12.44,12.21,12.41,10.393151,3850900
149,2016-08-05,12.44,12.52,12.1,12.23,10.242405,6722800
150,2016-08-08,12.28,12.32,12.14,12.18,10.200532,3218200
151,2016-08-09,12.18,12.25,12.03,12.07,10.108409,3806000
152,2016-08-10,12.05,12.19,12.05,12.18,10.200532,3237300
153,2016-08-11,12.19,12.24,12.11,12.24,10.25078,3343700
154,2016-08-12,12.24,12.37,12.2,12.22,10.234032,3451800
155,2016-08-15,12.24,12.33,12.09,12.09,10.125157,3011700
156,2016-08-16,12.01,12.08,11.95,12.0,10.049785,5935000
157,2016-08-17,12.0,12.31,11.89,12.28,10.284281,6745100
158,2016-08-18,12.27,12.5,12.24,12.5,10.468525,5215500
159,2016-08-19,12.4,12.41,12.16,12.22,10.234032,4115600
160,2016-08-22,12.22,12.32,12.16,12.29,10.292655,2751100
161,2016-08-23,12.35,12.4,12.17,12.18,10.200532,4733300
162,2016-08-24,12.17,12.18,12.04,12.08,10.116785,2799600
163,2016-08-25,12.09,12.16,12.02,12.11,10.14191,2631900
