,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,90.709999,90.879997,89.720001,90.709999,85.231369,1469200
1,2016-01-05,90.720001,91.449997,90.360001,91.260002,85.748146,1558700
2,2016-01-06,90.400002,90.589996,89.279999,89.879997,84.451492,1442500
3,2016-01-07,88.330002,88.970001,88.150002,88.57,83.220619,1949300
4,2016-01-08,88.809998,89.089996,86.830002,87.019997,81.764244,1179600
5,2016-01-11,87.529999,87.699997,85.559998,86.410004,81.191086,1208200
6,2016-01-12,87.199997,87.290001,85.720001,87.150002,81.886406,1093300
7,2016-01-13,87.709999,87.889999,85.519997,85.910004,80.721283,1196400
8,2016-01-14,86.110001,88.089996,85.800003,87.389999,82.111893,1135500
9,2016-01-15,87.650002,87.650002,85.089996,86.089996,80.890396,1676500
10,2016-01-19,86.760002,87.080002,85.57,85.980003,80.787064,1089400
11,2016-01-20,84.580002,85.839996,83.830002,84.940002,79.809868,1576900
12,2016-01-21,85.230003,85.959999,84.239998,84.620003,79.509178,894700
13,2016-01-22,85.919998,86.68,85.720001,86.410004,81.191086,949300
14,2016-01-25,86.190002,86.629997,85.239998,85.739998,80.561554,1454000
15,2016-01-26,86.190002,86.75,85.650002,86.029999,80.834023,1112800
16,2016-01-27,86.019997,86.389999,85.25,85.910004,80.721283,1412300
17,2016-01-28,86.099998,87.989998,85.43,86.089996,81.173851,947700
18,2016-01-29,86.730003,87.980003,86.300003,87.830002,82.814529,1882300
19,2016-02-01,87.529999,87.970001,86.989998,87.580002,82.578781,838800
20,2016-02-02,86.489998,87.010002,85.910004,86.199997,81.277596,900100
21,2016-02-03,87.059998,88.110001,86.309998,87.739998,82.72963,1414200
22,2016-02-04,87.449997,89.040001,87.209999,88.949997,83.870552,1255900
23,2016-02-05,89.199997,92.889999,89.010002,92.870003,87.566704,2260500
24,2016-02-08,92.269997,93.699997,91.959999,92.980003,87.670425,1982000
25,2016-02-09,92.470001,93.5,92.110001,92.879997,87.576111,2189000
26,2016-02-10,93.040001,94.790001,92.650002,92.830002,87.528984,1496300
27,2016-02-11,91.309998,93.230003,90.860001,92.690002,87.396996,1751200
28,2016-02-12,93.760002,94.980003,93.720001,93.800003,88.443596,1675500
29,2016-02-16,94.650002,94.989998,93.900002,94.150002,88.773621,1809800
30,2016-02-17,95.089996,95.580002,94.709999,95.0,89.575073,2141100
31,2016-02-18,94.75,95.019997,93.989998,94.57,89.169624,1754000
32,2016-02-19,94.279999,94.419998,92.980003,93.580002,88.236145,1243700
33,2016-02-22,94.360001,94.690002,93.43,93.769997,88.415306,1299400
34,2016-02-23,93.209999,95.019997,92.879997,94.07,88.698174,2367400
35,2016-02-24,93.080002,95.120003,92.919998,94.660004,89.254486,1643800
36,2016-02-25,94.910004,95.449997,94.519997,95.309998,89.867371,1171500
37,2016-02-26,95.68,96.5,95.440002,95.760002,90.291679,1462100
38,2016-02-29,95.440002,96.449997,95.260002,95.290001,89.848526,1819500
