,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,87.730003,88.07,87.199997,87.949997,73.441772,1675500
1,2016-01-05,88.379997,89.970001,88.190002,89.68,74.886398,2366700
2,2016-01-06,87.940002,88.580002,86.769997,87.239998,72.848892,2324900
3,2016-01-07,85.959999,86.760002,84.690002,85.0,70.978409,2502600
4,2016-01-08,85.360001,85.760002,83.57,83.860001,70.026466,1777300
5,2016-01-11,82.309998,83.349998,78.230003,79.269997,66.193626,5879200
6,2016-01-12,81.269997,81.57,79.029999,79.889999,66.711365,3727400
7,2016-01-13,79.989998,80.550003,77.779999,78.169998,65.275093,2884200
8,2016-01-14,78.300003,82.040001,78.160004,81.779999,68.289551,3642000
9,2016-01-15,80.0,81.589996,79.699997,81.239998,67.838646,3844700
10,2016-01-19,82.199997,82.279999,80.370003,81.580002,68.122559,2561200
11,2016-01-20,80.32,81.019997,77.800003,80.279999,67.037018,3022900
12,2016-01-21,80.32,81.529999,79.389999,80.080002,66.869995,2161200
13,2016-01-22,81.389999,81.919998,81.010002,81.589996,68.13092,1539400
14,2016-01-25,81.730003,82.290001,81.0,81.199997,67.805244,2113300
15,2016-01-26,81.5,82.839996,80.769997,82.709999,69.066154,1893400
16,2016-01-27,82.639999,83.529999,81.349998,81.75,68.264542,1922700
17,2016-01-28,82.32,82.32,78.559998,79.0,65.96817,3530100
18,2016-01-29,79.730003,81.419998,78.889999,81.370003,67.947205,3719000
19,2016-02-01,76.5,80.75,76.230003,79.800003,66.636192,4195500
20,2016-02-02,79.459999,79.949997,77.379997,77.730003,64.907677,2818600
21,2016-02-03,78.43,78.580002,75.720001,77.330002,64.573662,2327200
22,2016-02-04,76.889999,78.739998,75.849998,76.599998,63.964066,2546500
23,2016-02-05,76.260002,77.360001,75.910004,76.610001,63.972404,2918800
24,2016-02-08,75.959999,76.599998,74.730003,76.160004,63.596653,2527500
25,2016-02-09,75.389999,77.330002,75.360001,76.650002,64.005814,2653800
26,2016-02-10,76.839996,79.019997,76.199997,78.220001,65.316849,2187700
27,2016-02-11,76.699997,78.230003,76.230003,77.120003,64.398308,2786900
28,2016-02-12,77.599998,78.900002,76.910004,78.849998,65.842911,2168300
29,2016-02-16,79.559998,80.349998,78.860001,79.769997,66.611153,2382100
30,2016-02-17,79.760002,81.419998,79.510002,80.980003,67.621559,1716700
31,2016-02-18,81.129997,81.809998,80.720001,81.0,67.638252,1801000
32,2016-02-19,81.040001,81.089996,80.25,80.830002,67.496269,2446800
33,2016-02-22,80.830002,82.0,80.82,81.459999,68.022369,1283000
34,2016-02-23,81.209999,81.730003,80.199997,81.199997,67.805244,2273700
35,2016-02-24,80.339996,82.410004,80.230003,82.139999,68.590195,1877500
36,2016-02-25,82.230003,82.809998,81.620003,82.669998,69.032761,1315600
37,2016-02-26,83.0,83.57,82.879997,83.029999,69.333382,1225000
38,2016-02-29,82.75,83.07,81.699997,81.699997,68.222786,1776700
39,2016-03-01,82.519997,82.900002,81.580002,82.879997,69.208115,1817000
40,2016-03-02,82.580002,83.639999,82.360001,83.160004,69.44194,1956400
41,2016-03-03,82.800003,83.699997,82.269997,83.610001,69.817688,1353700
42,2016-03-04,83.410004,84.0,82.860001,83.510002,69.7342,1101300
43,2016-03-07,84.010002,84.440002,83.5,84.150002,70.268623,1285300
44,2016-03-08,83.480003,83.660004,82.660004,82.709999,69.066154,1478000
45,2016-03-09,83.129997,83.449997,82.790001,83.18,69.458641,1334700
46,2016-03-10,83.650002,84.0,81.470001,82.32,68.740501,1831700
47,2016-03-11,83.080002,84.050003,82.629997,83.879997,70.043159,1581500
48,2016-03-14,84.0,84.5,83.440002,83.610001,69.817688,1287400
49,2016-03-15,82.400002,82.839996,80.190002,80.43,67.162277,2859300
50,2016-03-16,80.300003,81.779999,80.139999,81.099998,67.721748,1859400
51,2016-03-17,81.160004,81.309998,79.209999,79.739998,66.586105,2304900
52,2016-03-18,80.07,81.040001,79.809998,80.860001,67.521347,2442100
53,2016-03-21,80.940002,81.43,80.18,80.849998,67.512993,1592900
54,2016-03-22,80.800003,81.849998,80.57,81.160004,67.771851,1434700
55,2016-03-23,81.349998,82.199997,81.029999,81.279999,67.872055,1731200
56,2016-03-24,80.919998,82.129997,80.589996,81.480003,68.039055,1729000
57,2016-03-28,81.550003,81.709999,80.279999,80.769997,67.446198,1563100
58,2016-03-29,80.809998,81.889999,80.290001,81.82,68.322983,1904200
59,2016-03-30,82.239998,82.459999,81.580002,81.779999,68.614113,1151500
60,2016-03-31,81.779999,82.43,81.459999,81.949997,68.756767,1663000
61,2016-04-01,81.68,82.279999,81.330002,82.160004,68.932938,1765700
62,2016-04-04,82.290001,83.269997,82.290001,83.129997,69.746758,1793000
63,2016-04-05,82.540001,82.860001,81.190002,81.309998,68.219765,1883300
64,2016-04-06,81.620003,84.120003,81.620003,84.059998,70.527031,2460000
65,2016-04-07,83.660004,84.709999,83.339996,83.760002,70.275337,1858900
66,2016-04-08,84.110001,84.629997,82.639999,83.0,69.637711,1408100
67,2016-04-11,83.110001,83.269997,82.010002,82.199997,68.966484,1185800
68,2016-04-12,82.330002,82.860001,81.919998,82.559998,69.268539,1405000
69,2016-04-13,83.040001,83.919998,82.669998,83.870003,70.367653,1238800
70,2016-04-14,83.870003,84.379997,83.440002,83.910004,70.401199,1181000
71,2016-04-15,83.720001,84.339996,83.449997,84.25,70.686478,1216600
72,2016-04-18,83.790001,84.639999,83.580002,84.57,70.954956,946600
73,2016-04-19,85.209999,86.169998,85.019997,85.589996,71.810722,1495600
74,2016-04-20,85.449997,87.760002,85.449997,87.199997,73.161545,2165000
75,2016-04-21,87.110001,87.849998,86.5,86.82,72.84272,1990800
76,2016-04-22,86.900002,87.330002,86.099998,86.910004,72.918228,1371900
77,2016-04-25,86.559998,86.910004,85.720001,86.349998,72.448372,1157200
78,2016-04-26,86.489998,86.910004,86.279999,86.580002,72.641357,1135200
79,2016-04-27,86.889999,87.160004,86.370003,86.540001,72.607796,1907200
80,2016-04-28,82.82,83.910004,78.129997,78.510002,65.87056,7081400
81,2016-04-29,78.019997,80.019997,76.540001,78.459999,65.828606,6334900
82,2016-05-02,77.5,79.599998,77.139999,79.5,66.701164,3795100
83,2016-05-03,79.150002,79.839996,78.489998,79.239998,66.483025,2777200
84,2016-05-04,79.089996,79.43,77.360001,77.510002,65.03154,3899400
85,2016-05-05,76.5,79.07,75.5,78.550003,65.904114,5766300
86,2016-05-06,78.550003,78.82,76.599998,76.849998,64.477806,3745600
87,2016-05-09,77.050003,78.730003,76.910004,78.470001,65.837013,2785000
88,2016-05-10,78.669998,79.239998,78.279999,78.470001,65.837013,2568000
89,2016-05-11,78.599998,78.779999,76.919998,76.959999,64.570091,3106200
90,2016-05-12,77.309998,77.459999,76.610001,77.0,64.603638,2850200
91,2016-05-13,77.040001,77.309998,76.18,76.25,63.974388,2173700
92,2016-05-16,76.339996,77.459999,76.220001,77.389999,64.930862,1704100
93,2016-05-17,77.389999,77.690002,76.690002,77.099998,64.687553,2864400
94,2016-05-18,77.080002,78.239998,76.739998,77.830002,65.300011,2437800
95,2016-05-19,77.190002,78.199997,76.709999,77.330002,64.880539,1692500
96,2016-05-20,77.82,77.870003,77.07,77.410004,64.947647,2707500
97,2016-05-23,77.269997,77.620003,76.730003,76.739998,64.385506,2032500
98,2016-05-24,77.07,77.660004,76.919998,77.459999,64.989609,1674500
99,2016-05-25,77.779999,77.989998,76.690002,76.730003,64.377121,3011000
100,2016-05-26,76.650002,77.459999,76.400002,77.290001,64.84697,2036500
101,2016-05-27,77.550003,78.360001,77.449997,78.150002,65.568512,1857200
102,2016-05-31,78.160004,79.169998,78.150002,78.949997,66.239723,3613000
103,2016-06-01,78.580002,79.050003,78.440002,78.720001,66.046753,2595700
104,2016-06-02,78.699997,79.889999,78.610001,79.889999,67.028397,2361100
105,2016-06-03,79.720001,79.989998,79.209999,79.790001,66.944481,1988000
106,2016-06-06,79.720001,80.519997,79.370003,80.419998,67.473053,2021800
107,2016-06-07,80.099998,80.410004,79.720001,80.0,67.120682,2142200
108,2016-06-08,79.849998,80.129997,79.5,79.660004,66.835419,3437900
109,2016-06-09,79.559998,79.959999,79.110001,79.290001,66.524986,3082300
110,2016-06-10,79.0,79.059998,78.050003,78.529999,65.887352,2714500
111,2016-06-13,78.529999,78.790001,78.150002,78.199997,65.610451,2034300
112,2016-06-14,78.010002,78.32,77.57,77.93,65.383926,1707400
