,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,66.239998,67.089996,65.190002,66.129997,58.622704,798700
1,2016-01-05,66.870003,67.989998,66.0,66.93,59.331875,705200
2,2016-01-06,65.300003,66.150002,64.93,65.18,57.78056,749500
3,2016-01-07,63.84,63.849998,62.119999,62.43,55.342739,1116100
4,2016-01-08,62.709999,63.369999,62.040001,62.18,55.121113,727900
5,2016-01-11,63.009998,63.220001,61.709999,62.299999,55.227493,992400
6,2016-01-12,63.029999,63.91,61.610001,63.32,56.131695,1836900
7,2016-01-13,63.540001,64.220001,62.509998,62.790001,55.661873,1263700
8,2016-01-14,63.02,63.52,61.189999,63.009998,55.856903,1197300
9,2016-01-15,61.0,62.25,60.849998,61.950001,54.917244,1026700
10,2016-01-19,62.540001,62.799999,59.540001,60.639999,53.755936,1430200
11,2016-01-20,59.630001,60.049999,58.049999,59.200001,52.47942,1304400
12,2016-01-21,59.23,60.119999,58.919998,59.279999,52.550343,1843400
13,2016-01-22,60.259998,62.25,58.560001,61.080002,54.146,2868700
14,2016-01-25,60.810001,60.950001,59.59,59.639999,52.869465,1633900
15,2016-01-26,59.98,61.560001,59.529999,61.490002,54.509453,1138700
16,2016-01-27,61.389999,62.73,60.939999,61.66,54.660152,1184300
17,2016-01-28,62.459999,63.060001,61.84,62.119999,55.067936,731300
18,2016-01-29,62.07,63.75,61.27,63.669998,56.441967,1628600
19,2016-02-01,62.349998,62.439999,61.02,61.470001,54.491722,1345200
20,2016-02-02,60.970001,61.380001,59.619999,59.68,52.90493,906800
21,2016-02-03,60.529999,60.860001,58.709999,60.48,53.614105,1117700
22,2016-02-04,60.450001,62.549999,60.450001,60.860001,53.950977,1071500
23,2016-02-05,60.549999,61.43,58.919998,59.009998,52.310989,1196700
24,2016-02-08,58.029999,58.490002,55.07,56.41,50.006142,2191600
25,2016-02-09,55.759998,58.459999,55.560001,57.540001,51.00787,1525300
26,2016-02-10,57.849998,58.990002,56.639999,56.939999,50.475986,1061600
27,2016-02-11,56.139999,57.82,55.279999,55.810001,49.736309,1139100
28,2016-02-12,56.34,57.41,55.669998,57.310001,51.073074,995900
29,2016-02-16,57.869999,59.0,57.41,58.689999,52.302883,928100
30,2016-02-17,59.349998,60.150002,59.139999,59.459999,52.989082,822200
31,2016-02-18,59.66,59.959999,58.720001,59.150002,52.712826,899000
32,2016-02-19,58.959999,59.110001,57.880001,59.0,52.579144,885600
33,2016-02-22,59.759998,61.189999,59.349998,61.139999,54.486248,957600
34,2016-02-23,60.759998,61.099998,58.27,58.669998,52.285061,945400
35,2016-02-24,58.130001,59.310001,57.490002,59.220001,52.775211,789400
36,2016-02-25,59.580002,59.970001,58.759998,59.950001,53.42577,1062600
37,2016-02-26,60.220001,61.169998,60.200001,61.049999,54.406044,687600
38,2016-02-29,61.189999,62.150002,60.299999,60.34,53.773319,951200
39,2016-03-01,60.990002,61.540001,60.080002,61.349998,54.673393,973100
40,2016-03-02,61.029999,62.07,60.869999,61.82,55.092251,777100
41,2016-03-03,61.73,62.93,61.639999,62.810001,55.974514,782100
42,2016-03-04,63.139999,64.220001,62.32,63.549999,56.63398,1124600
43,2016-03-07,63.41,64.470001,63.07,64.150002,57.168686,783200
44,2016-03-08,63.43,63.490002,61.380001,61.830002,55.10117,891600
45,2016-03-09,62.630001,63.169998,61.889999,62.509998,55.707157,818600
46,2016-03-10,62.619999,62.740002,61.369999,62.189999,55.421986,663000
47,2016-03-11,62.990002,65.370003,62.919998,64.889999,57.828156,719000
48,2016-03-14,64.400002,64.720001,63.57,63.939999,56.981537,758400
49,2016-03-15,63.5,63.849998,62.970001,63.459999,56.553776,540100
50,2016-03-16,63.279999,65.230003,63.150002,64.919998,57.854881,568100
51,2016-03-17,64.910004,66.82,64.720001,66.610001,59.360973,719200
52,2016-03-18,66.690002,67.199997,66.389999,67.0,59.708538,849700
53,2016-03-21,67.019997,67.330002,66.349998,66.980003,59.690697,714200
54,2016-03-22,66.300003,66.959999,65.879997,66.790001,59.521374,701500
55,2016-03-23,66.389999,66.720001,65.260002,65.339996,58.229179,590900
56,2016-03-24,64.599998,64.959999,63.700001,64.959999,57.890537,888100
57,2016-03-28,65.019997,65.519997,64.639999,64.919998,57.854881,528600
58,2016-03-29,64.489998,65.980003,64.120003,65.709999,58.558907,1204300
