,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,17.67,17.940001,17.309999,17.59,16.261797,8618100
1,2016-01-05,17.66,17.870001,17.07,17.57,16.243307,11622200
2,2016-01-06,17.02,17.030001,15.89,16.02,14.810345,10378100
3,2016-01-07,15.71,16.700001,15.68,16.58,15.32806,8536800
4,2016-01-08,16.780001,17.34,16.540001,17.200001,15.901244,9737100
5,2016-01-11,17.08,17.16,15.78,16.0,14.791856,13468500
6,2016-01-12,16.32,16.33,14.88,15.48,14.311117,10973900
7,2016-01-13,15.71,16.24,15.25,15.7,14.514509,10984300
8,2016-01-14,15.85,16.450001,15.65,16.309999,15.078447,9906800
9,2016-01-15,15.47,16.43,15.39,16.41,15.170895,9172200
10,2016-01-19,16.530001,16.77,16.15,16.43,15.189384,11946100
11,2016-01-20,16.049999,17.370001,15.82,17.15,15.855015,13646200
12,2016-01-21,16.950001,18.959999,16.870001,18.65,17.241753,14184300
13,2016-01-22,19.360001,19.559999,18.6,19.540001,18.064552,11941000
14,2016-01-25,18.940001,19.780001,18.379999,18.4,17.01063,12120500
15,2016-01-26,18.809999,19.5,18.58,19.43,17.962858,6170300
16,2016-01-27,19.27,20.450001,19.01,19.52,18.064657,8959100
17,2016-01-28,20.4,20.469999,19.32,19.389999,17.944344,12925200
18,2016-01-29,19.68,20.799999,19.6,20.75,19.202951,9220300
19,2016-02-01,20.24,20.870001,19.780001,20.559999,19.027119,9388000
20,2016-02-02,20.17,21.0,19.790001,20.389999,18.869797,15546800
21,2016-02-03,20.82,21.209999,19.879999,21.17,19.591637,9322800
22,2016-02-04,21.07,21.48,20.200001,20.9,19.341768,10800800
23,2016-02-05,20.790001,21.120001,20.07,20.66,19.119661,8257900
24,2016-02-08,20.309999,22.25,20.01,20.92,19.360279,13119600
25,2016-02-09,20.42,20.77,18.959999,19.59,18.129433,12782100
26,2016-02-10,19.49,20.0,18.860001,19.75,18.27751,8300400
27,2016-02-11,19.27,20.09,18.73,19.870001,18.388561,8201900
28,2016-02-12,20.209999,20.459999,19.07,19.75,18.27751,7248400
29,2016-02-16,20.09,20.09,18.48,19.26,17.824039,8950000
30,2016-02-17,19.41,20.540001,19.030001,20.49,18.962337,6714800
31,2016-02-18,20.530001,20.530001,19.309999,19.549999,18.092419,9190800
32,2016-02-19,19.35,20.48,18.73,19.91,18.425581,11493800
33,2016-02-22,20.440001,21.940001,20.17,21.540001,19.934059,9209700
34,2016-02-23,20.33,20.4,19.16,19.26,17.824039,76176600
35,2016-02-24,18.92,19.969999,18.809999,19.709999,18.24049,14559000
36,2016-02-25,19.709999,20.059999,19.02,19.41,17.96286,12465500
