,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,58.810001,58.810001,57.470001,58.130001,55.145611,5001200
1,2016-01-05,58.450001,58.68,57.970001,58.130001,55.145611,3644100
2,2016-01-06,57.0,57.889999,56.599998,57.130001,54.196957,4911700
3,2016-01-07,56.029999,57.950001,55.529999,56.639999,53.732109,5449000
4,2016-01-08,56.869999,56.900002,55.700001,55.759998,52.897285,4959700
5,2016-01-11,56.080002,56.52,55.580002,56.119999,53.238804,4395100
6,2016-01-12,57.5,59.919998,57.450001,59.650002,56.587574,8452000
7,2016-01-13,59.740002,59.950001,57.380001,57.77,54.804104,6829500
8,2016-01-14,58.169998,61.09,58.0,60.209999,57.118828,7950500
9,2016-01-15,57.919998,59.330002,57.799999,58.709999,55.695835,5575500
10,2016-01-19,59.57,60.240002,58.310001,59.939999,56.862682,8025400
11,2016-01-20,58.450001,59.939999,58.029999,59.25,56.208103,6643000
12,2016-01-21,59.459999,60.16,58.630001,59.060001,56.027866,4428500
13,2016-01-22,59.630001,60.630001,59.34,60.509998,57.403419,5286300
14,2016-01-25,60.23,61.810001,60.169998,60.919998,57.792377,7242700
15,2016-01-26,61.040001,62.110001,60.66,61.939999,58.76001,4957100
16,2016-01-27,61.740002,62.59,60.619999,61.009998,57.877754,4762000
17,2016-01-28,61.779999,62.259998,61.139999,61.34,58.190815,4190700
18,2016-01-29,61.830002,63.43,61.82,63.310001,60.059681,5238500
19,2016-02-01,62.48,63.0,62.07,62.330002,59.129982,3988300
20,2016-02-02,61.040001,61.630001,59.779999,60.119999,57.033443,5553000
21,2016-02-03,60.630001,61.02,59.509998,60.759998,57.640579,3580400
22,2016-02-04,60.09,60.360001,58.98,59.619999,56.559124,5512800
23,2016-02-05,59.200001,59.720001,57.950001,58.540001,55.534573,7492400
24,2016-02-08,54.98,55.439999,53.040001,54.049999,51.275078,12259100
25,2016-02-09,53.27,54.029999,51.220001,52.330002,49.643391,8244500
26,2016-02-10,53.599998,54.290001,52.939999,53.32,50.582554,6279000
27,2016-02-11,52.220001,52.860001,51.330002,52.110001,49.434681,5627300
28,2016-02-12,53.330002,53.869999,52.52,53.869999,51.104324,4215700
29,2016-02-16,54.130001,55.209999,54.02,55.009998,52.185799,5203900
30,2016-02-17,55.459999,56.880001,55.029999,56.610001,53.703655,6251500
31,2016-02-18,57.02,57.27,55.869999,56.009998,53.13446,4663500
32,2016-02-19,55.41,56.029999,55.07,55.900002,53.030098,4746400
33,2016-02-22,56.709999,57.41,56.34,56.630001,53.722622,3397400
34,2016-02-23,56.52,56.75,55.700001,55.759998,52.897285,3388800
35,2016-02-24,55.18,56.330002,54.529999,56.189999,53.305214,3067000
36,2016-02-25,56.560001,57.25,55.560001,57.240002,54.301315,2997300
37,2016-02-26,57.52,57.799999,56.869999,57.040001,54.111572,3398500
38,2016-02-29,57.130001,57.5,56.66,56.98,54.054661,4675100
39,2016-03-01,57.869999,58.419998,57.419998,58.209999,55.221504,5542700
40,2016-03-02,58.23,58.25,57.240002,57.68,54.718712,4111200
41,2016-03-03,57.950001,58.0,56.75,57.799999,54.832561,3725400
42,2016-03-04,58.34,58.400002,57.419998,57.740002,54.775631,3611500
43,2016-03-07,57.25,57.290001,56.459999,57.0,54.073627,4099200
44,2016-03-08,56.41,56.599998,55.779999,55.93,53.058563,3537300
45,2016-03-09,56.200001,56.240002,55.66,56.049999,53.172401,3282800
46,2016-03-10,56.389999,56.98,54.650002,55.419998,52.574745,5146900
47,2016-03-11,56.189999,57.080002,55.619999,56.970001,54.04517,4811200
48,2016-03-14,56.549999,58.220001,56.450001,58.119999,55.13612,5432000
49,2016-03-15,57.700001,58.23,57.66,58.029999,55.050751,3474000
50,2016-03-16,57.700001,58.98,57.310001,58.91,55.885567,3839500
