,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,75.779999,76.129997,74.639999,76.080002,68.413628,3586900
1,2016-01-05,75.949997,76.540001,75.019997,76.519997,68.809273,2578300
2,2016-01-06,75.160004,76.209999,75.019997,75.660004,68.035927,3157600
3,2016-01-07,74.389999,76.029999,74.25,74.989998,67.433441,3720500
4,2016-01-08,75.360001,75.550003,73.510002,73.760002,66.3274,3530800
5,2016-01-11,73.889999,74.370003,73.209999,74.150002,66.678085,3753000
6,2016-01-12,75.0,75.080002,73.099998,74.519997,67.010811,2915900
7,2016-01-13,74.809998,75.480003,73.150002,73.220001,65.84182,3004300
8,2016-01-14,73.379997,74.730003,72.68,73.599998,66.183525,3143800
9,2016-01-15,72.0,73.459999,71.910004,73.120003,65.751884,4708600
10,2016-01-19,73.57,73.739998,71.57,72.459999,65.158371,3913800
11,2016-01-20,71.370003,73.010002,70.160004,72.0,64.744736,4230200
12,2016-01-21,71.989998,73.660004,71.190002,73.029999,65.670952,2731200
13,2016-01-22,74.190002,76.230003,73.650002,74.610001,67.091743,3177400
14,2016-01-25,73.800003,73.900002,71.699997,71.779999,64.546913,2633300
15,2016-01-26,72.019997,73.580002,71.639999,73.57,66.156532,2338800
16,2016-01-27,73.599998,75.029999,73.169998,73.629997,66.210472,2665700
17,2016-01-28,74.699997,75.239998,73.360001,74.809998,67.271568,2208700
18,2016-01-29,75.379997,77.010002,75.339996,77.010002,69.249886,4369100
19,2016-02-01,76.230003,77.129997,75.720001,76.800003,69.061058,2248300
20,2016-02-02,75.599998,75.699997,74.169998,74.580002,67.064751,2647800
21,2016-02-03,75.0,75.730003,72.860001,75.410004,67.811111,2818900
22,2016-02-04,75.07,79.040001,75.050003,78.699997,70.7696,4976300
23,2016-02-05,78.400002,79.839996,78.099998,78.419998,70.517815,4154200
24,2016-02-08,77.599998,78.849998,75.93,77.07,69.303848,3622300
25,2016-02-09,75.900002,78.599998,75.900002,78.080002,70.212074,2978700
26,2016-02-10,78.57,78.830002,77.07,77.410004,69.609612,2314100
27,2016-02-11,75.970001,77.139999,75.18,76.410004,68.71035,3681900
28,2016-02-12,77.309998,78.480003,76.75,78.269997,70.382942,3154100
29,2016-02-16,78.989998,79.940002,77.739998,79.809998,71.767738,3703300
30,2016-02-17,80.470001,82.230003,80.0,81.43,73.224503,4992800
31,2016-02-18,81.410004,81.68,79.18,80.330002,72.235359,5238200
32,2016-02-19,76.650002,78.360001,76.5,77.0,69.240898,8955200
33,2016-02-22,77.300003,78.790001,77.199997,78.400002,70.499817,3372600
34,2016-02-23,78.230003,78.489998,76.919998,77.139999,69.366791,2911600
35,2016-02-24,76.690002,79.300003,75.730003,79.0,71.039368,2922300
36,2016-02-25,79.209999,79.650002,78.559998,79.599998,71.578911,1955200
37,2016-02-26,79.870003,80.589996,79.209999,79.470001,71.462006,2603000
38,2016-02-29,79.589996,81.349998,79.050003,80.18,72.100464,4582600
39,2016-03-01,80.639999,82.150002,79.5,81.050003,72.882774,3424900
40,2016-03-02,80.639999,82.059998,80.160004,81.839996,73.593193,2508200
41,2016-03-03,81.769997,83.82,81.449997,83.669998,75.23877,2860100
42,2016-03-04,83.669998,86.07,83.459999,84.879997,76.326866,4250300
43,2016-03-07,84.599998,85.949997,84.260002,85.68,77.046242,3512800
44,2016-03-08,84.839996,85.129997,82.75,83.849998,75.400635,3212300
45,2016-03-09,84.150002,84.699997,82.629997,83.040001,74.672272,2677200
46,2016-03-10,82.82,82.900002,81.389999,82.379997,74.078773,2774200
47,2016-03-11,83.199997,83.43,82.370003,82.949997,74.591316,2779500
48,2016-03-14,82.610001,83.32,81.519997,81.849998,73.602165,2822300
49,2016-03-15,80.970001,81.019997,80.059998,80.650002,72.523094,3149700
50,2016-03-16,80.620003,81.57,80.25,81.410004,73.20652,2592000
51,2016-03-17,81.620003,83.519997,81.269997,83.059998,74.690254,3513100
52,2016-03-18,83.269997,83.860001,82.459999,82.629997,74.303596,7184800
53,2016-03-21,82.779999,83.029999,81.93,82.720001,74.384521,2373000
54,2016-03-22,82.389999,82.559998,81.989998,82.260002,73.970863,1548300
55,2016-03-23,81.910004,82.010002,80.540001,80.839996,72.693954,1911600
56,2016-03-24,80.5,80.580002,80.0,80.239998,72.154419,3263800
57,2016-03-28,80.32,80.57,79.5,80.169998,72.091469,3158600
58,2016-03-29,79.139999,80.699997,79.139999,80.5,72.934074,2301300
59,2016-03-30,81.0,81.089996,80.010002,80.120003,72.589775,2566300
60,2016-03-31,80.18,80.360001,76.910004,76.989998,69.753952,6598000
61,2016-04-01,76.260002,76.589996,74.910004,76.5,69.309998,6396600
62,2016-04-04,76.279999,76.849998,75.779999,75.900002,68.766411,2930800
63,2016-04-05,75.400002,76.629997,75.269997,76.07,68.920425,2494200
64,2016-04-06,76.120003,76.529999,75.349998,76.339996,69.165031,2564100
65,2016-04-07,76.0,76.279999,75.5,76.18,69.020103,2444600
66,2016-04-08,76.709999,77.25,75.910004,76.309998,69.137856,2076200
67,2016-04-11,76.459999,77.160004,75.75,75.75,68.630501,1668900
68,2016-04-12,75.910004,76.940002,75.790001,76.599998,69.400627,2011500
69,2016-04-13,76.75,78.529999,76.330002,78.459999,71.085793,3187100
70,2016-04-14,78.449997,78.800003,77.480003,77.660004,70.360985,2356000
71,2016-04-15,77.660004,78.209999,77.360001,77.440002,70.161659,2536900
72,2016-04-18,77.440002,78.480003,76.809998,78.32,70.958946,2243100
73,2016-04-19,78.75,82.629997,78.669998,82.360001,74.619232,7015500
74,2016-04-20,82.269997,84.940002,81.699997,84.260002,76.340683,6474400
75,2016-04-21,84.489998,84.940002,82.400002,82.800003,75.017883,4038200
76,2016-04-22,82.949997,83.459999,82.699997,82.800003,75.017883,2087400
77,2016-04-25,82.610001,82.75,81.360001,82.410004,74.664551,2153500
78,2016-04-26,82.93,83.989998,82.75,83.419998,75.57962,2096200
79,2016-04-27,84.07,85.239998,83.559998,84.709999,76.748375,2876700
80,2016-04-28,84.129997,85.339996,83.5,83.93,76.041679,2167000
81,2016-04-29,83.529999,84.639999,83.400002,84.110001,76.204765,2111900
82,2016-05-02,84.169998,84.93,83.480003,84.290001,76.367836,1829300
83,2016-05-03,83.550003,83.849998,82.529999,83.400002,75.561501,1957400
84,2016-05-04,83.220001,83.489998,81.760002,82.18,74.456184,1697300
85,2016-05-05,82.230003,82.300003,80.769997,81.199997,73.56826,2868500
86,2016-05-06,80.739998,81.699997,80.589996,81.449997,73.794769,1258800
87,2016-05-09,81.040001,81.120003,80.019997,80.580002,73.006561,1649200
88,2016-05-10,80.910004,84.379997,80.610001,83.809998,75.932968,5948000
89,2016-05-11,83.650002,84.949997,83.019997,83.900002,76.014511,3344400
90,2016-05-12,84.260002,84.93,82.57,84.150002,76.24102,3936300
91,2016-05-13,83.800003,84.290001,82.279999,82.470001,74.718895,2425200
92,2016-05-16,82.709999,84.139999,82.709999,83.629997,75.769867,2302900
93,2016-05-17,83.660004,84.25,82.580002,83.199997,75.380295,2537400
94,2016-05-18,82.849998,83.110001,81.919998,82.599998,74.83667,2672600
95,2016-05-19,82.18,83.339996,81.68,82.25,74.519569,5062000
96,2016-05-20,80.800003,80.949997,77.5,77.739998,70.433456,12350200
97,2016-05-23,77.5,79.169998,77.25,77.879997,70.560318,4604000
98,2016-05-24,78.989998,79.730003,78.410004,79.639999,72.154877,3377600
99,2016-05-25,80.18,80.879997,79.949997,80.489998,72.925003,2923600
100,2016-05-26,80.839996,81.080002,80.120003,80.269997,72.725662,2501000
101,2016-05-27,80.199997,80.5,79.82,80.5,72.934074,1743800
102,2016-05-31,82.099998,83.120003,81.860001,82.290001,74.555832,6380000
103,2016-06-01,81.959999,83.010002,81.349998,82.830002,75.045052,2452000
104,2016-06-02,82.730003,84.139999,82.419998,84.059998,76.159454,2830800
105,2016-06-03,84.870003,86.199997,84.800003,85.57,77.527542,4244400
106,2016-06-06,85.75,87.809998,85.699997,87.480003,79.258041,4967700
107,2016-06-07,87.279999,87.849998,87.050003,87.309998,79.104019,2455800
108,2016-06-08,87.970001,88.199997,86.419998,87.18,78.986221,3511300
109,2016-06-09,86.290001,87.160004,85.959999,86.949997,78.777847,1802200
110,2016-06-10,86.059998,86.489998,85.099998,85.669998,77.618149,3538300
111,2016-06-13,85.639999,86.870003,85.300003,85.32,77.301064,2771500
112,2016-06-14,85.0,85.389999,83.639999,85.150002,77.147018,3168100
113,2016-06-15,85.559998,85.779999,84.739998,84.830002,76.857101,1466000
114,2016-06-16,84.309998,85.309998,83.150002,85.120003,77.11985,2075500
115,2016-06-17,85.639999,86.540001,85.449997,86.0,77.917152,3526100
116,2016-06-20,86.760002,86.989998,85.459999,85.589996,77.54567,3069700
117,2016-06-21,85.389999,85.400002,84.040001,84.089996,76.186653,3536100
118,2016-06-22,84.559998,84.849998,83.889999,83.919998,76.032631,2177600
119,2016-06-23,84.93,84.949997,83.529999,84.290001,76.367836,2285000
120,2016-06-24,81.580002,83.160004,81.400002,81.720001,74.039398,4897600
121,2016-06-27,81.330002,81.370003,79.779999,80.580002,73.006561,3361800
122,2016-06-28,80.93,81.849998,80.040001,81.379997,74.28447,2537900
123,2016-06-29,82.029999,82.279999,80.550003,81.510002,74.403145,2821400
124,2016-06-30,81.889999,81.949997,79.830002,81.040001,73.974113,4921400
125,2016-07-01,81.220001,81.379997,80.339996,80.900002,73.846329,2734300
126,2016-07-05,80.260002,80.529999,78.610001,79.169998,72.267159,2990700
127,2016-07-06,79.050003,79.489998,78.25,79.470001,72.541008,2387300
128,2016-07-07,79.650002,80.169998,79.040001,79.370003,72.44973,2167500
129,2016-07-08,80.220001,81.089996,80.0,80.970001,73.910225,1974900
130,2016-07-11,80.970001,81.400002,80.489998,80.989998,73.928474,2314700
131,2016-07-12,81.290001,82.639999,80.379997,82.419998,75.233803,3866600
132,2016-07-13,82.68,83.519997,82.43,82.959999,75.7267,2772600
133,2016-07-14,83.580002,84.650002,83.389999,83.639999,76.347435,3588100
134,2016-07-15,83.959999,83.959999,82.879997,83.410004,76.137466,2774600
135,2016-07-18,83.209999,83.919998,81.959999,83.82,76.511719,2489100
136,2016-07-19,82.82,83.32,82.470001,83.260002,76.000549,2487600
137,2016-07-20,83.040001,83.459999,82.75,82.809998,75.589806,2297600
138,2016-07-21,83.059998,83.620003,82.110001,82.220001,75.051239,3083900
139,2016-07-22,82.199997,82.199997,79.839996,80.120003,73.134338,4753500
140,2016-07-25,79.029999,79.099998,76.870003,77.919998,71.126137,7436300
141,2016-07-26,78.68,79.989998,78.559998,78.989998,72.102844,4139800
142,2016-07-27,79.360001,79.5,78.389999,78.449997,71.609932,2496500
143,2016-07-28,78.480003,78.559998,77.809998,78.169998,71.354355,4712400
144,2016-07-29,77.269997,78.18,77.129997,77.709999,70.934471,3753900
145,2016-08-01,77.75,77.980003,77.18,77.690002,70.916214,1898600
146,2016-08-02,77.360001,77.940002,77.360001,77.699997,70.925323,3483400
147,2016-08-03,77.760002,78.610001,77.709999,78.309998,71.482155,1865300
148,2016-08-04,78.400002,78.760002,77.410004,77.739998,70.961838,2235500
149,2016-08-05,78.07,78.830002,77.709999,78.339996,71.509537,2460100
150,2016-08-08,78.550003,78.989998,78.410004,78.919998,72.038963,2698600
151,2016-08-09,79.0,79.5,78.389999,78.889999,72.011566,3067900
152,2016-08-10,78.980003,79.190002,77.989998,78.150002,71.336113,1780500
153,2016-08-11,78.290001,78.470001,77.919998,77.989998,71.190041,2773000
154,2016-08-12,77.989998,78.230003,76.830002,77.0,70.286362,3812300
155,2016-08-15,77.150002,78.650002,76.959999,78.279999,71.454758,2667300
156,2016-08-16,78.190002,78.419998,77.739998,78.150002,71.336113,1947400
157,2016-08-17,78.0,78.309998,77.239998,77.43,70.678879,2764600
158,2016-08-18,77.160004,77.669998,76.730003,76.940002,70.231598,4041200
159,2016-08-19,76.940002,88.089996,76.940002,87.32,79.706551,23735600
160,2016-08-22,86.900002,88.43,86.599998,87.959999,80.290756,7998100
161,2016-08-23,88.400002,88.629997,87.260002,88.089996,80.409424,5280000
162,2016-08-24,87.860001,88.43,87.349998,87.419998,79.797859,3796000
163,2016-08-25,87.290001,87.699997,86.93,87.290001,79.679176,3044600
164,2016-08-26,87.330002,87.989998,86.589996,86.739998,79.177124,3031600
165,2016-08-29,86.660004,87.050003,86.349998,86.93,79.350563,2007600
166,2016-08-30,87.0,87.050003,85.510002,85.720001,78.246056,2918900
167,2016-08-31,85.489998,85.489998,83.919998,84.550003,77.178085,4440300
168,2016-09-01,84.5,84.82,83.379997,83.550003,76.265259,2996600
169,2016-09-02,83.949997,84.190002,83.739998,84.050003,76.721672,2071200
170,2016-09-06,83.93,84.639999,83.82,84.470001,77.105049,2906700
171,2016-09-07,84.199997,84.400002,83.769997,84.019997,76.694298,2186600
172,2016-09-08,83.870003,83.980003,83.25,83.580002,76.292648,2234600
173,2016-09-09,83.199997,83.360001,82.209999,82.230003,75.060364,3112100
174,2016-09-12,82.019997,83.660004,81.769997,83.089996,75.84539,3635300
