,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,109.919998,110.239998,108.349998,109.449997,102.663849,1198500
1,2016-01-05,110.169998,110.769997,109.160004,110.110001,103.282936,1078000
2,2016-01-06,108.419998,109.68,108.239998,109.230003,102.457512,575100
3,2016-01-07,107.339996,108.440002,105.139999,105.290001,98.761787,1087900
4,2016-01-08,105.75,105.93,102.040001,102.239998,95.900902,1421200
5,2016-01-11,103.019997,103.120003,100.75,101.830002,95.516319,1380100
6,2016-01-12,102.470001,103.150002,100.959999,102.419998,96.06974,1186100
7,2016-01-13,102.839996,103.730003,100.629997,101.040001,94.775299,1011400
8,2016-01-14,101.0,104.150002,100.349998,103.459999,97.04525,1263200
9,2016-01-15,100.68,103.300003,100.510002,102.860001,96.482468,953700
10,2016-01-19,103.940002,104.300003,102.93,103.860001,97.420471,1054400
11,2016-01-20,102.199997,102.82,98.400002,101.68,95.375633,886500
12,2016-01-21,102.0,103.32,100.879997,102.620003,96.257362,863000
13,2016-01-22,103.870003,104.870003,103.709999,104.839996,98.339684,708800
14,2016-01-25,104.629997,104.699997,103.720001,104.139999,97.683105,1024000
15,2016-01-26,104.309998,105.379997,104.010002,104.849998,98.349075,691100
16,2016-01-27,104.709999,105.18,102.470001,102.980003,96.595016,827800
17,2016-01-28,103.559998,103.68,101.650002,101.769997,95.460014,931500
18,2016-01-29,102.760002,105.860001,102.220001,105.800003,99.240181,1238100
19,2016-02-01,105.050003,107.389999,104.739998,106.919998,100.290733,986600
20,2016-02-02,106.010002,106.510002,103.290001,103.75,97.317276,854600
21,2016-02-03,104.489998,104.839996,100.870003,103.169998,96.773224,766700
22,2016-02-04,103.120003,104.160004,102.599998,103.669998,97.242241,584100
23,2016-02-05,103.269997,103.760002,99.529999,99.879997,93.687225,1049000
24,2016-02-08,99.120003,99.300003,92.809998,93.900002,88.078011,1683700
25,2016-02-09,92.650002,94.220001,92.260002,93.220001,87.440155,1781700
26,2016-02-10,93.940002,95.510002,93.010002,94.519997,88.659561,1549200
27,2016-02-11,93.959999,96.629997,91.720001,93.449997,87.655922,1635800
28,2016-02-12,95.300003,99.139999,95.300003,97.470001,91.426636,1402600
29,2016-02-16,98.970001,99.940002,97.610001,99.169998,93.021248,1327800
30,2016-02-17,100.089996,101.959999,99.489998,101.790001,95.478798,1054600
31,2016-02-18,102.220001,102.550003,100.410004,100.889999,94.634598,768100
