,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,58.57,59.07,58.240002,58.950001,48.2435,2998000
1,2016-01-05,59.080002,59.209999,58.009998,58.970001,48.259869,2534600
2,2016-01-06,58.66,58.77,58.0,58.580002,47.940693,3351600
3,2016-01-07,58.029999,58.630001,57.970001,58.290001,47.703365,2960700
4,2016-01-08,58.330002,58.700001,58.18,58.279999,47.695183,2360400
5,2016-01-11,58.459999,59.360001,58.27,59.200001,48.44809,4396200
6,2016-01-12,59.279999,59.57,58.34,59.400002,48.611774,2221700
7,2016-01-13,59.900002,60.200001,59.240002,59.380001,48.595402,1806300
8,2016-01-14,59.450001,60.060001,58.889999,59.549999,48.734528,2109700
9,2016-01-15,58.700001,59.48,58.59,59.119999,48.382622,2988300
10,2016-01-19,59.450001,60.310001,59.080002,60.119999,49.200996,3264700
11,2016-01-20,59.77,60.18,58.240002,59.009998,48.292603,3095800
12,2016-01-21,59.029999,59.490002,58.48,58.720001,48.055271,2045600
13,2016-01-22,58.830002,59.880001,58.450001,59.73,48.881828,2022400
14,2016-01-25,59.799999,60.009998,59.209999,59.919998,49.037323,2124900
15,2016-01-26,60.299999,61.310001,60.23,60.700001,49.675652,2813200
16,2016-01-27,60.900002,61.169998,60.049999,60.5,49.511986,1402600
17,2016-01-28,60.330002,62.110001,60.009998,61.560001,50.379467,1894900
18,2016-01-29,62.07,62.34,61.48,61.799999,50.575878,4771200
19,2016-02-01,61.810001,62.470001,61.490002,62.23,50.927784,3546900
20,2016-02-02,62.009998,62.810001,61.68,62.720001,51.328785,3614900
21,2016-02-03,62.91,64.480003,62.77,64.07,52.433594,3935700
22,2016-02-04,63.889999,64.309998,62.880001,63.07,51.615223,2506200
23,2016-02-05,63.189999,63.68,62.169998,63.290001,51.795269,2498800
24,2016-02-08,63.34,64.300003,62.650002,62.900002,51.476097,2181800
25,2016-02-09,63.0,63.75,62.720001,63.400002,51.885284,2737500
26,2016-02-10,63.200001,63.869999,62.290001,63.509998,51.975304,1492700
27,2016-02-11,63.189999,63.610001,62.32,62.349998,51.025978,2167200
28,2016-02-12,62.18,62.650002,61.509998,61.759998,50.54314,3337300
29,2016-02-16,61.93,62.470001,61.5,62.380001,51.050545,2100100
30,2016-02-17,62.41,62.709999,61.77,62.529999,51.173298,1870900
31,2016-02-18,62.48,64.010002,62.369999,63.700001,52.130802,1738700
32,2016-02-19,63.630001,63.650002,62.830002,62.889999,51.467911,2678300
33,2016-02-22,63.240002,64.25,62.98,64.239998,52.572723,2109600
34,2016-02-23,63.959999,65.290001,63.599998,64.980003,53.178326,3137200
35,2016-02-24,66.75,68.370003,66.550003,67.830002,55.510719,6781500
36,2016-02-25,67.830002,69.239998,67.709999,68.790001,56.296345,4014000
37,2016-02-26,68.629997,68.779999,67.059998,67.260002,55.044243,2971200
38,2016-02-29,67.199997,68.800003,67.019997,68.160004,55.780777,2784100
39,2016-03-01,68.75,68.879997,66.510002,66.879997,54.733238,3601300
40,2016-03-02,66.760002,67.089996,65.599998,66.970001,54.806908,2851500
41,2016-03-03,67.099998,67.459999,66.379997,67.419998,55.175182,2379700
42,2016-03-04,66.809998,67.93,66.550003,67.709999,55.412502,2049400
43,2016-03-07,67.839996,68.730003,67.400002,68.559998,56.108116,2046300
44,2016-03-08,68.720001,69.360001,68.279999,69.099998,56.550056,2779000
45,2016-03-09,69.07,69.989998,68.849998,69.75,57.081997,2455600
46,2016-03-10,69.559998,69.900002,69.099998,69.760002,57.090183,1898900
47,2016-03-11,70.0,70.779999,69.949997,70.400002,57.613941,2991100
48,2016-03-14,70.239998,70.470001,69.809998,70.139999,57.401165,1659300
49,2016-03-15,70.18,70.699997,69.839996,70.029999,57.311146,2061200
50,2016-03-16,70.029999,70.93,69.18,70.68,57.843098,1731400
51,2016-03-17,70.690002,71.519997,70.5,71.25,58.309566,1523700
52,2016-03-18,71.519997,71.639999,70.589996,71.43,58.456867,4017800
53,2016-03-21,71.150002,71.790001,70.540001,71.379997,58.415958,1163000
54,2016-03-22,71.5,71.849998,70.849998,70.959999,58.072239,2079300
55,2016-03-23,71.050003,71.839996,70.699997,71.589996,58.587811,1782000
56,2016-03-24,71.419998,71.93,70.830002,71.339996,58.383236,2127400
57,2016-03-28,71.419998,71.669998,70.730003,71.32,58.366863,1497800
58,2016-03-29,71.089996,72.18,70.870003,72.110001,59.413239,1878600
59,2016-03-30,72.07,72.339996,71.559998,71.599998,58.993061,1739900
60,2016-03-31,71.830002,72.07,71.339996,71.889999,59.231979,1767700
61,2016-04-01,71.349998,72.410004,71.0,71.940002,59.273167,2464200
62,2016-04-04,72.0,72.379997,71.029999,71.830002,59.182552,2116900
63,2016-04-05,71.730003,71.870003,70.349998,70.440002,58.037292,2511600
64,2016-04-06,70.360001,70.629997,69.940002,70.360001,57.971367,1454900
65,2016-04-07,70.300003,70.809998,70.019997,70.199997,57.839546,1964600
66,2016-04-08,70.379997,71.260002,70.260002,70.690002,58.243259,982100
67,2016-04-11,70.75,71.25,70.43,70.559998,58.136143,1260300
68,2016-04-12,70.540001,71.059998,70.110001,70.989998,58.490448,1820400
69,2016-04-13,71.080002,71.110001,69.690002,70.07,57.73243,2095100
70,2016-04-14,69.949997,70.510002,69.669998,70.040001,57.70771,1583800
71,2016-04-15,70.110001,71.190002,70.110001,71.059998,58.548119,1578500
72,2016-04-18,70.129997,71.080002,69.849998,71.059998,58.548119,1390200
73,2016-04-19,71.209999,71.480003,70.720001,71.419998,58.844738,1502400
74,2016-04-20,71.389999,71.5,69.419998,69.510002,57.271038,1261800
75,2016-04-21,69.349998,69.389999,67.709999,68.0,56.026905,1531100
76,2016-04-22,68.32,68.839996,68.309998,68.650002,56.562458,1154900
77,2016-04-25,68.620003,68.75,68.209999,68.720001,56.620132,1422700
78,2016-04-26,68.830002,69.269997,68.650002,68.830002,56.71077,1297100
79,2016-04-27,69.110001,70.360001,68.839996,69.980003,57.658291,1486500
80,2016-04-28,69.269997,70.220001,69.010002,70.110001,57.765396,1264500
81,2016-04-29,69.599998,70.720001,69.269997,70.709999,58.259739,2104800
82,2016-05-02,70.779999,71.690002,70.389999,71.440002,58.861217,2311100
83,2016-05-03,71.260002,71.940002,70.489998,71.669998,59.050716,2445200
84,2016-05-04,71.480003,73.150002,71.260002,72.760002,59.948811,2329900
85,2016-05-05,72.760002,73.25,71.879997,72.300003,59.56979,1572000
86,2016-05-06,72.25,72.25,71.18,71.989998,59.314373,1644700
87,2016-05-09,72.129997,72.660004,71.849998,72.589996,59.808727,924000
88,2016-05-10,72.629997,72.629997,70.830002,71.32,58.762337,3237500
89,2016-05-11,71.599998,72.019997,71.169998,71.970001,59.29789,2220200
90,2016-05-12,71.959999,72.300003,71.599998,71.940002,59.273167,1865300
91,2016-05-13,71.870003,71.989998,71.129997,71.410004,58.836491,1588400
92,2016-05-16,71.230003,71.559998,70.830002,71.410004,58.836491,1581300
93,2016-05-17,71.239998,71.480003,69.82,70.110001,57.765396,1515400
94,2016-05-18,69.790001,70.480003,68.830002,68.989998,56.84259,2180600
95,2016-05-19,68.800003,69.580002,68.470001,69.580002,57.328716,1651400
96,2016-05-20,69.830002,70.080002,69.139999,70.050003,57.71595,1475900
97,2016-05-23,70.099998,70.160004,69.160004,69.220001,57.032097,1298700
98,2016-05-24,69.349998,70.019997,69.349998,69.910004,57.600613,1103900
99,2016-05-25,69.779999,70.010002,69.199997,69.769997,57.485252,1211800
100,2016-05-26,69.860001,70.93,69.809998,70.839996,58.366863,1167400
101,2016-05-27,70.959999,71.169998,70.470001,70.779999,58.317421,1157800
102,2016-05-31,70.790001,71.699997,70.730003,71.629997,59.017754,2173100
103,2016-06-01,71.510002,71.849998,71.239998,71.57,58.968319,1797200
104,2016-06-02,71.32,71.790001,70.720001,71.760002,59.124859,1532800
105,2016-06-03,72.43,73.0,72.379997,72.529999,59.759281,1391000
106,2016-06-06,72.57,72.860001,72.150002,72.540001,59.767536,1339900
107,2016-06-07,72.529999,72.900002,72.209999,72.440002,59.685135,1196900
108,2016-06-08,72.370003,72.940002,72.339996,72.900002,60.06414,767400
109,2016-06-09,72.830002,73.75,72.830002,73.660004,60.690331,1344800
110,2016-06-10,73.669998,74.110001,73.480003,73.959999,60.937492,1290500
111,2016-06-13,74.080002,74.459999,73.68,73.879997,60.871586,1550700
112,2016-06-14,73.870003,74.110001,73.160004,74.080002,61.036366,1129900
113,2016-06-15,74.080002,74.290001,73.199997,73.459999,60.525528,1132700
114,2016-06-16,73.629997,74.150002,73.589996,73.919998,60.904537,923200
115,2016-06-17,73.849998,74.150002,73.220001,74.120003,61.069332,1522800
116,2016-06-20,74.029999,74.25,73.239998,73.93,60.912781,956500
117,2016-06-21,73.93,74.559998,73.599998,74.120003,61.069332,1150700
118,2016-06-22,74.379997,74.379997,73.75,73.839996,60.838627,1132300
119,2016-06-23,73.940002,73.989998,73.389999,73.989998,60.962231,1072100
120,2016-06-24,73.330002,75.370003,73.209999,74.589996,61.456585,2065000
121,2016-06-27,74.419998,76.599998,74.419998,76.449997,62.989063,2406700
122,2016-06-28,75.82,76.18,74.660004,76.040001,63.047123,2572600
123,2016-06-29,76.190002,76.589996,75.739998,76.099998,63.096863,2142300
124,2016-06-30,75.910004,77.709999,75.709999,77.669998,64.398605,3282800
125,2016-07-01,78.0,78.029999,76.550003,77.650002,64.382019,1606800
126,2016-07-05,77.779999,78.690002,77.580002,78.550003,65.128235,2074600
127,2016-07-06,78.349998,78.720001,77.57,78.400002,65.003876,2471900
128,2016-07-07,78.010002,78.010002,76.769997,77.040001,63.876247,1418500
129,2016-07-08,76.730003,78.209999,76.040001,78.169998,64.813156,2351300
130,2016-07-11,77.760002,78.07,76.889999,77.989998,64.66391,1714300
131,2016-07-12,77.529999,77.699997,76.489998,76.57,63.486561,2369800
132,2016-07-13,76.919998,77.440002,74.449997,77.410004,64.183022,2000200
133,2016-07-14,76.82,77.220001,76.389999,77.110001,63.934288,2005500
134,2016-07-15,77.330002,77.620003,76.809998,77.18,63.992329,1542800
135,2016-07-18,77.309998,77.620003,77.18,77.220001,64.025505,1396000
136,2016-07-19,77.269997,77.419998,76.82,77.110001,63.934288,1092200
137,2016-07-20,77.059998,77.120003,76.43,76.510002,63.436798,872100
138,2016-07-21,76.269997,76.870003,75.989998,76.739998,63.627506,1842700
139,2016-07-22,76.769997,77.660004,76.470001,77.639999,64.373734,1379500
140,2016-07-25,77.620003,77.870003,77.019997,77.379997,64.15815,1008900
141,2016-07-26,77.190002,77.440002,76.650002,76.860001,63.727001,1225600
142,2016-07-27,76.599998,76.690002,75.419998,76.019997,63.030529,1873800
143,2016-07-28,76.089996,76.739998,76.059998,76.449997,63.387054,1236300
144,2016-07-29,76.370003,77.629997,75.959999,77.379997,64.15815,1614500
145,2016-08-01,77.040001,77.400002,76.800003,77.050003,63.884525,1541100
146,2016-08-02,76.599998,76.830002,76.150002,76.559998,63.478264,1236800
147,2016-08-03,76.559998,76.580002,75.690002,75.980003,62.99736,1254200
148,2016-08-04,76.07,76.860001,75.919998,76.230003,63.204655,1344000
149,2016-08-05,75.699997,75.949997,74.889999,74.989998,62.176529,1233600
150,2016-08-08,75.150002,75.330002,74.610001,74.949997,62.143368,1265700
151,2016-08-09,74.970001,75.599998,74.790001,75.300003,62.433548,892900
152,2016-08-10,75.330002,75.580002,75.029999,75.110001,62.276035,1134400
153,2016-08-11,75.260002,75.550003,74.989998,75.5,62.599384,987900
154,2016-08-12,75.779999,76.239998,75.559998,75.839996,62.881302,1195000
155,2016-08-15,75.82,75.980003,74.510002,74.559998,61.819996,1340400
156,2016-08-16,74.32,74.32,73.330002,73.330002,60.800163,1659700
157,2016-08-17,73.400002,74.43,72.639999,74.239998,61.554684,2440800
158,2016-08-18,74.260002,75.059998,74.080002,75.059998,62.234581,2114600
159,2016-08-19,74.779999,74.93,73.760002,74.209999,61.529793,1675900
160,2016-08-22,74.419998,74.68,74.239998,74.379997,61.670773,868200
161,2016-08-23,74.349998,74.769997,73.940002,73.970001,61.33083,1066200
162,2016-08-24,73.849998,74.080002,73.32,73.989998,61.347397,979300
163,2016-08-25,74.040001,74.230003,73.589996,73.650002,61.065487,1536700
164,2016-08-26,73.720001,74.199997,71.760002,71.900002,59.61451,1984300
165,2016-08-29,72.040001,72.849998,72.040001,72.809998,60.369026,1820000
166,2016-08-30,72.650002,73.0,71.919998,71.959999,59.664265,1004100
167,2016-08-31,72.019997,72.739998,71.739998,72.720001,60.294407,1724600
168,2016-09-01,72.660004,72.760002,72.25,72.699997,60.277828,1509700
169,2016-09-02,73.050003,73.879997,72.75,73.699997,61.106949,1828800
170,2016-09-06,73.959999,74.5,73.57,74.110001,61.446899,1592500
171,2016-09-07,74.0,74.040001,73.519997,73.769997,61.164986,1156300
172,2016-09-08,73.589996,74.010002,73.32,73.849998,61.231319,1254200
173,2016-09-09,73.169998,73.269997,71.309998,71.400002,59.199947,2995600
