,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,52.040001,52.259998,50.779999,52.220001,44.57045,3840100
1,2016-01-05,52.220001,52.34,51.259998,51.849998,44.254646,2102300
2,2016-01-06,50.82,51.290001,50.360001,50.919998,43.460888,2873000
3,2016-01-07,49.950001,50.259998,49.380001,49.73,42.445206,4586600
4,2016-01-08,50.049999,50.41,49.060001,49.169998,41.967239,3448200
5,2016-01-11,49.639999,49.810001,48.580002,49.150002,41.950161,3176000
6,2016-01-12,49.73,50.09,48.849998,49.950001,42.632977,3416100
7,2016-01-13,50.110001,50.59,48.349998,48.43,41.335636,3562300
8,2016-01-14,48.709999,48.709999,47.150002,48.32,41.241753,4650700
9,2016-01-15,47.009998,48.119999,46.98,47.860001,40.84914,4605500
10,2016-01-19,48.599998,48.740002,47.450001,48.09,41.045441,3473400
11,2016-01-20,47.23,47.950001,46.189999,47.509998,40.550407,4127000
12,2016-01-21,47.57,48.689999,46.779999,47.779999,40.780849,3767200
13,2016-01-22,48.869999,49.470001,47.689999,48.509998,41.403919,3436800
14,2016-01-25,48.23,48.560001,47.150002,47.27,40.345558,2506000
15,2016-01-26,48.27,49.139999,47.459999,49.02,41.839203,3406900
16,2016-01-27,48.990002,50.709999,48.32,49.439999,42.197678,4581500
17,2016-01-28,50.299999,50.700001,49.5,50.189999,42.837818,3825800
18,2016-01-29,48.599998,50.509998,47.75,50.509998,43.110943,8031300
19,2016-02-01,50.040001,50.450001,49.27,50.220001,42.863419,3902600
20,2016-02-02,49.610001,50.080002,48.610001,49.0,41.82214,5797600
21,2016-02-03,51.950001,52.619999,50.310001,52.48,44.792362,7387400
22,2016-02-04,52.470001,55.259998,52.470001,54.360001,46.396965,6098100
23,2016-02-05,53.970001,55.25,53.75,54.66,46.653027,4270900
24,2016-02-08,54.0,55.299999,53.139999,55.110001,47.037106,6236700
25,2016-02-09,53.759998,55.25,53.759998,54.48,46.49939,5233800
26,2016-02-10,54.599998,54.959999,53.639999,53.700001,45.833649,3496500
27,2016-02-11,52.59,53.720001,52.349998,53.099998,45.321541,4928200
28,2016-02-12,53.91,54.509998,53.049999,54.200001,46.260414,4027000
29,2016-02-16,54.18,54.91,53.509998,54.82,46.789577,3512400
30,2016-02-17,55.41,56.77,55.099998,56.009998,47.805267,3586700
31,2016-02-18,56.16,56.490002,55.869999,56.200001,47.96743,2727800
32,2016-02-19,55.860001,56.150002,54.919998,56.009998,47.805267,2669700
33,2016-02-22,56.009998,57.91,56.009998,57.68,49.230637,4353300
34,2016-02-23,57.400002,57.93,56.41,56.549999,48.266163,2522700
35,2016-02-24,55.810001,56.919998,54.91,56.799999,48.479546,2784600
36,2016-02-25,56.75,57.34,56.09,57.279999,48.889233,2418100
37,2016-02-26,57.540001,57.98,57.060001,57.27,48.880695,2385000
38,2016-02-29,57.43,57.759998,56.68,56.709999,48.402725,4059500
39,2016-03-01,57.689999,58.580002,57.040001,58.060001,49.554974,3732400
40,2016-03-02,57.91,57.970001,57.139999,57.950001,49.461082,3066400
41,2016-03-03,57.389999,57.849998,56.970001,57.830002,49.84898,2272100
42,2016-03-04,57.869999,58.540001,57.27,57.950001,49.952423,2887500
43,2016-03-07,57.77,59.110001,57.75,59.02,50.874752,2580400
44,2016-03-08,58.540001,58.540001,57.709999,57.869999,49.883453,2248900
45,2016-03-09,58.23,58.740002,57.860001,58.560001,50.478233,2851200
46,2016-03-10,58.650002,59.450001,58.380001,59.41,51.210926,4580900
47,2016-03-11,59.650002,60.630001,59.650002,60.130001,51.831562,3767800
48,2016-03-14,59.689999,60.66,59.5,60.5,52.150494,2467000
49,2016-03-15,60.029999,60.490002,59.360001,60.450001,52.107407,2490200
50,2016-03-16,60.43,61.07,59.93,60.779999,52.391846,2992900
51,2016-03-17,60.779999,63.299999,60.779999,63.110001,54.400299,4276000
52,2016-03-18,63.310001,63.990002,62.529999,63.470001,54.710609,7865100
53,2016-03-21,63.459999,63.759998,63.139999,63.68,54.89164,3562200
54,2016-03-22,63.200001,63.959999,62.84,63.419998,54.667511,3401200
55,2016-03-23,63.259998,63.259998,62.400002,62.48,53.857239,2905500
56,2016-03-24,61.93,62.400002,61.310001,62.369999,53.762417,2160200
57,2016-03-28,62.52,62.630001,62.009998,62.470001,53.848621,1647800
58,2016-03-29,62.0,62.5,61.619999,62.369999,53.762417,2488500
59,2016-03-30,62.880001,63.169998,62.459999,62.75,54.089981,1758600
60,2016-03-31,62.75,62.970001,62.259998,62.560001,53.926201,2140700
61,2016-04-01,61.889999,63.799999,61.439999,63.66,54.87439,3007500
62,2016-04-04,62.889999,63.330002,62.490002,62.650002,54.003777,2364500
63,2016-04-05,61.68,61.709999,60.220001,60.389999,52.055679,6084400
64,2016-04-06,60.27,60.419998,58.130001,59.549999,51.331604,6787900
65,2016-04-07,59.07,60.200001,58.939999,59.48,51.271259,4162300
66,2016-04-08,60.110001,60.759998,59.790001,59.91,51.641926,2640300
67,2016-04-11,60.16,61.200001,60.099998,60.619999,52.253944,2430900
68,2016-04-12,60.779999,61.790001,60.740002,61.540001,53.046959,2525400
69,2016-04-13,61.950001,63.139999,61.73,63.040001,54.339954,2420200
70,2016-04-14,63.310001,63.389999,62.43,62.580002,53.943432,2108000
71,2016-04-15,62.650002,63.259998,62.580002,62.830002,54.158939,2308600
72,2016-04-18,62.59,62.900002,62.200001,62.68,54.029633,1538900
73,2016-04-19,63.439999,63.439999,62.610001,62.77,54.107216,2124800
74,2016-04-20,62.860001,62.950001,62.07,62.16,53.581406,2858200
75,2016-04-21,62.080002,62.66,61.830002,62.150002,53.572784,2383900
76,2016-04-22,61.900002,63.060001,61.900002,62.990002,54.296856,1903500
77,2016-04-25,62.549999,62.880001,61.849998,62.259998,53.667603,1833500
78,2016-04-26,62.700001,63.380001,62.650002,63.25,54.520966,2066700
79,2016-04-27,63.330002,63.91,63.060001,63.830002,55.020931,1830000
80,2016-04-28,63.509998,63.98,62.900002,63.189999,54.469254,2457800
81,2016-04-29,62.5,63.75,62.32,63.27,54.538219,3369500
82,2016-05-02,63.48,63.619999,62.169998,63.459999,54.701992,2722000
83,2016-05-03,63.16,63.5,62.529999,63.290001,54.55545,3956900
84,2016-05-04,62.400002,62.59,60.450001,60.970001,53.03326,3102500
85,2016-05-05,61.130001,61.610001,60.619999,60.98,53.04195,1891500
86,2016-05-06,60.830002,61.380001,60.32,61.299999,53.320301,1895900
87,2016-05-09,61.110001,61.189999,60.310001,60.66,52.763607,1764900
88,2016-05-10,60.779999,62.130001,60.59,62.099998,54.016159,1567100
89,2016-05-11,62.049999,62.639999,61.799999,62.0,53.92918,1837500
