,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,44.349998,44.470001,43.490002,44.259998,41.12664,2096800
1,2016-01-05,44.060001,44.66,43.740002,44.549999,41.396103,2323400
2,2016-01-06,44.0,44.330002,43.560001,43.639999,40.550526,1296400
3,2016-01-07,41.459999,42.950001,40.5,42.66,39.639908,4722900
4,2016-01-08,42.66,43.299999,42.560001,42.779999,39.751411,2526300
5,2016-01-11,43.0,43.400002,42.41,42.990002,39.946548,2543100
6,2016-01-12,43.299999,43.560001,42.790001,43.5,40.420437,1529000
7,2016-01-13,43.419998,43.709999,42.299999,42.619999,39.602741,1280300
8,2016-01-14,42.82,43.619999,42.299999,43.200001,40.141682,2566800
9,2016-01-15,40.950001,42.25,40.41,42.200001,39.212475,4082000
10,2016-01-19,42.75,43.360001,42.450001,42.950001,39.909382,2223200
11,2016-01-20,42.34,43.540001,42.330002,43.279999,40.216015,3069500
12,2016-01-21,43.330002,43.779999,42.959999,43.400002,40.327534,2470200
13,2016-01-22,43.889999,44.360001,43.150002,43.650002,40.559826,1796200
14,2016-01-25,43.32,43.529999,42.990002,43.099998,40.048763,1586200
15,2016-01-26,43.18,44.380001,43.18,44.189999,41.061592,1436600
16,2016-01-27,44.110001,44.580002,43.779999,44.060001,40.9408,1459700
17,2016-01-28,44.16,44.59,43.84,44.48,41.331066,1514400
18,2016-01-29,44.790001,45.25,44.099998,45.119999,41.925758,2583000
19,2016-02-01,44.939999,45.349998,44.599998,45.16,41.962921,1678100
20,2016-02-02,44.75,45.130001,44.18,44.330002,41.191692,1764200
21,2016-02-03,44.709999,44.970001,44.139999,44.369999,41.228851,1732000
22,2016-02-04,44.369999,45.84,44.369999,45.790001,42.548325,1325500
23,2016-02-05,45.790001,45.990002,45.470001,45.849998,42.604076,1758400
24,2016-02-08,45.240002,46.16,45.080002,46.049999,42.789913,2084100
25,2016-02-09,45.759998,46.099998,45.34,45.900002,42.650539,2283600
26,2016-02-10,46.060001,46.240002,45.029999,45.07,41.879299,1256900
27,2016-02-11,44.43,45.02,44.130001,44.689999,41.526196,1599500
28,2016-02-12,45.23,45.939999,45.049999,45.700001,42.464695,1877300
29,2016-02-16,46.16,46.740002,45.490002,46.580002,43.282402,1126100
30,2016-02-17,46.84,47.209999,46.599998,46.799999,43.486824,1174800
31,2016-02-18,46.849998,47.200001,46.509998,46.73,43.421776,947300
32,2016-02-19,46.66,46.810001,46.209999,46.689999,43.384602,1112600
33,2016-02-22,47.0,47.459999,46.599998,46.75,43.440357,2208700
34,2016-02-23,43.939999,45.959999,43.610001,45.189999,41.990795,3244500
35,2016-02-24,44.700001,45.740002,44.599998,45.470001,42.25098,1998700
36,2016-02-25,45.759998,45.98,45.400002,45.91,42.659828,970600
37,2016-02-26,46.0,46.48,45.810001,46.080002,42.817795,889700
38,2016-02-29,46.080002,46.349998,45.759998,45.779999,42.539036,1354400
39,2016-03-01,46.09,46.5,45.740002,46.290001,43.012928,1541900
40,2016-03-02,46.400002,46.490002,45.759998,46.18,42.910713,1916100
41,2016-03-03,46.07,46.810001,45.639999,46.639999,43.33815,1276500
42,2016-03-04,46.77,47.330002,46.560001,46.93,43.60762,1114500
43,2016-03-07,46.240002,47.349998,46.060001,47.259998,43.914253,1453200
44,2016-03-08,46.91,47.57,46.540001,47.209999,43.86779,2081300
45,2016-03-09,47.259998,47.82,47.07,47.389999,44.035053,1928400
46,2016-03-10,47.470001,47.959999,46.950001,47.790001,44.406734,1517400
47,2016-03-11,48.0,48.66,47.860001,48.060001,44.657619,1878300
48,2016-03-14,47.889999,48.060001,47.27,47.799999,44.416023,1963100
49,2016-03-15,47.59,48.27,47.330002,48.119999,44.713367,1040700
50,2016-03-16,47.860001,48.09,47.310001,48.0,44.601868,1621100
51,2016-03-17,48.150002,49.360001,47.77,48.75,45.298782,1600700
52,2016-03-18,48.77,48.990002,48.279999,48.48,45.04789,2846500
53,2016-03-21,48.5,48.689999,46.419998,48.48,45.04789,1552600
54,2016-03-22,48.310001,48.650002,47.919998,48.380001,44.954964,1198600
55,2016-03-23,48.43,48.66,48.040001,48.5,45.066475,1052600
56,2016-03-24,48.299999,48.77,48.040001,48.66,45.215145,1352600
57,2016-03-28,49.549999,49.560001,48.529999,48.73,45.280186,799100
58,2016-03-29,48.529999,48.959999,48.330002,48.790001,45.335938,827500
59,2016-03-30,49.0,49.200001,48.68,48.709999,45.2616,731200
60,2016-03-31,48.860001,48.990002,48.549999,48.810001,45.354527,918100
61,2016-04-01,48.48,48.860001,47.77,48.849998,45.391689,1104300
62,2016-04-04,48.299999,48.669998,47.630001,47.790001,44.406734,1209000
63,2016-04-05,47.57,48.049999,47.360001,47.779999,44.397438,1160600
64,2016-04-06,47.610001,47.919998,47.279999,47.790001,44.406734,844400
65,2016-04-07,47.310001,47.630001,46.82,47.349998,43.997887,1387600
66,2016-04-08,47.610001,48.09,47.330002,47.490002,44.127975,736400
67,2016-04-11,47.790001,48.330002,47.619999,47.91,44.518242,1240800
68,2016-04-12,47.990002,48.0,47.470001,47.880001,44.490368,915600
69,2016-04-13,48.09,48.5,47.849998,48.459999,45.029301,1166300
70,2016-04-14,48.5,48.91,48.169998,48.700001,45.252308,1258700
71,2016-04-15,49.200001,49.84,49.119999,49.240002,45.754089,1521300
72,2016-04-18,49.07,49.419998,48.849998,49.200001,45.716923,818000
73,2016-04-19,49.529999,49.900002,49.310001,49.82,46.293022,1351700
74,2016-04-20,49.900002,49.98,49.360001,49.369999,45.874882,801900
75,2016-04-21,48.82,48.950001,48.0,48.709999,45.2616,872200
76,2016-04-22,48.77,49.169998,48.610001,48.950001,45.484608,769400
77,2016-04-25,48.75,49.07,48.52,48.91,45.447445,891000
78,2016-04-26,48.919998,49.799999,48.689999,49.639999,46.125763,1461000
79,2016-04-27,49.57,50.490002,49.32,50.349998,46.7855,2002800
80,2016-04-28,50.16,50.459999,49.560001,49.849998,46.3209,1649400
81,2016-04-29,49.419998,49.849998,49.189999,49.610001,46.097885,1945200
82,2016-05-02,49.529999,50.630001,49.5,50.259998,46.701874,3216000
83,2016-05-03,49.209999,49.240002,46.900002,47.389999,44.035053,4125200
84,2016-05-04,47.290001,47.75,46.740002,47.580002,44.211609,2155900
85,2016-05-05,47.599998,47.889999,47.389999,47.470001,44.109398,1551400
86,2016-05-06,47.43,48.490002,47.23,48.400002,44.973557,1444700
87,2016-05-09,48.439999,48.740002,48.130001,48.299999,44.88063,1232800
88,2016-05-10,48.610001,48.990002,48.439999,48.73,45.280186,1037200
