,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,19.48,19.68,19.34,19.549999,16.363125,11600500
1,2016-01-05,19.559999,19.73,19.389999,19.610001,16.413347,8994000
2,2016-01-06,19.209999,19.41,19.110001,19.32,16.170614,8937500
3,2016-01-07,18.93,19.07,18.68,18.709999,15.660055,11183200
4,2016-01-08,18.77,18.950001,18.35,18.389999,15.39222,9007300
5,2016-01-11,18.459999,18.620001,18.02,18.17,15.20808,10964500
6,2016-01-12,18.41,18.41,17.940001,18.27,15.291782,8673500
7,2016-01-13,18.42,18.450001,17.33,17.33,14.505013,18186200
8,2016-01-14,17.49,17.82,17.09,17.65,14.772848,15342000
9,2016-01-15,17.040001,17.24,16.75,17.120001,14.329246,10111800
10,2016-01-19,17.41,17.440001,16.719999,16.879999,14.128365,9522100
11,2016-01-20,16.51,16.719999,15.95,16.530001,13.835423,18492400
12,2016-01-21,16.76,17.25,15.72,15.73,13.16583,21771300
13,2016-01-22,16.09,16.18,15.66,15.94,13.341598,20065400
14,2016-01-25,15.78,15.88,14.9,15.01,12.563199,24445600
15,2016-01-26,15.14,15.4,15.05,15.23,12.747334,17255200
16,2016-01-27,15.15,15.87,15.12,15.42,12.906363,11566800
17,2016-01-28,15.68,15.96,15.44,15.57,13.031913,10970100
18,2016-01-29,15.64,15.81,15.48,15.8,13.224418,11539600
19,2016-02-01,15.77,15.81,15.54,15.75,13.182571,9965900
20,2016-02-02,15.47,15.6,15.19,15.33,12.831036,8785100
21,2016-02-03,15.55,15.57,14.9,15.36,12.856141,10961900
22,2016-02-04,15.31,15.76,15.31,15.53,12.998432,8712400
23,2016-02-05,15.56,15.73,15.26,15.33,12.831036,10519700
24,2016-02-08,15.05,15.33,14.52,14.8,12.387429,10721900
25,2016-02-09,14.54,15.01,14.45,14.83,12.412541,8490400
26,2016-02-10,14.98,15.12,14.66,14.67,12.278624,9804000
27,2016-02-11,14.22,14.41,13.84,13.94,11.667622,13541300
28,2016-02-12,14.26,14.89,14.21,14.87,12.446021,10604500
29,2016-02-16,14.92,15.78,14.92,15.58,13.040281,13441800
30,2016-02-17,15.75,15.92,15.32,15.41,12.897993,10156600
31,2016-02-18,15.48,15.66,15.02,15.15,12.680378,7721600
32,2016-02-19,15.05,15.32,14.91,15.28,12.789185,6461500
33,2016-02-22,15.47,15.7,15.4,15.67,13.115609,6385900
34,2016-02-23,15.6,15.64,15.0,15.1,12.638529,8010900
35,2016-02-24,14.85,15.1,14.56,15.05,12.596679,7892100
36,2016-02-25,15.15,15.32,15.04,15.3,12.805924,7226900
37,2016-02-26,15.47,15.92,15.3,15.68,13.123981,7817100
38,2016-02-29,15.6,15.65,15.2,15.26,12.772447,8214500
39,2016-03-01,15.39,16.200001,15.39,16.16,13.525736,9532700
