,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,99.769997,100.0,97.010002,98.010002,81.695839,14904400
1,2016-01-05,99.690002,99.849998,98.699997,99.260002,82.737762,9260800
2,2016-01-06,97.57,100.68,97.519997,100.300003,83.604645,12540700
3,2016-01-07,98.059998,99.0,96.029999,96.25,80.22879,12944600
4,2016-01-08,96.900002,97.989998,96.410004,96.449997,80.395485,11976000
5,2016-01-11,97.220001,97.220001,94.290001,96.5,80.437172,12322500
6,2016-01-12,96.900002,98.489998,95.209999,97.099998,80.937302,9830100
7,2016-01-13,97.25,98.029999,92.120003,92.540001,77.136322,12135700
8,2016-01-14,92.720001,94.879997,90.790001,93.019997,77.53643,16303200
9,2016-01-15,90.370003,92.779999,89.68,91.839996,76.552841,18108300
10,2016-01-19,93.139999,93.220001,88.849998,89.900002,74.935776,14373700
11,2016-01-20,88.0,91.830002,86.279999,90.550003,75.477585,19676300
12,2016-01-21,90.370003,90.599998,88.709999,88.870003,74.077217,12158300
13,2016-01-22,90.400002,92.07,89.709999,91.830002,76.54451,9160700
14,2016-01-25,91.529999,93.540001,90.43,90.610001,75.527596,10188400
15,2016-01-26,90.720001,92.830002,90.25,92.209999,76.861282,6889200
16,2016-01-27,91.839996,92.099998,89.0,89.629997,74.710701,12520300
17,2016-01-28,90.0,90.220001,86.860001,87.529999,72.960281,14168300
18,2016-01-29,84.279999,85.300003,82.330002,83.0,69.184311,37029000
19,2016-02-01,82.32,84.519997,82.279999,84.050003,70.05954,17943600
20,2016-02-02,84.18,84.220001,81.889999,82.709999,68.942574,16895600
21,2016-02-03,84.910004,86.989998,83.870003,86.389999,72.010017,24497700
22,2016-02-04,86.019997,87.449997,85.610001,86.68,72.251747,14538700
23,2016-02-05,86.68,88.019997,84.449997,85.139999,70.968086,15732800
24,2016-02-08,84.190002,86.650002,83.860001,85.260002,71.068138,19111300
25,2016-02-09,84.199997,88.480003,84.099998,87.25,72.726891,14322700
26,2016-02-10,88.690002,89.849998,87.540001,87.800003,73.185333,13462300
27,2016-02-11,86.5,88.449997,86.010002,87.360001,72.818558,13013400
28,2016-02-12,88.660004,89.879997,86.68,89.440002,74.552338,11311700
29,2016-02-16,90.720001,91.279999,89.889999,91.150002,75.977699,12278000
30,2016-02-17,91.089996,91.5,88.660004,89.360001,74.485664,22772800
31,2016-02-18,89.599998,90.949997,88.93,88.989998,74.177246,11427500
32,2016-02-19,88.199997,88.980003,87.120003,87.440002,72.885254,12897800
33,2016-02-22,88.349998,89.5,88.050003,89.099998,74.268944,9749400
34,2016-02-23,89.099998,89.400002,87.900002,88.349998,73.643791,8394500
35,2016-02-24,87.410004,89.540001,86.790001,89.360001,74.485664,8338400
36,2016-02-25,90.0,90.489998,89.550003,90.160004,75.152496,9171500
37,2016-02-26,90.610001,90.919998,87.889999,88.099998,73.435387,13349700
38,2016-02-29,87.870003,89.139999,87.25,87.25,72.726891,12732500
39,2016-03-01,87.900002,89.720001,87.300003,89.690002,74.760742,11746100
40,2016-03-02,89.599998,89.68,87.959999,88.800003,74.018883,10557200
41,2016-03-03,89.129997,89.309998,87.480003,87.830002,73.210327,12374600
42,2016-03-04,88.300003,89.099998,86.849998,87.209999,72.693542,21201900
43,2016-03-07,87.110001,90.040001,86.879997,89.650002,74.727386,13100600
