,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,10.76,10.81,10.58,10.7,8.686923,14209900
1,2016-01-05,10.76,10.81,10.65,10.72,8.703164,9529200
2,2016-01-06,10.51,10.65,10.48,10.55,8.565146,7561600
3,2016-01-07,10.32,10.44,10.18,10.23,8.30535,13056000
4,2016-01-08,10.4,10.4,10.02,10.05,8.159214,12049200
5,2016-01-11,10.14,10.19,9.98,10.1,8.199808,12756200
6,2016-01-12,10.18,10.21,9.97,10.18,8.264758,11974700
7,2016-01-13,10.22,10.25,9.72,9.75,7.915656,15425600
8,2016-01-14,9.82,9.92,9.55,9.85,7.996843,13622400
9,2016-01-15,9.55,9.61,9.38,9.58,7.777639,14389000
10,2016-01-19,9.78,9.78,9.42,9.48,7.696452,10383500
11,2016-01-20,9.26,9.32,9.02,9.26,7.517842,25958500
12,2016-01-21,8.74,9.37,8.57,9.0,7.30676,21720100
13,2016-01-22,9.09,9.23,9.06,9.15,7.428538,12855800
14,2016-01-25,9.09,9.15,8.79,8.8,7.144388,71293800
15,2016-01-26,8.23,8.38,7.83,8.05,6.535491,88356100
16,2016-01-27,8.11,8.5,8.04,8.26,6.705981,37448900
17,2016-01-28,8.35,8.54,8.28,8.48,6.884593,27980100
18,2016-01-29,8.5,8.58,8.42,8.58,6.965777,16369200
19,2016-02-01,8.56,8.73,8.46,8.64,7.01449,18784500
20,2016-02-02,8.54,8.54,8.35,8.41,6.827761,21717900
21,2016-02-03,8.46,8.57,8.12,8.52,6.917064,22003800
22,2016-02-04,8.48,8.79,8.48,8.67,7.038845,20033700
23,2016-02-05,8.69,8.8,8.53,8.58,6.965777,15985600
24,2016-02-08,8.5,8.52,8.25,8.41,6.827761,13434500
25,2016-02-09,8.29,8.55,8.27,8.45,6.860235,16447500
26,2016-02-10,8.52,8.6,8.33,8.37,6.795287,12602000
27,2016-02-11,8.18,8.18,7.95,8.01,6.503016,18762400
28,2016-02-12,8.16,8.51,8.16,8.44,6.852116,13330900
29,2016-02-16,8.6,8.88,8.49,8.74,7.095675,15702600
30,2016-02-17,8.89,8.99,8.72,8.77,7.12003,12723700
31,2016-02-18,8.78,8.82,8.41,8.52,6.917064,23689100
32,2016-02-19,8.48,8.68,8.41,8.67,7.038845,14307400
33,2016-02-22,8.76,8.86,8.72,8.84,7.176861,10291900
34,2016-02-23,8.87,8.89,8.55,8.61,6.990132,8187300
35,2016-02-24,8.45,8.61,8.37,8.54,6.933303,20932500
36,2016-02-25,8.59,8.68,8.53,8.64,7.01449,13806600
