,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,33.880001,34.009998,33.459999,33.990002,29.165033,27882200
1,2016-01-05,33.959999,34.0,33.529999,33.830002,29.027744,16709500
2,2016-01-06,33.25,33.52,32.799999,33.080002,28.384211,25491300
3,2016-01-07,32.279999,33.009998,31.84,31.84,27.320236,37680500
4,2016-01-08,32.09,32.220001,31.43,31.51,27.037083,29953800
5,2016-01-11,31.809999,32.220001,31.68,32.060001,27.509005,27732400
6,2016-01-12,32.759998,32.889999,32.27,32.68,28.040993,28587700
7,2016-01-13,32.759998,32.93,31.83,31.91,27.380293,34445700
8,2016-01-14,31.969999,32.869999,31.799999,32.740002,28.092478,48728200
9,2016-01-15,29.73,30.5,29.450001,29.76,25.535496,76373900
10,2016-01-19,29.98,30.059999,29.48,29.799999,25.569817,28878100
11,2016-01-20,29.35,29.870001,29.209999,29.59,25.389622,39598200
12,2016-01-21,29.65,30.030001,29.24,29.66,25.449688,30157400
13,2016-01-22,30.120001,30.24,29.51,29.93,25.681362,25326500
14,2016-01-25,29.99,30.219999,29.57,29.6,25.398207,26441000
15,2016-01-26,29.610001,30.049999,29.610001,29.940001,25.689943,24754900
16,2016-01-27,29.879999,30.219999,29.639999,29.809999,25.578392,26384100
17,2016-01-28,30.02,30.18,29.75,29.969999,25.715687,22028100
18,2016-01-29,30.209999,31.030001,30.1,31.02,26.616634,38311400
19,2016-02-01,30.719999,31.120001,30.639999,30.82,26.445021,19015100
20,2016-02-02,30.450001,30.49,29.629999,29.799999,25.569817,24994300
21,2016-02-03,29.719999,29.719999,28.52,29.34,25.396696,44660100
22,2016-02-04,29.139999,29.879999,29.110001,29.77,25.768904,29257800
23,2016-02-05,29.58,29.76,28.91,29.040001,25.137014,27957500
24,2016-02-08,28.74,28.98,28.299999,28.82,24.946585,28725900
25,2016-02-09,28.49,29.15,28.41,28.809999,24.937929,22902600
26,2016-02-10,28.879999,29.0,28.190001,28.23,24.435877,27267800
27,2016-02-11,27.83,28.41,27.68,28.219999,24.427223,28450200
28,2016-02-12,28.57,28.700001,28.139999,28.639999,24.790775,19699000
29,2016-02-16,28.75,28.950001,28.360001,28.780001,24.911959,30705200
30,2016-02-17,28.860001,29.620001,28.73,29.469999,25.509222,27691700
31,2016-02-18,29.530001,29.76,29.379999,29.42,25.465939,20623300
32,2016-02-19,29.200001,29.33,28.709999,28.709999,24.851366,42056700
33,2016-02-22,29.110001,29.540001,29.0,29.35,25.40535,23893100
34,2016-02-23,29.299999,29.35,28.6,28.799999,24.92927,26638200
35,2016-02-24,28.52,29.299999,28.379999,29.190001,25.266857,21593600
36,2016-02-25,29.32,29.620001,28.950001,29.620001,25.639067,17571400
37,2016-02-26,29.879999,30.08,29.700001,29.799999,25.79487,19902200
38,2016-02-29,29.719999,30.139999,29.58,29.59,25.613091,22903100
39,2016-03-01,29.93,30.530001,29.75,30.370001,26.288261,25502600
40,2016-03-02,30.299999,30.870001,30.120001,30.540001,26.435421,23779800
41,2016-03-03,31.129999,31.35,30.540001,30.58,26.470039,25625200
42,2016-03-04,30.5,30.860001,30.049999,30.629999,26.513313,20356800
43,2016-03-07,30.59,31.120001,30.5,30.940001,26.781654,18858200
44,2016-03-08,30.83,30.879999,30.379999,30.559999,26.452726,19104900
45,2016-03-09,30.83,31.040001,30.67,30.870001,26.721066,14707800
46,2016-03-10,31.139999,31.4,30.379999,31.25,27.04999,29584800
47,2016-03-11,31.67,31.790001,31.530001,31.76,27.491447,22811200
48,2016-03-14,31.66,31.690001,31.299999,31.43,27.205797,17438600
49,2016-03-15,31.34,31.65,31.059999,31.65,27.396236,16927700
50,2016-03-16,31.49,31.799999,31.17,31.690001,27.430859,26298400
51,2016-03-17,31.76,32.169998,31.700001,31.98,27.681879,22865300
