,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,41.349998,41.939999,41.040001,41.919998,40.196083,654100
1,2016-01-05,41.75,42.119999,41.040001,41.330002,39.630352,632000
2,2016-01-06,40.48,40.900002,40.299999,40.529999,38.863239,861600
3,2016-01-07,39.889999,40.299999,39.27,39.439999,37.818069,1074200
4,2016-01-08,39.599998,39.950001,38.59,38.75,37.156441,1070300
5,2016-01-11,38.860001,39.16,38.0,38.400002,36.820843,1368600
6,2016-01-12,38.900002,39.169998,38.290001,39.060001,37.453693,1205600
7,2016-01-13,39.389999,39.630001,37.830002,38.25,36.67701,1376000
8,2016-01-14,38.549999,38.810001,37.59,38.380001,36.801662,875400
9,2016-01-15,37.130001,37.790001,36.75,37.639999,36.092094,1323800
10,2016-01-19,38.0,38.200001,36.259998,36.439999,34.941441,1269900
11,2016-01-20,35.869999,37.189999,35.200001,36.779999,35.26746,2028300
12,2016-01-21,36.869999,37.439999,36.369999,36.619999,35.11404,984200
13,2016-01-22,37.41,38.41,36.900002,37.41,35.871548,973800
14,2016-01-25,37.119999,37.700001,36.650002,36.720001,35.209927,833700
15,2016-01-26,36.889999,37.470001,36.540001,37.459999,35.919491,1762300
16,2016-01-27,37.400002,38.330002,36.990002,37.459999,35.919491,1210400
17,2016-01-28,37.889999,38.09,37.389999,37.720001,36.168804,698900
18,2016-01-29,37.82,39.23,37.450001,39.23,37.616695,1255500
19,2016-02-01,38.790001,39.220001,38.150002,39.130001,37.520813,1082900
20,2016-02-02,38.130001,38.91,38.110001,38.66,37.070145,1729500
21,2016-02-03,38.84,38.84,36.189999,37.349998,35.814022,3067800
22,2016-02-04,37.220001,38.27,37.110001,37.400002,35.861965,1948900
23,2016-02-05,37.259998,37.970001,36.82,37.049999,35.52636,1707200
24,2016-02-08,36.48,36.619999,34.970001,35.709999,34.241459,1245300
25,2016-02-09,35.349998,35.779999,35.099998,35.5,34.0401,1296600
26,2016-02-10,35.669998,36.02,35.389999,35.400002,33.94421,932100
27,2016-02-11,34.91,35.580002,34.759998,35.060001,33.618198,1448000
28,2016-02-12,35.369999,36.169998,34.950001,36.080002,34.596241,1125500
