,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,27.190001,27.43,26.83,27.41,23.71578,5232900
1,2016-01-05,27.57,27.73,27.209999,27.549999,23.83691,7589100
2,2016-01-06,27.110001,27.139999,26.610001,26.780001,23.170691,4873400
3,2016-01-07,26.360001,26.809999,25.98,26.09,22.573689,6599500
4,2016-01-08,26.25,26.299999,25.67,25.719999,22.253551,4727600
5,2016-01-11,25.91,26.139999,25.620001,26.01,22.504469,3737200
6,2016-01-12,26.290001,26.34,25.690001,26.25,22.712122,4664700
7,2016-01-13,26.33,26.51,25.51,25.66,22.201635,4563800
8,2016-01-14,25.68,26.370001,25.440001,26.16,22.634253,5008700
9,2016-01-15,25.540001,25.860001,25.389999,25.74,22.270857,7168000
10,2016-01-19,25.709999,25.83,25.35,25.74,22.270857,5902400
11,2016-01-20,25.26,25.940001,25.030001,25.59,22.141071,12489800
12,2016-01-21,25.82,26.16,25.57,25.639999,22.18433,8806300
13,2016-01-22,26.049999,26.17,25.940001,26.120001,22.599648,5151500
14,2016-01-25,26.110001,26.219999,25.860001,26.190001,22.66021,5316500
15,2016-01-26,26.209999,26.75,26.209999,26.65,23.058208,5426900
16,2016-01-27,26.5,26.67,26.24,26.540001,22.963036,6362600
17,2016-01-28,23.76,24.0,21.950001,22.459999,19.432924,28937300
18,2016-01-29,22.950001,23.6,22.799999,23.6,20.419279,16576600
19,2016-02-01,23.309999,24.35,23.16,24.33,21.050888,15483000
20,2016-02-02,24.030001,24.23,23.809999,24.0,20.765366,15723400
21,2016-02-03,24.08,24.139999,23.700001,23.92,20.696148,11297200
22,2016-02-04,23.9,24.059999,23.6,23.73,20.531757,8286700
23,2016-02-05,23.629999,23.799999,22.879999,22.9,19.813623,7415000
24,2016-02-08,22.540001,22.65,21.620001,21.969999,19.008961,9357800
25,2016-02-09,21.77,22.440001,21.690001,21.99,19.026266,4972800
26,2016-02-10,22.190001,22.379999,21.6,21.620001,18.706139,6360100
27,2016-02-11,21.49,22.059999,21.49,21.700001,18.775351,6186400
28,2016-02-12,21.99,22.01,21.57,21.84,18.896486,6965300
29,2016-02-16,22.01,23.25,22.01,23.209999,20.081841,7593900
30,2016-02-17,23.35,23.6,23.299999,23.57,20.393324,3620600
31,2016-02-18,23.74,24.1,23.67,24.0,20.765366,4865400
32,2016-02-19,24.0,24.65,23.940001,24.57,21.258547,8364000
33,2016-02-22,24.67,25.0,24.620001,24.780001,21.440245,4667500
34,2016-02-23,24.709999,25.0,24.389999,24.559999,21.249893,4781500
35,2016-02-24,24.17,24.870001,24.08,24.84,21.492155,5493700
36,2016-02-25,24.91,25.129999,24.77,24.959999,21.595984,5047000
37,2016-02-26,24.91,25.040001,24.42,24.6,21.370123,5660700
38,2016-02-29,24.59,25.1,24.48,24.700001,21.456989,3986900
39,2016-03-01,24.75,25.0,24.52,24.93,21.65679,4448600
40,2016-03-02,24.83,25.0,24.719999,24.940001,21.665476,3154600
41,2016-03-03,24.65,24.93,24.5,24.9,21.630728,3489100
42,2016-03-04,24.99,25.25,24.700001,25.25,21.934778,4916800
43,2016-03-07,25.02,25.360001,24.959999,25.190001,21.882652,3356000
44,2016-03-08,25.049999,25.370001,24.799999,25.030001,21.743656,4425700
45,2016-03-09,25.190001,25.5,24.82,25.23,21.917404,4476800
46,2016-03-10,25.27,25.719999,25.16,25.309999,21.986897,8859200
47,2016-03-11,25.51,26.24,25.48,26.209999,22.76873,7205800
48,2016-03-14,25.940001,26.1,25.700001,25.9,22.499432,4992000
49,2016-03-15,25.799999,25.860001,25.440001,25.709999,22.334377,4930700
50,2016-03-16,24.77,25.76,24.76,25.700001,22.325693,6861700
51,2016-03-17,25.75,26.49,25.709999,26.33,22.872974,6302900
52,2016-03-18,26.360001,26.459999,26.030001,26.389999,22.925098,6280400
53,2016-03-21,25.85,26.27,25.700001,25.799999,22.412563,10657900
54,2016-03-22,25.67,26.1,25.639999,25.93,22.525496,7245400
55,2016-03-23,25.959999,26.02,25.620001,25.639999,22.273567,6846900
56,2016-03-24,25.52,25.549999,24.959999,25.360001,22.030331,5852200
57,2016-03-28,25.469999,25.540001,25.26,25.450001,22.108519,4982300
58,2016-03-29,25.52,25.809999,25.379999,25.66,22.290945,4538500
59,2016-03-30,25.85,26.02,25.469999,25.51,22.160641,4297800
60,2016-03-31,25.52,25.709999,25.42,25.51,22.160641,4690500
61,2016-04-01,25.4,25.690001,25.360001,25.559999,22.204069,3898600
62,2016-04-04,25.450001,25.51,24.92,25.190001,21.882652,4532900
63,2016-04-05,25.049999,25.379999,24.969999,25.23,21.917404,5625500
64,2016-04-06,25.280001,25.559999,25.16,25.49,22.143263,3768500
65,2016-04-07,25.290001,25.4,24.870001,24.940001,21.665476,3443900
66,2016-04-08,25.24,25.280001,24.870001,24.93,21.65679,2060100
67,2016-04-11,24.9,25.360001,24.799999,24.889999,21.622044,4639900
68,2016-04-12,23.129999,23.209999,22.4,23.059999,20.032314,23681900
69,2016-04-13,23.15,23.879999,23.120001,23.82,20.692528,9238100
70,2016-04-14,23.889999,23.92,23.559999,23.57,20.475353,6873600
71,2016-04-15,23.639999,23.969999,23.51,23.639999,20.536161,5789000
72,2016-04-18,23.52,23.870001,23.42,23.6,20.501415,4184700
73,2016-04-19,23.59,23.67,23.33,23.469999,20.388479,6962700
74,2016-04-20,23.18,23.549999,22.870001,23.26,20.206051,11790700
75,2016-04-21,23.200001,23.57,23.200001,23.379999,20.310299,6434300
76,2016-04-22,23.35,23.870001,23.17,23.75,20.631718,6464100
77,2016-04-25,23.690001,23.870001,23.440001,23.540001,20.449291,2838000
78,2016-04-26,23.559999,23.76,23.450001,23.549999,20.457983,5314800
79,2016-04-27,23.5,23.860001,23.360001,23.809999,20.683846,4432800
80,2016-04-28,23.52,23.959999,23.34,23.41,20.336361,6411600
81,2016-04-29,23.959999,24.25,23.26,23.4,20.327671,7655900
82,2016-05-02,23.33,23.48,23.059999,23.35,20.284241,3675100
83,2016-05-03,23.110001,23.280001,22.65,22.709999,19.72827,5084800
84,2016-05-04,22.530001,22.719999,22.48,22.52,19.563211,5475500
85,2016-05-05,22.6,22.639999,22.309999,22.34,19.406847,4560800
86,2016-05-06,22.34,22.83,22.23,22.67,19.693514,5585300
87,2016-05-09,22.709999,22.860001,22.58,22.709999,19.72827,4201000
88,2016-05-10,22.74,23.16,22.74,23.15,20.110497,3624400
89,2016-05-11,23.030001,23.190001,22.84,22.85,19.849892,3650600
90,2016-05-12,22.92,23.110001,22.58,22.75,19.763014,3224400
91,2016-05-13,22.73,23.059999,22.709999,22.75,19.763014,2792000
92,2016-05-16,22.74,23.1,22.74,23.01,19.988882,4471800
93,2016-05-17,22.92,23.09,22.5,22.6,19.632708,4998300
94,2016-05-18,22.610001,22.809999,22.33,22.49,19.537151,4621600
95,2016-05-19,22.559999,22.709999,22.18,22.370001,19.432907,4415900
96,2016-05-20,22.52,22.83,22.440001,22.73,19.745638,3449800
97,2016-05-23,22.459999,22.780001,22.360001,22.49,19.537151,2752800
98,2016-05-24,22.639999,22.950001,22.549999,22.9,19.893324,2425400
99,2016-05-25,22.91,23.190001,22.82,23.059999,20.032314,2267400
100,2016-05-26,23.01,23.1,22.879999,22.99,19.971506,1548200
101,2016-05-27,22.73,23.110001,22.67,23.030001,20.093655,1489100
102,2016-05-31,22.98,23.440001,22.93,23.41,20.425203,4140700
103,2016-06-01,23.41,23.440001,23.139999,23.23,20.26816,2168800
104,2016-06-02,23.34,23.469999,23.26,23.459999,20.468828,2243100
105,2016-06-03,23.370001,23.42,23.200001,23.34,20.36413,2134100
106,2016-06-06,23.360001,23.52,23.24,23.32,20.346678,2859900
107,2016-06-07,23.290001,23.540001,23.290001,23.469999,20.477552,2899200
108,2016-06-08,23.4,23.66,23.4,23.57,20.564804,2261700
