,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,83.400002,83.599998,81.790001,82.870003,72.689903,6907300
1,2016-01-05,82.900002,85.400002,82.870003,84.110001,73.777557,7475300
2,2016-01-06,82.690002,84.879997,82.5,83.580002,73.312691,6628400
3,2016-01-07,81.629997,82.809998,80.830002,81.410004,71.409264,5833200
4,2016-01-08,81.669998,82.489998,81.040001,81.25,71.268913,5880200
5,2016-01-11,81.300003,81.919998,78.830002,80.269997,70.409294,4889300
6,2016-01-12,80.610001,81.0,79.519997,80.400002,70.523323,4329300
7,2016-01-13,80.739998,80.82,79.089996,79.300003,69.558464,4628400
8,2016-01-14,79.279999,82.730003,78.620003,82.540001,72.400436,8253700
9,2016-01-15,80.690002,81.580002,80.080002,81.239998,71.260132,6674300
10,2016-01-19,82.309998,84.800003,81.959999,83.230003,73.005676,9162300
11,2016-01-20,81.849998,83.470001,80.410004,82.620003,72.470627,8354400
12,2016-01-21,82.559998,82.620003,80.589996,81.400002,71.400475,4930800
13,2016-01-22,82.400002,83.160004,81.910004,82.480003,72.347809,3456300
14,2016-01-25,82.5,83.199997,81.620003,81.709999,71.672409,2632800
15,2016-01-26,81.75,82.169998,80.910004,81.959999,71.891678,4583400
16,2016-01-27,81.610001,83.25,80.959999,81.760002,71.716263,4341900
17,2016-01-28,81.870003,82.489998,76.540001,76.809998,67.374306,10128700
18,2016-01-29,77.360001,79.419998,77.230003,79.099998,69.383011,7042500
19,2016-02-01,78.209999,79.160004,77.279999,78.400002,68.76902,4056000
20,2016-02-02,77.660004,78.300003,76.089996,76.300003,66.926979,4804200
21,2016-02-03,76.459999,77.550003,74.18,76.089996,66.742783,6966400
22,2016-02-04,75.949997,76.529999,73.440002,74.279999,65.155136,6339500
23,2016-02-05,74.160004,75.82,73.550003,74.32,65.190216,6312800
24,2016-02-08,73.550003,74.580002,72.830002,74.190002,65.076187,4348800
25,2016-02-09,73.43,74.959999,72.720001,73.739998,64.681473,5160000
26,2016-02-10,73.730003,74.870003,72.980003,73.07,64.540138,4748700
27,2016-02-11,72.199997,72.629997,70.830002,71.419998,63.082752,5425400
28,2016-02-12,71.57,71.730003,70.43,71.269997,62.950272,6332600
29,2016-02-16,71.949997,73.419998,71.93,73.330002,64.769783,4811300
30,2016-02-17,74.010002,74.919998,73.089996,74.68,65.962204,4000300
31,2016-02-18,73.419998,74.550003,73.160004,73.470001,64.893456,5620000
32,2016-02-19,72.690002,73.07,72.199997,72.610001,64.133842,6650800
33,2016-02-22,72.910004,73.639999,72.099998,73.010002,64.487144,5672600
34,2016-02-23,73.099998,74.5,73.059998,73.470001,64.893456,4411200
35,2016-02-24,73.330002,74.279999,72.639999,74.099998,65.449905,3636100
36,2016-02-25,74.269997,74.889999,73.769997,74.82,66.085838,4306800
37,2016-02-26,75.419998,75.790001,73.410004,73.599998,65.008278,4807700
38,2016-02-29,73.370003,73.370003,71.980003,72.0,63.595051,5730200
39,2016-03-01,72.629997,72.809998,71.860001,72.739998,64.248657,4541700
40,2016-03-02,72.730003,74.050003,72.440002,74.019997,65.379227,6738800
41,2016-03-03,73.800003,73.889999,72.580002,73.25,64.699127,4526500
42,2016-03-04,73.370003,74.059998,72.900002,73.599998,65.008278,3481600
43,2016-03-07,73.169998,73.959999,72.800003,73.400002,64.831612,3443100
44,2016-03-08,72.940002,74.550003,72.889999,73.0,64.47831,3278900
45,2016-03-09,73.510002,73.940002,73.0,73.540001,64.955284,2372000
46,2016-03-10,74.0,74.209999,72.43,73.019997,64.495972,4419200
47,2016-03-11,73.470001,74.949997,73.190002,74.650002,65.935707,3527200
48,2016-03-14,74.260002,74.599998,73.790001,73.910004,65.282082,3201800
49,2016-03-15,71.650002,72.0,69.599998,71.239998,62.923756,13748200
50,2016-03-16,71.290001,72.900002,71.169998,72.480003,64.019028,5287400
51,2016-03-17,72.230003,72.349998,67.879997,69.059998,60.998245,15421600
52,2016-03-18,69.199997,71.050003,69.059998,70.949997,62.66761,10131700
53,2016-03-21,70.800003,71.050003,69.839996,70.25,62.049335,5900100
54,2016-03-22,70.209999,72.239998,70.160004,71.919998,63.524372,7655400
55,2016-03-23,72.169998,72.230003,70.910004,71.169998,62.861935,3884400
56,2016-03-24,70.650002,71.440002,70.199997,71.120003,62.817768,2892900
57,2016-03-28,71.349998,71.470001,70.379997,70.620003,62.376152,2661900
58,2016-03-29,70.739998,71.940002,70.660004,71.699997,63.330059,3814800
59,2016-03-30,71.980003,72.330002,71.07,71.779999,63.400726,3081000
60,2016-03-31,71.769997,72.330002,71.099998,72.010002,63.603867,3680000
61,2016-04-01,71.599998,73.699997,71.529999,73.419998,64.849289,4083600
62,2016-04-04,73.559998,73.790001,72.889999,73.18,64.637299,2796300
63,2016-04-05,72.779999,73.650002,72.480003,73.040001,64.513634,3591800
64,2016-04-06,72.800003,75.059998,72.800003,74.760002,66.032867,5669100
65,2016-04-07,74.510002,75.160004,73.849998,74.589996,65.882713,3724100
66,2016-04-08,75.279999,75.279999,73.860001,74.389999,65.706055,3224900
67,2016-04-11,74.480003,74.739998,73.800003,73.949997,65.317421,3351100
68,2016-04-12,73.779999,75.290001,73.529999,74.57,65.865028,2849800
69,2016-04-13,74.730003,75.239998,74.080002,75.160004,66.386154,2341600
70,2016-04-14,75.300003,75.830002,74.800003,75.629997,66.801292,3022100
71,2016-04-15,75.620003,76.25,75.089996,75.529999,66.712959,3007500
72,2016-04-18,75.580002,77.260002,75.190002,77.220001,68.205688,4088400
73,2016-04-19,77.580002,78.5,76.639999,77.25,68.232193,3819600
74,2016-04-20,77.279999,77.769997,76.580002,77.080002,68.082031,4049400
75,2016-04-21,77.169998,78.099998,76.910004,77.370003,68.338188,3286600
76,2016-04-22,77.099998,77.940002,76.93,77.830002,68.744461,2697200
77,2016-04-25,77.459999,78.0,77.150002,77.940002,68.841629,3767100
78,2016-04-26,76.620003,78.300003,76.089996,76.269997,67.366577,5347300
79,2016-04-27,76.519997,77.160004,75.82,76.510002,67.578583,3690900
80,2016-04-28,76.120003,76.660004,75.669998,76.459999,67.534424,4383000
81,2016-04-29,76.510002,76.510002,75.099998,75.529999,66.712959,3386600
82,2016-05-02,75.949997,77.080002,75.809998,76.75,67.790573,3571900
83,2016-05-03,76.339996,76.650002,75.589996,76.25,67.348915,3270700
84,2016-05-04,75.169998,75.620003,74.629997,74.870003,66.13002,4176800
85,2016-05-05,74.720001,75.389999,74.550003,75.269997,66.483315,3446400
86,2016-05-06,74.720001,74.949997,73.339996,74.599998,65.891548,4196900
87,2016-05-09,74.779999,75.900002,74.760002,75.589996,66.765968,2963200
88,2016-05-10,76.290001,77.129997,76.050003,76.879997,67.905396,4366000
89,2016-05-11,75.970001,77.059998,75.839996,76.309998,67.852036,3716300
90,2016-05-12,76.720001,76.940002,75.360001,75.959999,67.540825,4081900
91,2016-05-13,75.82,77.050003,75.57,76.330002,67.869812,3629700
92,2016-05-16,75.980003,78.470001,75.839996,78.290001,69.612572,4580100
93,2016-05-17,78.209999,78.709999,75.519997,76.389999,67.923172,7153300
94,2016-05-18,76.400002,76.849998,75.610001,76.330002,67.869812,4664900
95,2016-05-19,75.120003,75.230003,73.739998,74.309998,66.073692,4848800
96,2016-05-20,74.790001,75.540001,74.68,74.809998,66.518303,4689200
97,2016-05-23,75.0,75.139999,73.919998,74.080002,65.869194,4440500
98,2016-05-24,74.550003,75.199997,74.360001,74.989998,66.678329,3711800
99,2016-05-25,75.489998,75.5,74.449997,74.540001,66.278221,4621700
100,2016-05-26,74.599998,75.599998,74.269997,75.519997,67.14959,2654600
101,2016-05-27,75.519997,75.720001,74.669998,74.989998,66.678329,3247500
102,2016-05-31,75.010002,75.629997,74.709999,75.029999,66.713905,4438800
103,2016-06-01,74.900002,75.440002,74.68,74.940002,66.633865,2450200
104,2016-06-02,75.220001,75.68,74.900002,75.459999,67.096222,3231000
105,2016-06-03,75.5,75.599998,74.25,75.120003,66.79393,5319000
106,2016-06-06,75.110001,75.5,74.199997,74.839996,66.544968,3253800
107,2016-06-07,74.620003,75.050003,74.510002,74.699997,66.420479,2902900
108,2016-06-08,74.660004,75.089996,74.400002,74.910004,66.607216,3194900
109,2016-06-09,74.769997,75.540001,74.239998,74.43,66.180428,2760500
110,2016-06-10,74.089996,74.190002,73.169998,73.949997,65.753601,4124200
