,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,95.370003,95.589996,93.720001,94.809998,91.50988,6378700
1,2016-01-05,95.379997,95.830002,94.410004,94.989998,91.683609,4352500
2,2016-01-06,93.489998,94.389999,92.980003,93.349998,90.281288,4370000
3,2016-01-07,91.559998,92.370003,90.68,91.639999,88.627472,6600000
4,2016-01-08,91.970001,92.239998,89.720001,89.889999,86.934998,5912100
5,2016-01-11,90.25,91.099998,89.290001,90.580002,87.602348,5845600
6,2016-01-12,91.610001,91.870003,90.120003,91.440002,88.434067,4441800
7,2016-01-13,92.07,92.150002,88.75,89.190002,86.258034,4895000
8,2016-01-14,89.400002,91.690002,89.160004,90.709999,87.728073,6235800
9,2016-01-15,88.089996,89.279999,87.82,88.709999,85.793816,6459800
10,2016-01-19,89.559998,89.739998,85.489998,86.220001,83.385651,10175200
11,2016-01-20,84.709999,85.959999,83.519997,85.129997,82.33149,11672100
12,2016-01-21,85.230003,87.529999,84.559998,86.120003,83.288956,5989700
13,2016-01-22,87.730003,88.830002,87.400002,88.0,85.10714,4912500
14,2016-01-25,88.029999,88.190002,86.650002,86.769997,83.91758,5110500
15,2016-01-26,87.0,87.5,86.400002,87.0,84.140022,4872500
16,2016-01-27,86.889999,87.050003,84.339996,84.809998,82.022003,6750900
17,2016-01-28,85.339996,85.650002,83.349998,83.43,80.687355,9169600
18,2016-01-29,81.449997,89.25,81.0,89.029999,86.103287,16410500
19,2016-02-01,88.519997,89.199997,87.230003,88.629997,85.716438,5956400
20,2016-02-02,87.68,87.739998,85.370003,85.93,83.105194,7096900
21,2016-02-03,86.559998,86.760002,84.459999,86.470001,83.627449,5253600
22,2016-02-04,86.239998,86.870003,85.739998,86.330002,83.492043,4490600
23,2016-02-05,86.040001,86.32,82.18,82.760002,80.039406,8474000
24,2016-02-08,81.440002,81.739998,79.870003,80.650002,77.998764,9213800
25,2016-02-09,78.870003,83.230003,78.519997,81.970001,79.275383,7802700
26,2016-02-10,83.059998,84.839996,82.93,83.309998,80.57132,4858900
27,2016-02-11,80.150002,82.790001,79.980003,82.110001,79.410759,6285400
28,2016-02-12,83.620003,85.269997,83.309998,84.889999,82.099365,5213300
29,2016-02-16,86.120003,86.589996,85.360001,86.18,83.34697,4908000
30,2016-02-17,86.93,87.599998,86.589996,87.209999,84.34314,4143400
31,2016-02-18,86.580002,87.449997,85.830002,86.040001,83.211578,3551500
32,2016-02-19,85.650002,86.860001,85.220001,86.790001,83.936913,3490500
33,2016-02-22,86.790001,88.230003,86.790001,87.82,84.93309,3010800
34,2016-02-23,87.260002,87.849998,85.93,86.209999,83.375992,4236900
35,2016-02-24,85.139999,86.760002,84.589996,86.419998,83.579094,3361300
36,2016-02-25,86.550003,87.43,85.519997,87.419998,84.546204,3280500
37,2016-02-26,88.110001,88.589996,87.489998,87.57,84.691299,3294900
38,2016-02-29,87.300003,88.830002,86.900002,86.919998,84.06266,4302900
39,2016-03-01,87.769997,90.129997,87.720001,90.099998,87.138107,4967500
40,2016-03-02,89.760002,90.089996,88.989998,89.889999,86.934998,3898300
41,2016-03-03,89.730003,90.139999,88.919998,89.739998,86.789955,4202500
42,2016-03-04,90.0,90.559998,89.5,90.050003,87.08976,3181300
43,2016-03-07,89.690002,89.75,87.440002,88.300003,85.397293,4939800
44,2016-03-08,87.459999,87.760002,86.809998,86.849998,83.994965,4251700
45,2016-03-09,87.209999,87.599998,86.699997,87.18,84.31411,3477800
46,2016-03-10,87.660004,88.199997,85.93,86.889999,84.033661,3239100
47,2016-03-11,87.910004,89.160004,87.779999,88.580002,85.668098,4003200
48,2016-03-14,88.529999,89.129997,88.019997,88.870003,85.948563,4407400
49,2016-03-15,88.360001,89.699997,88.199997,89.360001,86.422455,4468800
50,2016-03-16,89.220001,90.32,89.019997,90.010002,87.051079,3005000
51,2016-03-17,89.919998,91.660004,89.660004,91.410004,88.40506,4568900
52,2016-03-18,92.010002,92.440002,91.449997,92.309998,89.275459,5972900
53,2016-03-21,91.860001,92.629997,91.559998,92.349998,89.314156,3176900
54,2016-03-22,91.68,92.209999,91.540001,91.760002,88.743553,3541300
55,2016-03-23,91.879997,92.650002,91.639999,92.129997,89.101379,2816100
56,2016-03-24,91.300003,91.970001,91.300003,91.910004,88.888611,2618700
57,2016-03-28,92.18,92.300003,91.18,91.239998,88.240623,2304300
58,2016-03-29,91.220001,93.040001,91.099998,92.779999,89.730026,3326300
59,2016-03-30,93.550003,94.169998,93.300003,93.809998,90.726158,3477900
60,2016-03-31,93.68,94.940002,93.519997,94.5,91.393478,5647100
61,2016-04-01,93.650002,96.110001,93.5,95.870003,92.718445,5276900
62,2016-04-04,96.010002,96.099998,94.459999,95.050003,91.925415,4449900
63,2016-04-05,94.099998,95.410004,93.889999,94.349998,91.248405,5378300
64,2016-04-06,94.199997,94.839996,93.839996,94.75,91.820168,3334200
