,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,45.66,46.09,45.259998,45.98,41.537209,2470200
1,2016-01-05,45.98,46.310001,45.439999,45.639999,41.230049,1801400
2,2016-01-06,44.759998,45.34,44.509998,44.93,40.588646,1827900
3,2016-01-07,43.990002,44.709999,42.389999,42.66,38.537991,3370500
4,2016-01-08,43.0,43.0,41.450001,41.529999,37.517181,2815300
5,2016-01-11,41.900002,42.150002,41.060001,41.5,37.490074,2618800
6,2016-01-12,41.990002,42.200001,41.32,41.849998,37.806248,2091400
7,2016-01-13,42.119999,43.869999,41.259998,41.310001,37.318439,5039100
8,2016-01-14,41.459999,42.52,41.0,42.040001,37.977898,4195300
9,2016-01-15,40.970001,41.310001,39.639999,40.52,36.604763,4213400
10,2016-01-19,42.18,44.110001,40.939999,41.700001,37.670746,5098500
11,2016-01-20,42.830002,43.59,41.540001,42.849998,38.709629,8805300
12,2016-01-21,43.32,44.41,42.830002,43.610001,39.396198,4516000
13,2016-01-22,44.290001,44.549999,42.369999,43.139999,38.971619,4085300
14,2016-01-25,43.02,43.849998,42.580002,43.200001,39.025814,2710700
15,2016-01-26,43.110001,44.790001,43.110001,44.25,39.974354,3686300
16,2016-01-27,44.07,44.580002,43.130001,43.330002,39.143257,2908500
17,2016-01-28,43.68,43.869999,42.650002,43.16,38.989681,2366800
18,2016-01-29,43.310001,44.91,43.310001,44.810001,40.48024,4028100
19,2016-02-01,44.459999,45.009998,43.919998,44.43,40.136963,2548800
20,2016-02-02,43.669998,43.880001,43.130001,43.18,39.00774,2399400
21,2016-02-03,42.060001,43.220001,41.779999,42.32,38.230843,5908000
22,2016-02-04,42.439999,43.799999,40.529999,42.740002,38.610271,6018900
23,2016-02-05,42.639999,43.700001,42.060001,42.220001,38.140511,3388400
24,2016-02-08,41.77,42.0,40.779999,41.220001,37.237129,3525700
25,2016-02-09,40.939999,42.049999,40.82,41.259998,37.273258,2683300
26,2016-02-10,41.330002,41.75,40.240002,40.27,36.378929,3097100
27,2016-02-11,39.68,39.990002,39.009998,39.650002,35.818832,2958100
28,2016-02-12,40.0,40.549999,39.369999,40.41,36.505398,1747000
29,2016-02-16,41.029999,42.07,40.810001,41.630001,37.607517,3858600
30,2016-02-17,41.77,42.709999,41.77,42.66,38.537991,2267300
31,2016-02-18,42.419998,42.740002,41.900002,41.98,38.245544,2013100
32,2016-02-19,41.950001,42.610001,41.700001,42.369999,38.600849,2032800
33,2016-02-22,42.68,43.41,42.580002,43.07,39.238586,2231200
34,2016-02-23,42.790001,43.310001,42.189999,42.259998,38.500637,1584200
35,2016-02-24,41.549999,44.009998,41.529999,43.68,39.794323,3910100
36,2016-02-25,43.869999,43.919998,43.080002,43.810001,39.912758,1775600
37,2016-02-26,44.040001,44.950001,43.860001,44.880001,40.887573,2578200
38,2016-02-29,44.68,45.18,44.25,44.490002,40.532265,2891400
39,2016-03-01,44.599998,45.27,44.080002,45.220001,41.197323,2949200
40,2016-03-02,44.900002,45.849998,44.779999,45.740002,41.671059,2500800
41,2016-03-03,45.790001,46.16,45.490002,46.119999,42.017269,1657300
42,2016-03-04,46.189999,47.32,45.900002,46.830002,42.664104,2921500
43,2016-03-07,46.860001,47.889999,46.810001,47.720001,43.474922,2841800
44,2016-03-08,47.279999,47.689999,46.59,46.669998,42.518333,2317300
45,2016-03-09,47.029999,47.509998,46.740002,47.509998,43.283604,2413400
46,2016-03-10,47.560001,47.799999,46.549999,47.099998,42.910088,2040400
47,2016-03-11,47.599998,48.709999,47.330002,48.610001,44.285759,2199000
48,2016-03-14,48.599998,48.610001,47.799999,48.099998,43.821125,1646700
49,2016-03-15,47.720001,48.09,47.290001,48.09,43.812012,1967500
50,2016-03-16,47.98,48.310001,47.389999,48.029999,43.757351,2252100
51,2016-03-17,48.0,48.490002,47.549999,48.43,44.121777,2699300
52,2016-03-18,48.459999,49.25,48.18,49.110001,44.741276,4880400
53,2016-03-21,48.889999,48.990002,48.209999,48.75,44.4133,2160800
54,2016-03-22,48.450001,48.91,48.130001,48.310001,44.012455,1829800
55,2016-03-23,48.369999,48.549999,47.889999,47.959999,43.693584,1371600
56,2016-03-24,47.57,48.27,47.330002,48.119999,43.839348,1183200
57,2016-03-28,48.349998,48.400002,47.950001,48.009998,43.739132,1663800
58,2016-03-29,47.810001,48.919998,47.610001,48.810001,44.467957,1741100
59,2016-03-30,49.040001,49.48,48.759998,48.84,44.495304,1723200
60,2016-03-31,48.84,48.84,48.169998,48.200001,43.912231,2788300
61,2016-04-01,47.91,48.330002,47.540001,48.279999,43.985107,2130100
62,2016-04-04,48.18,48.610001,47.84,48.380001,44.07621,2298300
63,2016-04-05,48.0,49.290001,47.889999,48.650002,44.322193,3769100
64,2016-04-06,48.549999,48.919998,47.52,48.639999,44.313091,5008400
65,2016-04-07,48.490002,48.490002,47.799999,47.880001,43.620689,2344700
66,2016-04-08,48.200001,48.810001,48.110001,48.450001,44.139988,1887300
67,2016-04-11,48.779999,49.119999,48.369999,48.400002,44.09444,2009500
68,2016-04-12,48.580002,48.68,47.939999,48.299999,44.003334,1467700
69,2016-04-13,48.380001,49.25,48.32,49.220001,44.841492,1164900
70,2016-04-14,49.110001,49.459999,48.66,49.27,44.887043,1699600
71,2016-04-15,49.18,49.200001,48.619999,48.759998,44.422417,2612100
72,2016-04-18,48.669998,49.049999,48.509998,48.900002,44.549961,2242500
73,2016-04-19,49.080002,49.290001,48.41,48.52,44.203766,2067800
74,2016-04-20,48.459999,49.720001,48.34,49.59,45.178585,2264900
75,2016-04-21,49.470001,50.0,49.360001,49.43,45.03281,1930900
76,2016-04-22,49.380001,50.540001,49.369999,49.709999,45.28791,2096300
77,2016-04-25,49.689999,49.889999,49.5,49.57,45.160355,1561300
78,2016-04-26,49.759998,50.68,49.639999,50.080002,45.624989,2693200
79,2016-04-27,49.650002,50.52,49.32,50.34,45.861858,2331400
80,2016-04-28,50.0,50.639999,49.400002,49.509998,45.105698,3001500
