,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,41.996433,42.183601,41.238857,42.174686,34.153217,8890728
1,2016-01-05,41.880569,42.201427,41.176472,41.372547,33.503651,9564601
2,2016-01-06,40.757576,40.775402,39.26025,39.545456,32.024063,15277264
3,2016-01-07,38.600712,38.734402,37.709446,37.887699,30.681601,15733694
4,2016-01-08,38.689838,38.689838,37.397503,37.459892,30.335161,13587869
5,2016-01-11,37.718361,37.789661,36.515152,37.174686,30.104197,11764955
6,2016-01-12,37.789661,37.967915,36.853832,37.42424,30.306288,9632258
7,2016-01-13,40.383244,40.383244,38.190731,38.244205,30.970293,24628237
8,2016-01-14,38.868092,39.215687,37.78075,38.770054,31.396133,10479929
9,2016-01-15,37.57576,38.565063,37.442066,38.395721,31.092991,11095682
10,2016-01-19,39.090908,39.286987,37.736183,38.092693,30.847612,10885532
11,2016-01-20,37.335117,38.003567,36.336899,37.620319,30.465075,10975180
12,2016-01-21,37.718361,38.796791,37.549019,38.057041,30.818729,9762185
13,2016-01-22,38.868092,39.46524,38.841354,39.385029,31.89414,9466314
14,2016-01-25,39.019608,39.385029,38.25312,38.324421,31.035252,6824116
15,2016-01-26,38.395721,39.099823,38.395721,38.778965,31.403349,7847605
16,2016-01-27,38.636364,39.438503,38.306595,38.556149,31.222908,6619800
17,2016-01-28,39.001781,39.251335,38.484848,39.019608,31.598209,6491555
18,2016-01-29,39.385029,39.86631,38.645275,39.79501,32.226147,9833545
19,2016-02-01,39.491978,39.634583,39.064171,39.46524,31.959101,7011154
20,2016-02-02,38.770054,38.85918,37.825314,38.110516,30.862041,10416087
21,2016-02-03,38.163994,38.190731,36.720142,37.388592,30.545294,13574293
22,2016-02-04,36.203209,36.399288,35.0,35.427807,28.943396,19678085
23,2016-02-05,35.60606,35.686275,34.402851,34.590019,28.258955,15203549
24,2016-02-08,34.153297,34.180035,32.655972,33.110516,27.050247,12074291
25,2016-02-09,32.326202,33.360069,31.907309,33.119431,27.057526,9967736
26,2016-02-10,33.529411,33.841354,32.834225,32.860962,26.846369,8400526
27,2016-02-11,31.684492,31.853832,31.194296,31.381462,25.637663,16331159
28,2016-02-12,31.381462,33.743317,31.381462,33.360069,27.25412,14902741
29,2016-02-16,34.05526,34.153297,33.475937,33.885918,27.683722,6950902
30,2016-02-17,34.358288,35.213905,34.251335,35.0,28.593889,7708589
31,2016-02-18,35.044563,35.160427,34.714794,34.937611,28.542927,8726804
32,2016-02-19,34.723709,34.910873,34.304813,34.857399,28.477385,5508010
33,2016-02-22,34.857399,35.597149,34.759357,34.946526,28.550205,7547470
34,2016-02-23,34.821747,34.893047,33.778965,34.242424,27.974979,9032773
35,2016-02-24,33.645275,34.456329,33.226379,34.367203,28.076925,7376589
36,2016-02-25,34.411766,35.142601,34.233513,35.13369,28.703112,5975996
37,2016-02-26,35.490196,36.203209,35.115864,35.730839,29.190964,9167862
38,2016-02-29,35.686275,35.855614,35.151516,35.258469,28.805056,8817237
39,2016-03-01,35.623886,37.254902,35.588234,37.147949,30.348701,8852131
40,2016-03-02,37.308376,37.64706,37.014259,37.442066,30.588982,5746547
41,2016-03-03,37.442066,37.843136,37.21925,37.78075,30.865681,5046419
42,2016-03-04,38.048126,38.181816,37.245991,37.727272,30.821985,6890426
43,2016-03-07,37.406418,38.288769,37.326202,38.190731,31.200613,5691008
44,2016-03-08,37.664883,37.860962,36.791443,37.237076,30.421518,8292141
45,2016-03-09,37.691624,37.843136,37.058823,37.433155,30.581703,4402952
46,2016-03-10,37.611408,38.262032,37.08556,37.655972,30.763742,7410137
47,2016-03-11,38.297684,39.545456,38.235294,39.438503,32.220013,8464480
48,2016-03-14,39.037434,39.358288,38.743317,39.12656,31.965162,5596648
49,2016-03-15,38.877007,39.037434,38.297684,39.028519,31.885061,4954528
50,2016-03-16,39.064171,39.500893,38.493759,39.010696,31.870504,5388966
51,2016-03-17,39.001781,39.447414,38.458111,39.286987,32.096233,8537298
52,2016-03-18,39.411766,39.910873,39.206776,39.86631,32.569523,10215698
53,2016-03-21,39.759357,40.062389,39.411766,39.670231,32.409325,4168567
54,2016-03-22,39.233513,39.572193,39.081997,39.295898,32.103512,4975846
55,2016-03-23,39.215687,39.215687,38.556149,38.689838,31.608383,8218313
56,2016-03-24,38.146168,38.146168,37.165775,37.700535,30.800142,9536215
57,2016-03-28,37.941177,38.484848,37.798573,38.324421,31.309837,4788696
58,2016-03-29,38.030304,38.039215,37.459892,37.843136,30.916651,5433846
59,2016-03-30,38.146168,40.900177,38.137257,39.86631,32.569523,24149143
60,2016-03-31,39.991089,40.196079,39.081997,39.162209,31.994287,8838106
61,2016-04-01,38.939396,39.777184,38.725491,39.714794,32.445728,9973570
62,2016-04-04,39.777184,39.777184,38.814617,38.930481,31.804977,6182220
63,2016-04-05,38.565063,38.565063,38.074867,38.226379,31.229742,6114002
64,2016-04-06,38.25312,38.368984,37.700535,38.306595,31.295277,6576266
65,2016-04-07,37.869877,38.039215,37.005348,37.361855,30.523458,8385043
66,2016-04-08,37.754009,37.967915,37.147949,37.335117,30.50161,5641640
67,2016-04-11,37.611408,38.235294,37.584671,37.816399,30.8948,5279571
68,2016-04-12,38.074867,38.627453,37.816399,38.467022,31.426334,4856240
69,2016-04-13,38.841354,39.572193,38.841354,39.536541,32.300114,6851269
70,2016-04-14,39.420677,40.098038,39.295898,39.973263,32.656895,5569832
71,2016-04-15,39.964348,40.053474,39.590019,39.79501,32.511269,4486878
72,2016-04-18,39.66132,40.285206,39.500893,40.169338,32.817085,5158507
73,2016-04-19,40.347595,40.918003,40.311943,40.659538,33.21756,5248155
74,2016-04-20,40.748665,41.488415,40.579323,41.363636,33.792786,5263639
75,2016-04-21,41.283421,41.648842,41.051693,41.105167,33.581623,5404337
76,2016-04-22,41.158646,41.969696,41.158646,41.800358,34.14957,8047096
77,2016-04-25,41.506241,41.720142,40.81105,41.21212,33.669003,5660153
78,2016-04-26,41.41711,41.74688,41.265598,41.639931,34.018505,6005729
79,2016-04-27,41.559715,41.862743,41.283421,41.666668,34.040356,8519234
80,2016-04-28,41.274509,41.541889,40.623886,40.757576,33.297649,6672983
