,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-07,22.0,22.75,18.51,18.6,18.6,12995600
1,2018-12-10,18.9,19.438999,18.0,18.799999,18.799999,4233300
2,2018-12-11,20.549999,20.66,17.99,18.01,18.01,3435300
3,2018-12-12,18.549999,19.48,18.02,18.68,18.68,2590700
4,2018-12-13,19.25,19.290001,18.68,18.76,18.76,1608600
5,2018-12-14,18.75,18.881001,18.25,18.32,18.32,746300
6,2018-12-17,18.33,18.469999,16.9,17.0,17.0,1580800
7,2018-12-18,17.1,17.25,16.25,17.0,17.0,1621600
8,2018-12-19,16.860001,17.370001,16.0,16.18,16.18,941500
9,2018-12-20,16.0,16.139999,14.75,15.5,15.5,2365200
10,2018-12-21,15.4,15.5,13.95,14.47,14.47,2063000
11,2018-12-24,14.32,14.32,13.75,14.03,14.03,665400
12,2018-12-26,14.15,14.31,13.03,13.52,13.52,1817800
13,2018-12-27,13.49,14.95,13.27,14.65,14.65,1769500
14,2018-12-28,14.72,14.85,13.818,14.15,14.15,929100
15,2018-12-31,14.24,15.3,14.213,15.27,15.27,994700
16,2019-01-02,14.93,15.45,14.51,15.33,15.33,2318100
17,2019-01-03,15.49,16.08,15.2,15.5,15.5,1588900
18,2019-01-04,16.0,17.5,15.894,16.959999,16.959999,1651800
19,2019-01-07,17.540001,17.940001,16.18,16.27,16.27,1585400
20,2019-01-08,17.35,17.468,16.049999,16.950001,16.950001,1892700
21,2019-01-09,17.200001,17.25,16.15,16.33,16.33,1187400
22,2019-01-10,16.360001,16.51,16.0,16.48,16.48,487300
23,2019-01-11,16.6,17.059999,16.530001,17.0,17.0,580600
24,2019-01-14,17.0,17.059999,16.719999,16.74,16.74,612900
25,2019-01-15,17.0,17.0,16.41,16.59,16.59,468100
26,2019-01-16,16.799999,16.950001,16.26,16.26,16.26,272800
27,2019-01-17,16.049999,16.530001,16.049999,16.309999,16.309999,315700
28,2019-01-18,16.459999,16.799999,16.25,16.690001,16.690001,630000
29,2019-01-22,16.620001,16.635,15.35,15.56,15.56,636900
30,2019-01-23,15.59,15.92,14.76,14.79,14.79,652600
31,2019-01-24,14.9,15.195,14.64,14.64,14.64,452900
32,2019-01-25,14.8,14.92,14.4,14.91,14.91,942200
33,2019-01-28,14.84,14.84,14.45,14.45,14.45,656500
34,2019-01-29,14.46,14.875,14.45,14.63,14.63,592800
35,2019-01-30,14.72,15.545,14.65,15.13,15.13,758900
36,2019-01-31,15.24,17.48,15.24,16.6,16.6,2259200
37,2019-02-01,16.799999,17.007999,15.9,16.219999,16.219999,617200
38,2019-02-04,16.219999,16.49,15.95,16.27,16.27,297800
39,2019-02-05,16.290001,17.49,16.208,17.18,17.18,652700
40,2019-02-06,17.25,18.389999,17.110001,18.139999,18.139999,1015900
41,2019-02-07,17.950001,18.068001,17.040001,17.049999,17.049999,527600
42,2019-02-08,17.1,18.15,17.1,17.99,17.99,685700
43,2019-02-11,17.99,18.646,17.750999,18.17,18.17,597900
44,2019-02-12,18.209999,18.76,17.6,18.690001,18.690001,753100
45,2019-02-13,18.99,19.219999,18.299999,18.530001,18.530001,1333500
46,2019-02-14,18.639999,19.959999,18.629999,19.66,19.66,1091400
47,2019-02-15,19.940001,21.466999,19.700001,21.440001,21.440001,2087400
48,2019-02-19,21.51,21.513,20.049999,20.83,20.83,1204700
49,2019-02-20,21.120001,21.24,19.129999,19.92,19.92,1159900
50,2019-02-21,19.74,19.98,18.879999,19.34,19.34,822600
51,2019-02-22,19.35,20.040001,19.35,19.879999,19.879999,567600
52,2019-02-25,20.540001,22.299999,19.83,21.65,21.65,1917900
53,2019-02-26,21.6,24.4,21.559999,23.700001,23.700001,2522800
54,2019-02-27,23.370001,23.83,21.530001,22.1,22.1,1553000
55,2019-02-28,22.450001,23.030001,22.049999,22.6,22.6,511000
56,2019-03-01,23.09,23.389999,21.639999,22.27,22.27,867000
57,2019-03-04,22.469999,22.799999,20.52,21.120001,21.120001,1134100
58,2019-03-05,21.18,21.49,20.290001,21.370001,21.370001,1086400
59,2019-03-06,21.4,22.049999,20.059999,20.65,20.65,1061000
60,2019-03-07,20.42,21.155001,19.612,20.59,20.59,1018100
61,2019-03-08,20.370001,21.08,19.9,20.93,20.93,631100
62,2019-03-11,20.99,20.99,19.969999,20.43,20.43,915400
63,2019-03-12,20.52,20.889999,19.120001,19.26,19.26,1627600
64,2019-03-13,19.299999,20.254999,19.23,19.969999,19.969999,756500
65,2019-03-14,19.92,21.0,19.92,20.82,20.82,883600
66,2019-03-15,20.99,22.190001,20.889999,21.82,21.82,2686600
67,2019-03-18,21.74,22.219999,21.219999,22.18,22.18,1245600
68,2019-03-19,22.469999,22.6,20.18,20.35,20.35,976100
69,2019-03-20,20.41,20.98,19.9,20.0,20.0,985000
70,2019-03-21,20.0,20.25,19.209999,19.34,19.34,860500
71,2019-03-22,19.379999,19.700001,18.75,19.0,19.0,579500
72,2019-03-25,19.0,19.59,18.209999,19.4,19.4,671700
73,2019-03-26,19.610001,19.940001,19.24,19.9,19.9,393600
74,2019-03-27,20.08,20.08,18.889999,19.27,19.27,602600
75,2019-03-28,19.299999,19.74,19.0,19.66,19.66,436300
76,2019-03-29,19.870001,20.799999,19.469999,20.35,20.35,660800
77,2019-04-01,20.540001,20.915001,20.040001,20.59,20.59,547600
78,2019-04-02,20.68,20.68,19.540001,19.700001,19.700001,546400
79,2019-04-03,19.92,21.67,19.809999,21.33,21.33,909300
