,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,12.56,13.0,12.38,12.82,11.853703,12667600
1,2016-01-05,12.79,12.86,12.33,12.76,11.798225,9777000
2,2016-01-06,12.25,12.27,11.14,11.28,10.429779,15837500
3,2016-01-07,10.83,11.18,10.55,10.67,9.865759,20172900
4,2016-01-08,10.78,10.91,9.86,10.35,9.569876,34056400
5,2016-01-11,10.4,10.41,9.37,9.62,8.894899,22275300
6,2016-01-12,9.7,9.76,8.71,9.19,8.497311,25506000
7,2016-01-13,9.4,9.64,8.44,8.54,7.896306,26857700
8,2016-01-14,8.7,9.24,8.36,9.07,8.386356,33825800
9,2016-01-15,8.14,8.37,7.71,8.14,7.526456,39565500
10,2016-01-19,8.21,8.26,7.49,7.68,7.101127,29537200
11,2016-01-20,7.34,8.04,7.08,7.86,7.267559,45468000
12,2016-01-21,7.75,8.89,7.72,8.79,8.127463,37173900
13,2016-01-22,10.19,10.63,8.64,9.02,8.340125,38960100
14,2016-01-25,8.75,9.19,8.12,8.14,7.526456,19509600
15,2016-01-26,8.36,8.5,7.93,8.45,7.81309,16346000
16,2016-01-27,8.34,9.35,8.18,8.75,8.090478,27289200
17,2016-01-28,9.34,9.55,8.84,9.17,8.478821,20994400
18,2016-01-29,9.22,9.85,9.17,9.73,8.99661,20678000
19,2016-02-01,9.38,9.8,9.22,9.74,9.005855,17658100
20,2016-02-02,9.32,9.35,8.69,8.74,8.081231,19959900
21,2016-02-03,9.02,9.43,8.44,9.42,8.709975,23844300
22,2016-02-04,9.55,10.28,9.09,9.19,8.497311,33500300
23,2016-02-05,9.07,9.1,8.34,8.46,7.822335,29574000
24,2016-02-08,8.26,8.46,7.63,7.82,7.230575,45568000
25,2016-02-09,7.63,7.71,7.03,7.29,6.740523,24990000
26,2016-02-10,7.23,7.62,7.01,7.13,6.592583,21711900
27,2016-02-11,6.92,7.3,6.52,7.06,6.527859,36853000
28,2016-02-12,7.22,7.66,7.05,7.49,6.974844,30427700
29,2016-02-16,7.76,7.84,7.18,7.4,6.891036,22438900
30,2016-02-17,7.67,7.72,6.75,7.41,6.900347,63685200
31,2016-02-18,7.6,7.62,6.7,6.93,6.453362,55035600
32,2016-02-19,6.85,6.88,6.52,6.73,6.267117,38684800
33,2016-02-22,6.97,7.5,6.85,7.49,6.974844,34565200
34,2016-02-23,7.3,7.46,6.9,7.03,6.546483,28066300
35,2016-02-24,6.75,7.25,6.66,7.22,6.723415,18799300
36,2016-02-25,7.25,7.43,6.96,7.39,6.881722,20805600
37,2016-02-26,7.75,8.2,7.59,8.03,7.477704,36421100
38,2016-02-29,8.49,8.53,7.97,8.21,7.645324,38489400
39,2016-03-01,8.21,8.21,7.56,7.96,7.412519,273996600
40,2016-03-02,7.94,9.15,7.9,9.1,8.474111,74553100
41,2016-03-03,9.03,10.0,8.97,9.97,9.284272,65454100
