,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,20.549999,20.85,20.360001,20.84,8.798448,5265200
1,2016-01-05,20.84,20.99,20.620001,20.879999,8.815334,7229700
2,2016-01-06,20.65,20.879999,20.530001,20.85,8.802668,6014800
3,2016-01-07,20.48,20.91,20.34,20.5,8.654902,8246900
4,2016-01-08,20.52,20.67,20.370001,20.49,8.650681,7120900
5,2016-01-11,20.540001,20.620001,20.17,20.360001,8.595797,8073400
6,2016-01-12,20.51,20.77,20.34,20.65,8.718232,5953100
7,2016-01-13,20.76,20.92,20.18,20.25,8.549356,7016100
8,2016-01-14,20.299999,20.549999,20.190001,20.48,8.64646,7983700
9,2016-01-15,21.040001,21.040001,19.629999,19.73,8.329817,14563900
10,2016-01-19,20.1,20.139999,18.85,19.030001,8.034282,14227400
11,2016-01-20,18.6,18.91,18.309999,18.82,7.945623,11773500
12,2016-01-21,18.93,19.120001,18.790001,18.98,8.013171,5699300
13,2016-01-22,19.26,19.469999,19.16,19.469999,8.220046,5319900
14,2016-01-25,19.440001,19.440001,18.809999,18.82,7.945623,6465600
15,2016-01-26,18.9,19.26,18.9,19.23,8.118721,4752400
16,2016-01-27,19.219999,19.549999,19.09,19.219999,8.114499,5626200
17,2016-01-28,19.440001,19.66,19.24,19.5,8.232712,6069600
18,2016-01-29,19.68,19.870001,19.559999,19.84,8.376254,15071300
19,2016-02-01,19.68,19.84,19.459999,19.75,8.33826,9774200
20,2016-02-02,19.6,19.610001,19.209999,19.27,8.13561,4218800
21,2016-02-03,19.440001,19.49,18.959999,19.280001,8.13983,6545500
22,2016-02-04,19.190001,19.309999,18.93,19.18,8.097612,9831000
23,2016-02-05,20.74,21.07,19.65,19.76,8.342482,23911700
24,2016-02-08,19.440001,19.57,18.9,19.24,8.122942,9719900
25,2016-02-09,19.059999,19.190001,18.559999,18.719999,7.903404,8129200
26,2016-02-10,18.950001,19.200001,18.76,18.9,7.979395,6859300
27,2016-02-11,18.610001,18.9,18.48,18.77,7.924514,8295100
28,2016-02-12,18.809999,19.25,18.57,19.15,8.084945,6552500
29,2016-02-16,19.4,19.65,19.120001,19.549999,8.253819,11493600
30,2016-02-17,19.709999,20.049999,19.639999,19.969999,8.43114,7147700
31,2016-02-18,19.85,19.969999,19.74,19.809999,8.426889,4697100
32,2016-02-19,19.799999,19.98,19.58,19.93,8.477935,4577900
33,2016-02-22,20.1,20.35,20.040001,20.129999,8.563011,5504200
34,2016-02-23,20.01,20.09,19.52,19.559999,8.320541,5712600
35,2016-02-24,19.41,19.5,19.02,19.290001,8.205687,7440100
36,2016-02-25,19.379999,19.690001,19.190001,19.67,8.367334,5894400
37,2016-02-26,19.84,19.9,19.32,19.440001,8.269497,5784800
38,2016-02-29,19.379999,19.48,19.18,19.309999,8.214195,6734600
39,2016-03-01,19.469999,20.34,19.4,20.280001,8.626819,11197000
40,2016-03-02,20.34,20.58,20.09,20.41,8.68212,11373600
41,2016-03-03,20.469999,20.59,19.85,20.52,8.728911,9730600
42,2016-03-04,16.73,16.91,16.139999,16.620001,8.781749,16278500
43,2016-03-07,16.809999,17.18,16.540001,17.09,9.030092,11848600
44,2016-03-08,17.040001,17.120001,16.870001,16.950001,8.956117,11165800
45,2016-03-09,16.99,17.67,16.74,17.59,9.294283,11231700
46,2016-03-10,17.76,17.82,17.440001,17.700001,9.352404,8269200
