,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,185.979996,187.600006,185.309998,187.509995,171.00174,1476100
1,2016-01-05,187.850006,192.860001,187.850006,192.389999,175.452133,2302200
2,2016-01-06,190.160004,193.199997,190.0,190.470001,173.701187,1879700
3,2016-01-07,187.899994,189.679993,186.009995,188.110001,171.54892,2136100
4,2016-01-08,188.789993,189.740005,185.899994,186.070007,169.688553,1503300
5,2016-01-11,187.479996,188.710007,185.509995,188.110001,171.54892,1773800
6,2016-01-12,189.059998,189.470001,187.529999,188.919998,172.287598,1010400
7,2016-01-13,189.0,189.440002,184.570007,184.860001,168.585052,1099200
8,2016-01-14,184.860001,186.509995,182.869995,185.550003,169.214325,1062100
9,2016-01-15,181.0,185.100006,180.320007,184.210007,167.992294,1532800
10,2016-01-19,186.369995,187.279999,183.559998,186.75,170.308655,2210300
11,2016-01-20,183.839996,185.169998,178.979996,182.559998,166.487549,1841500
12,2016-01-21,183.470001,184.130005,180.960007,181.220001,165.265549,1031600
13,2016-01-22,183.229996,184.449997,182.009995,184.110001,167.901077,857300
14,2016-01-25,184.089996,184.600006,181.619995,181.830002,165.821808,987900
15,2016-01-26,181.470001,182.740005,178.869995,182.5,166.432846,1473400
16,2016-01-27,181.429993,182.490005,177.830002,178.190002,162.502258,1613500
17,2016-01-28,176.399994,181.190002,175.0,180.149994,164.289688,2078600
18,2016-01-29,181.429993,185.339996,180.029999,185.059998,168.767441,1831700
19,2016-02-01,186.380005,189.75,184.630005,188.639999,172.032288,1426000
20,2016-02-02,186.929993,189.179993,186.449997,187.440002,170.937912,1139500
21,2016-02-03,188.610001,190.050003,186.860001,189.770004,173.062805,1317200
22,2016-02-04,188.800003,189.899994,185.309998,186.350006,169.943863,1550400
23,2016-02-05,186.720001,188.589996,185.339996,186.490005,170.071564,1811100
24,2016-02-08,184.740005,187.929993,184.0,185.619995,169.278122,1693700
25,2016-02-09,184.169998,188.389999,184.009995,187.320007,170.828476,1287900
26,2016-02-10,187.740005,189.520004,187.220001,188.330002,171.749588,1013200
27,2016-02-11,185.119995,186.570007,180.100006,183.910004,167.718704,1491500
28,2016-02-12,184.559998,185.570007,180.460007,181.25,165.292862,1594800
29,2016-02-16,182.399994,185.889999,180.149994,184.220001,168.001419,2165500
30,2016-02-17,185.610001,191.130005,184.449997,190.059998,173.32724,1226900
31,2016-02-18,190.699997,193.75,190.009995,192.679993,175.716599,1340100
32,2016-02-19,192.160004,192.639999,190.059998,190.679993,173.89267,1526600
33,2016-02-22,190.779999,193.410004,190.669998,192.270004,175.342636,1088600
34,2016-02-23,192.029999,193.320007,190.75,191.309998,174.467209,806500
35,2016-02-24,190.759995,190.919998,188.059998,190.020004,173.290756,1020400
36,2016-02-25,190.050003,192.960007,189.419998,192.929993,176.688446,812300
37,2016-02-26,193.0,193.679993,191.940002,192.220001,176.038208,861900
38,2016-02-29,191.990005,194.800003,191.339996,192.220001,176.038208,1171600
39,2016-03-01,193.339996,194.679993,192.429993,193.880005,177.558472,1214600
40,2016-03-02,193.660004,194.699997,191.830002,193.320007,177.045593,781200
41,2016-03-03,192.830002,193.529999,189.320007,192.119995,175.946625,1137000
42,2016-03-04,191.619995,192.440002,190.050003,191.070007,174.985062,1290100
43,2016-03-07,190.089996,191.160004,186.350006,186.679993,170.964584,1410800
44,2016-03-08,185.429993,187.669998,185.080002,186.860001,171.129471,1676600
45,2016-03-09,188.259995,188.339996,186.490005,186.740005,171.019516,1389800
46,2016-03-10,187.089996,189.0,186.410004,186.75,171.028732,1161600
47,2016-03-11,188.899994,191.25,188.160004,189.889999,173.904373,1006300
48,2016-03-14,189.169998,190.149994,187.699997,188.570007,172.69548,978900
49,2016-03-15,188.039993,191.949997,187.520004,191.669998,175.534515,911800
50,2016-03-16,190.539993,192.429993,190.0,191.570007,175.442917,878200
51,2016-03-17,191.600006,192.279999,190.160004,190.910004,174.838516,1253400
52,2016-03-18,191.679993,194.419998,191.050003,193.990005,177.659225,1350100
53,2016-03-21,193.350006,195.470001,193.210007,194.179993,177.833206,839700
54,2016-03-22,194.160004,195.169998,193.580002,194.339996,177.979767,720100
55,2016-03-23,193.960007,195.639999,193.869995,194.960007,178.547607,986400
56,2016-03-24,193.669998,194.679993,193.25,194.199997,177.851547,738700
57,2016-03-28,194.210007,195.440002,194.210007,194.880005,178.474319,623300
58,2016-03-29,194.25,196.75,194.25,196.679993,180.122726,551400
59,2016-03-30,197.229996,198.880005,197.100006,198.729996,182.000198,1231000
60,2016-03-31,199.0,199.5,197.309998,197.899994,181.240021,1881900
61,2016-04-01,196.589996,200.779999,195.660004,200.309998,183.447174,1117700
62,2016-04-04,200.809998,202.050003,200.050003,201.179993,184.243912,736700
63,2016-04-05,200.75,203.880005,200.75,202.270004,185.242157,873000
64,2016-04-06,201.839996,202.5,200.759995,202.100006,185.086502,1717700
65,2016-04-07,201.520004,202.0,199.660004,200.550003,183.666962,854300
66,2016-04-08,201.630005,202.0,200.089996,200.570007,183.685287,798800
67,2016-04-11,200.660004,201.720001,199.490005,199.509995,182.714508,797000
68,2016-04-12,200.050003,201.029999,199.5,200.199997,183.346451,706000
69,2016-04-13,200.679993,201.300003,199.020004,201.130005,184.198151,670500
70,2016-04-14,201.419998,201.820007,199.880005,200.130005,183.282333,506000
71,2016-04-15,199.639999,201.919998,198.75,201.880005,184.884995,941500
72,2016-04-18,202.0,202.880005,201.330002,202.789993,185.718399,664600
73,2016-04-19,203.0,203.410004,201.449997,201.589996,184.619385,798900
74,2016-04-20,202.070007,202.699997,201.449997,201.580002,184.610275,883200
75,2016-04-21,200.979996,201.649994,199.860001,200.0,183.163284,835000
76,2016-04-22,200.229996,201.639999,199.259995,200.75,183.850113,853300
77,2016-04-25,200.25,200.929993,199.520004,200.729996,183.831848,698600
78,2016-04-26,200.880005,203.990005,200.880005,203.570007,186.432739,1390600
79,2016-04-27,207.0,208.990005,200.550003,207.0,189.573975,1476800
80,2016-04-28,206.5,207.679993,205.020004,205.610001,188.300949,995200
81,2016-04-29,205.520004,206.369995,204.520004,206.259995,188.896301,938000
82,2016-05-02,206.869995,208.630005,205.830002,208.309998,190.773697,1039800
83,2016-05-03,207.440002,209.789993,206.75,209.600006,191.955109,954800
84,2016-05-04,208.600006,210.740005,208.080002,210.550003,192.825104,1282000
85,2016-05-05,210.669998,212.009995,210.429993,211.929993,194.088943,1100700
86,2016-05-06,211.729996,214.169998,211.610001,214.100006,196.076279,821500
87,2016-05-09,214.300003,215.600006,212.970001,214.630005,196.56163,830500
88,2016-05-10,215.080002,217.639999,214.720001,217.429993,199.125961,904900
89,2016-05-11,217.449997,218.399994,214.139999,214.320007,196.277771,874700
90,2016-05-12,214.550003,218.839996,214.550003,217.979996,199.629639,1337500
91,2016-05-13,217.0,217.5,213.479996,213.979996,195.96637,1184100
92,2016-05-16,213.979996,216.330002,213.0,215.729996,197.569061,671100
93,2016-05-17,215.960007,216.669998,212.210007,213.600006,195.618393,1063700
94,2016-05-18,213.240005,215.570007,212.710007,214.139999,196.112885,789900
95,2016-05-19,212.5,213.009995,209.679993,211.070007,193.301361,929400
96,2016-05-20,212.289993,213.020004,211.130005,212.720001,194.812424,729300
97,2016-05-23,212.75,213.050003,211.789993,212.160004,194.299591,602800
98,2016-05-24,212.660004,215.600006,212.660004,214.679993,196.607452,616800
99,2016-05-25,215.75,216.089996,214.279999,214.330002,196.286926,613100
100,2016-05-26,213.949997,214.800003,213.330002,213.949997,195.938889,514100
101,2016-05-27,213.770004,214.649994,213.360001,214.419998,196.369339,582400
102,2016-05-31,214.419998,215.5,211.210007,212.669998,194.766663,1026700
103,2016-06-01,211.570007,214.410004,211.279999,214.169998,196.140381,918900
104,2016-06-02,213.389999,213.839996,212.039993,213.380005,196.241531,681100
105,2016-06-03,213.009995,215.940002,211.360001,215.179993,197.896988,868000
106,2016-06-06,215.229996,216.190002,214.820007,215.440002,198.136093,565500
107,2016-06-07,215.520004,216.690002,215.520004,215.690002,198.366013,699900
108,2016-06-08,215.699997,217.970001,215.220001,217.660004,200.17778,596300
109,2016-06-09,217.169998,218.729996,216.690002,218.580002,201.023895,461200
110,2016-06-10,217.539993,218.509995,216.860001,217.360001,199.901886,456000
111,2016-06-13,216.669998,217.5,214.860001,215.050003,197.777405,490700
112,2016-06-14,213.639999,217.089996,213.639999,216.910004,199.487991,501200
113,2016-06-15,217.690002,218.0,216.619995,217.190002,199.745529,542900
114,2016-06-16,216.639999,217.119995,214.330002,216.740005,199.331696,722200
115,2016-06-17,217.0,217.0,212.229996,214.320007,197.106049,871400
116,2016-06-20,216.100006,216.789993,214.960007,215.160004,197.878555,652600
117,2016-06-21,216.169998,216.360001,214.770004,214.850006,197.593475,425500
118,2016-06-22,215.589996,216.009995,214.779999,214.889999,197.630295,544400
119,2016-06-23,216.630005,216.630005,213.850006,214.699997,197.455521,554700
120,2016-06-24,209.0,214.990005,208.289993,212.710007,195.625336,3184600
121,2016-06-27,211.889999,214.389999,210.089996,214.149994,196.949692,1502700
122,2016-06-28,215.139999,216.179993,212.889999,216.130005,198.770691,1065700
