,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,33.509998,34.610001,33.360001,34.610001,33.140072,6573200
1,2016-01-05,34.009998,34.220001,33.09,33.619999,32.192108,5106200
2,2016-01-06,32.779999,32.779999,31.139999,31.34,30.008947,6500200
3,2016-01-07,30.68,31.48,30.26,30.74,29.434431,7140400
4,2016-01-08,30.85,30.93,29.690001,29.940001,28.668409,8321200
5,2016-01-11,30.01,30.15,29.549999,29.950001,28.677977,7407000
6,2016-01-12,30.389999,30.610001,29.75,30.43,29.137596,7235100
7,2016-01-13,30.82,31.01,29.01,29.08,27.844933,8858400
8,2016-01-14,29.35,30.67,28.51,30.51,29.214197,8102200
9,2016-01-15,29.129999,29.98,29.040001,29.950001,28.677977,8370100
10,2016-01-19,30.18,30.23,28.91,29.530001,28.27582,5937800
11,2016-01-20,28.799999,30.23,28.540001,29.719999,28.45775,8220300
12,2016-01-21,29.540001,31.209999,29.360001,30.67,29.367399,5519400
13,2016-01-22,31.58,31.959999,30.440001,31.23,29.903618,6998100
14,2016-01-25,30.620001,30.91,29.66,29.690001,28.429028,5903800
15,2016-01-26,30.120001,30.860001,29.879999,30.43,29.137596,5597600
16,2016-01-27,30.360001,31.969999,29.959999,31.1,29.779142,8121700
17,2016-01-28,32.040001,32.630001,30.85,31.059999,29.740839,8690800
18,2016-01-29,31.26,32.650002,31.139999,32.540001,31.157984,6403000
19,2016-02-01,31.93,32.349998,31.07,31.99,30.631342,5569300
20,2016-02-02,31.209999,31.299999,30.4,30.67,29.367399,6726200
21,2016-02-03,28.09,28.190001,26.1,28.0,26.810802,29173000
22,2016-02-04,28.040001,28.84,27.75,28.58,27.366169,13847800
23,2016-02-05,28.27,28.92,27.959999,28.469999,27.260839,10274500
24,2016-02-08,27.83,28.52,27.219999,28.4,27.193813,6807200
25,2016-02-09,28.24,28.25,27.02,27.559999,26.38949,8103200
26,2016-02-10,27.41,28.16,26.65,26.690001,25.556437,6177200
27,2016-02-11,26.17,26.700001,25.74,26.34,25.221304,8504400
28,2016-02-12,26.690001,27.74,26.559999,27.549999,26.379913,5811200
29,2016-02-16,28.049999,28.200001,27.34,28.059999,26.86825,5138400
30,2016-02-17,28.41,29.16,28.34,29.110001,27.873663,7315200
31,2016-02-18,29.42,29.49,28.67,29.35,28.103464,5677100
32,2016-02-19,28.959999,29.299999,28.709999,29.299999,28.055588,3857700
33,2016-02-22,30.02,30.129999,29.370001,29.4,28.151342,5882600
34,2016-02-23,29.35,29.799999,28.620001,28.65,27.433195,4649300
35,2016-02-24,27.940001,28.299999,27.27,28.24,27.040609,5835800
36,2016-02-25,28.35,28.42,27.059999,27.66,26.485243,5656700
37,2016-02-26,28.370001,29.309999,28.290001,28.809999,27.586397,5673100
38,2016-02-29,29.1,29.6,28.870001,29.27,28.026861,5920300
39,2016-03-01,29.639999,30.0,29.139999,29.51,28.25667,7819600
40,2016-03-02,29.370001,30.6,28.870001,30.5,29.204624,7331600
41,2016-03-03,30.620001,31.99,30.469999,31.76,30.411112,10116200
42,2016-03-04,31.98,32.68,31.66,32.5,31.119682,11051000
43,2016-03-07,32.279999,35.200001,32.209999,34.93,33.446472,17153500
44,2016-03-08,34.610001,34.759998,31.48,31.5,30.162155,8552300
45,2016-03-09,31.370001,32.150002,30.6,31.379999,30.492533,6569900
46,2016-03-10,31.200001,31.58,30.66,31.5,30.60914,4548800
47,2016-03-11,32.169998,33.540001,32.040001,33.389999,32.445694,5769900
48,2016-03-14,32.880001,33.84,32.700001,33.439999,32.494274,6166300
49,2016-03-15,32.950001,33.169998,32.049999,33.110001,32.173611,4020300
50,2016-03-16,33.330002,33.599998,32.830002,33.060001,32.125023,6420400
51,2016-03-17,33.419998,34.529999,33.080002,33.990002,33.028725,7256600
52,2016-03-18,34.32,34.34,32.209999,32.580002,31.658602,16760800
53,2016-03-21,32.220001,32.610001,31.66,32.57,31.648886,5084300
54,2016-03-22,32.380001,32.77,31.870001,32.02,31.114441,5457600
55,2016-03-23,31.889999,32.32,31.219999,31.379999,30.492533,5343000
56,2016-03-24,30.620001,31.15,30.01,31.15,30.269041,4877800
57,2016-03-28,31.34,31.639999,30.92,31.49,30.59943,4153400
58,2016-03-29,31.07,31.379999,30.030001,31.32,30.434235,5294100
59,2016-03-30,31.690001,31.889999,30.809999,31.1,30.220459,3927100
60,2016-03-31,31.07,31.549999,30.99,31.1,30.220459,5425000
61,2016-04-01,30.360001,30.51,29.129999,29.530001,28.694859,6498300
62,2016-04-04,29.59,29.950001,29.18,29.59,28.753164,3949900
63,2016-04-05,29.42,29.58,28.700001,29.030001,28.209,4772000
64,2016-04-06,29.370001,29.889999,28.690001,29.219999,28.393625,3892900
65,2016-04-07,29.110001,29.34,28.219999,28.57,27.762011,5080200
66,2016-04-08,29.18,29.5,28.879999,29.110001,28.286737,3441900
67,2016-04-11,28.25,28.4,27.08,27.32,26.547354,12124500
68,2016-04-12,27.48,28.059999,26.92,27.83,27.042936,11282600
69,2016-04-13,27.99,29.27,27.77,29.209999,28.383905,9897300
70,2016-04-14,29.41,29.41,28.370001,28.809999,27.99522,6854200
71,2016-04-15,28.42,28.450001,27.5,27.68,26.897177,8103200
72,2016-04-18,27.059999,28.690001,26.860001,28.26,27.460773,7283300
73,2016-04-19,28.530001,29.48,28.309999,29.219999,28.393625,7628000
74,2016-04-20,28.82,28.93,28.16,28.700001,27.888332,6835300
75,2016-04-21,28.85,29.040001,28.530001,28.549999,27.742573,4536100
76,2016-04-22,28.540001,29.790001,28.540001,29.27,28.442209,5064500
77,2016-04-25,29.059999,29.780001,28.959999,29.32,28.490795,6268500
78,2016-04-26,29.5,29.690001,29.209999,29.370001,28.539383,7176700
79,2016-04-27,30.469999,32.23,30.459999,31.700001,30.803488,10264700
80,2016-04-28,31.120001,33.919998,29.77,33.099998,32.163891,16748200
81,2016-04-29,33.330002,36.490002,33.279999,36.040001,35.020752,13924000
82,2016-05-02,35.950001,36.279999,34.560001,34.77,33.786663,13885600
83,2016-05-03,34.189999,34.900002,33.290001,34.82,33.835247,7803500
84,2016-05-04,34.57,35.299999,33.310001,33.470001,32.52343,7110000
85,2016-05-05,34.099998,34.25,32.790001,33.290001,32.348522,5025000
86,2016-05-06,33.040001,34.34,32.919998,33.459999,32.513714,4018100
87,2016-05-09,33.099998,33.27,31.389999,31.42,30.531406,7545300
88,2016-05-10,31.59,32.02,31.15,31.76,30.86179,5026700
89,2016-05-11,31.65,32.689999,31.200001,32.360001,31.444817,5591400
90,2016-05-12,32.860001,33.189999,31.559999,31.950001,31.046419,4443900
91,2016-05-13,31.629999,32.080002,31.110001,31.16,30.278759,3519200
92,2016-05-16,31.809999,32.57,31.620001,32.240002,31.328217,4157000
93,2016-05-17,32.240002,33.150002,32.07,32.82,31.891808,6574000
94,2016-05-18,32.450001,32.950001,31.25,31.450001,30.560558,5284200
95,2016-05-19,31.059999,31.65,30.91,31.09,30.210741,6966300
96,2016-05-20,31.120001,31.99,31.120001,31.83,30.92981,4107000
97,2016-05-23,31.530001,31.84,31.34,31.559999,30.66745,3480700
98,2016-05-24,31.889999,31.93,31.200001,31.49,30.59943,2936500
99,2016-05-25,31.82,32.779999,31.73,32.669998,31.746056,3970300
100,2016-05-26,33.0,33.360001,32.549999,32.580002,31.658602,3729900
101,2016-05-27,32.580002,32.689999,32.18,32.619999,31.697466,2942000
102,2016-05-31,32.580002,33.290001,32.509998,32.950001,32.018139,4846800
103,2016-06-01,32.330002,32.580002,31.52,32.099998,31.192177,4056400
104,2016-06-02,31.77,32.080002,31.25,32.0,31.095003,3010600
105,2016-06-03,32.110001,32.549999,31.75,32.09,31.182457,2698400
106,2016-06-06,32.490002,35.130001,32.490002,34.869999,33.883831,6680600
107,2016-06-07,35.209999,36.529999,35.169998,36.25,35.224804,5680100
108,2016-06-08,36.57,37.490002,36.57,36.98,35.983799,4682200
109,2016-06-09,36.139999,36.599998,35.849998,36.34,35.361034,4217400
110,2016-06-10,35.75,36.040001,34.98,35.029999,34.08633,3953000
111,2016-06-13,34.32,35.18,34.240002,34.59,33.658173,3378300
112,2016-06-14,34.349998,34.990002,33.610001,34.139999,33.220299,3753600
113,2016-06-15,34.080002,34.93,33.779999,33.869999,32.957577,3387900
114,2016-06-16,33.43,33.950001,32.82,33.849998,32.938118,4246200
115,2016-06-17,34.209999,35.34,34.209999,35.18,34.232285,10876700
116,2016-06-20,35.669998,35.950001,35.110001,35.16,34.212818,3685600
117,2016-06-21,34.950001,35.650002,34.580002,35.650002,34.689625,4050000
118,2016-06-22,35.959999,36.16,35.52,35.540001,34.582596,4100300
119,2016-06-23,36.130001,36.66,35.880001,36.5,35.516727,3770700
120,2016-06-24,34.790001,35.41,34.040001,34.060001,33.14246,5586000
121,2016-06-27,33.700001,33.720001,31.469999,31.610001,30.758459,6232300
122,2016-06-28,32.400002,32.599998,31.77,31.99,31.128223,4251700
123,2016-06-29,32.57,33.259998,32.029999,32.93,32.042896,5536900
124,2016-06-30,32.919998,33.650002,32.5,33.650002,32.7435,3752300
125,2016-07-01,33.650002,34.59,33.529999,34.439999,33.512215,3302000
126,2016-07-05,33.830002,34.060001,31.879999,32.139999,31.274181,5495700
127,2016-07-06,31.790001,31.82,30.67,31.459999,30.612497,5935900
128,2016-07-07,32.0,32.779999,31.309999,31.690001,30.836302,4519400
129,2016-07-08,32.290001,32.849998,32.119999,32.59,31.712061,3236100
130,2016-07-11,32.759998,33.330002,32.080002,32.189999,31.322832,3409700
131,2016-07-12,32.82,34.380001,32.779999,34.02,33.103535,3939500
132,2016-07-13,33.950001,34.299999,33.02,33.380001,32.480774,2595800
133,2016-07-14,33.830002,34.07,33.610001,33.740002,32.831081,2152700
134,2016-07-15,34.0,34.0,33.389999,33.740002,32.831081,2492500
135,2016-07-18,33.119999,33.330002,32.459999,33.279999,32.383465,2785600
136,2016-07-19,33.16,33.48,32.900002,33.040001,32.149933,2757200
137,2016-07-20,32.759998,33.43,32.25,32.950001,32.062363,4290600
138,2016-07-21,33.0,33.889999,32.810001,32.860001,31.974792,5038500
139,2016-07-22,32.93,33.060001,32.169998,32.25,31.381216,3315800
140,2016-07-25,32.0,32.07,31.059999,31.27,30.427618,4000600
141,2016-07-26,31.209999,31.93,31.190001,31.860001,31.001726,4286000
142,2016-07-27,31.959999,32.34,31.059999,31.27,30.427618,6088600
143,2016-07-28,31.0,33.099998,29.790001,32.040001,31.176878,7366900
144,2016-07-29,31.809999,32.43,31.59,32.349998,31.478523,5235400
145,2016-08-01,32.0,32.099998,31.27,31.440001,30.59304,5951800
146,2016-08-02,32.009998,32.43,31.0,31.91,31.050379,5119000
147,2016-08-03,31.93,32.869999,31.82,32.66,31.780172,3979100
148,2016-08-04,32.509998,32.919998,32.34,32.560001,31.682871,2122400
149,2016-08-05,32.619999,33.509998,32.459999,33.349998,32.45158,4565900
150,2016-08-08,33.689999,34.560001,33.619999,34.400002,33.473297,4061000
151,2016-08-09,34.470001,34.759998,33.75,34.18,33.25922,3753400
152,2016-08-10,34.32,34.599998,33.290001,33.32,32.42239,4329300
153,2016-08-11,33.41,33.990002,33.099998,33.669998,32.762974,4010500
154,2016-08-12,33.84,34.189999,33.689999,33.810001,32.899197,3826500
155,2016-08-15,33.91,35.259998,33.91,34.849998,33.911171,3531000
156,2016-08-16,35.009998,35.439999,34.790001,34.970001,34.027946,4158400
157,2016-08-17,35.220001,35.490002,34.950001,35.09,34.144707,3337800
158,2016-08-18,35.310001,36.209999,35.279999,36.09,35.117775,4004100
159,2016-08-19,35.59,35.880001,35.419998,35.740002,34.777199,2817700
160,2016-08-22,35.27,35.41,34.75,35.18,34.232285,2894600
161,2016-08-23,35.299999,35.73,35.18,35.389999,34.436626,2028800
162,2016-08-24,35.150002,35.619999,34.84,35.049999,34.105782,3084000
163,2016-08-25,35.07,35.330002,34.82,35.200001,34.251743,2553400
164,2016-08-26,35.310001,35.689999,34.240002,34.540001,33.609524,2924900
165,2016-08-29,34.439999,34.68,34.369999,34.450001,33.521946,1795500
166,2016-08-30,34.450001,34.669998,33.77,33.860001,32.947849,2818400
167,2016-08-31,33.650002,33.990002,33.330002,33.540001,32.636467,2765300
168,2016-09-01,33.400002,33.490002,32.700001,33.040001,32.149933,2928100
169,2016-09-02,33.41,33.849998,33.299999,33.490002,32.587818,2409300
170,2016-09-06,33.580002,34.419998,33.580002,34.279999,33.356529,3074400
171,2016-09-07,34.310001,34.73,33.900002,34.029999,33.113262,3868000
172,2016-09-08,34.279999,35.490002,34.040001,35.139999,34.193367,4064800
173,2016-09-09,34.709999,34.98,33.150002,33.150002,32.256969,4633300
174,2016-09-12,32.66,34.23,32.5,34.07,33.152191,3721000
175,2016-09-13,33.389999,33.66,32.779999,33.09,32.198593,4077300
176,2016-09-14,32.950001,33.310001,32.080002,32.310001,31.487177,4422500
177,2016-09-15,32.540001,33.029999,32.32,32.889999,32.052402,2306200
178,2016-09-16,32.360001,32.900002,32.130001,32.860001,32.02317,3081000
179,2016-09-19,33.200001,33.400002,32.349998,32.360001,31.535906,2071900
180,2016-09-20,32.349998,32.459999,31.889999,31.91,31.097366,3335900
181,2016-09-21,32.299999,33.700001,32.150002,33.689999,32.832035,4257300
182,2016-09-22,34.27,34.599998,34.029999,34.380001,33.504463,3373000
183,2016-09-23,34.049999,35.0,33.880001,33.889999,33.026939,5053500
184,2016-09-26,34.169998,34.310001,33.73,33.889999,33.026939,4427200
185,2016-09-27,33.439999,33.66,33.040001,33.439999,32.588394,4152000
186,2016-09-28,33.560001,36.330002,33.450001,36.27,35.346329,7441100
187,2016-09-29,36.240002,38.549999,36.240002,36.860001,35.92131,10862300
188,2016-09-30,37.220001,37.369999,36.700001,36.740002,35.804363,5321900
189,2016-10-03,36.009998,36.400002,35.759998,36.16,35.239128,5464100
190,2016-10-04,36.139999,36.490002,35.27,35.68,34.771358,4127500
191,2016-10-05,36.419998,37.360001,36.130001,36.869999,35.931049,4724200
192,2016-10-06,37.029999,37.529999,36.459999,37.009998,36.067482,4345400
193,2016-10-07,37.080002,37.34,36.470001,36.84,35.901814,3121500
194,2016-10-10,37.400002,37.799999,37.18,37.599998,36.64246,4422600
195,2016-10-11,37.400002,37.740002,36.490002,36.959999,36.018761,4468200
196,2016-10-12,36.75,36.849998,36.02,36.080002,35.161167,3405600
197,2016-10-13,35.740002,36.459999,35.529999,36.290001,35.365822,3201700
198,2016-10-14,36.599998,36.75,35.959999,36.139999,35.219643,2009600
199,2016-10-17,36.240002,36.52,35.639999,36.110001,35.190407,1980900
200,2016-10-18,36.619999,36.950001,36.259998,36.66,35.726395,2391500
201,2016-10-19,37.07,37.380001,36.66,36.98,36.038254,4557900
202,2016-10-20,36.66,37.68,36.459999,37.189999,36.242897,3285800
203,2016-10-21,36.849998,37.060001,36.5,36.970001,36.028503,2426400
204,2016-10-24,37.0,37.049999,36.279999,36.759998,35.823849,2268000
205,2016-10-25,36.66,37.259998,36.07,36.16,35.239128,3158500
206,2016-10-26,35.759998,36.709999,35.560001,36.560001,35.628952,5668800
207,2016-10-27,35.880001,36.009998,33.59,33.700001,32.841782,12731500
208,2016-10-28,33.720001,33.889999,32.57,32.93,32.091389,6655200
209,2016-10-31,32.779999,32.900002,31.959999,32.099998,31.282524,5826300
210,2016-11-01,32.43,32.529999,31.51,31.93,31.116856,4377300
211,2016-11-02,31.5,31.860001,31.030001,31.43,30.629589,5838700
212,2016-11-03,31.389999,32.549999,31.389999,32.369999,31.54565,5348500
213,2016-11-04,32.220001,32.279999,31.26,31.879999,31.068129,3144700
214,2016-11-07,32.48,32.540001,31.98,32.240002,31.418957,3001000
215,2016-11-08,32.060001,32.139999,31.41,31.91,31.097366,3774500
216,2016-11-09,31.959999,33.419998,31.870001,32.950001,32.110882,4584000
217,2016-11-10,32.959999,33.939999,32.91,33.59,32.734577,4235500
218,2016-11-11,33.290001,33.689999,32.82,33.34,32.490952,3062900
219,2016-11-14,33.23,34.98,33.119999,34.900002,34.011219,4545800
220,2016-11-15,35.150002,36.209999,35.099998,36.040001,35.122192,4115600
221,2016-11-16,35.639999,35.900002,35.040001,35.25,34.352318,2548600
222,2016-11-17,35.549999,36.189999,35.049999,35.310001,34.410782,3300000
223,2016-11-18,35.23,35.52,34.84,35.209999,34.313324,2454500
224,2016-11-21,35.939999,36.619999,35.93,36.439999,35.512009,3551500
225,2016-11-22,36.599998,36.689999,36.16,36.349998,35.42429,2697300
226,2016-11-23,36.0,36.529999,35.849998,36.349998,35.42429,1950300
227,2016-11-25,36.07,36.16,35.52,35.939999,35.024734,1356700
228,2016-11-28,36.040001,36.07,35.34,35.529999,34.625175,2583000
229,2016-11-29,34.619999,34.84,34.110001,34.599998,33.718868,3382800
230,2016-11-30,36.139999,37.91,35.849998,37.360001,36.461269,8296300
231,2016-12-01,37.98,38.919998,37.419998,37.59,36.685734,5071800
232,2016-12-02,37.490002,38.049999,37.32,37.889999,36.978504,2744600
233,2016-12-05,38.25,39.529999,38.02,38.799999,37.866623,4367900
234,2016-12-06,37.84,39.450001,37.549999,39.369999,38.422909,3745300
235,2016-12-07,39.169998,39.869999,38.900002,39.380001,38.432674,3452100
236,2016-12-08,39.509998,39.959999,39.25,39.880001,38.920643,2738200
237,2016-12-09,40.0,40.470001,39.349998,39.779999,38.823051,4135200
238,2016-12-12,41.720001,43.630001,39.700001,40.02,39.057274,7674800
239,2016-12-13,40.529999,40.599998,39.900002,40.32,39.35006,3307600
240,2016-12-14,39.830002,40.610001,39.310001,39.48,38.530266,3773700
241,2016-12-15,39.029999,40.369999,38.889999,39.700001,38.74498,3398100
242,2016-12-16,39.860001,40.029999,38.0,38.720001,37.788544,9699200
243,2016-12-19,38.790001,39.040001,38.279999,38.490002,37.564079,2762000
244,2016-12-20,38.82,39.150002,38.700001,38.799999,37.866623,2180500
245,2016-12-21,39.02,39.32,38.619999,38.849998,37.915421,2185000
246,2016-12-22,38.799999,39.389999,38.540001,38.900002,37.964214,2993500
247,2016-12-23,38.869999,39.209999,38.080002,38.380001,37.45673,1773800
248,2016-12-27,38.57,39.119999,38.400002,38.919998,37.983734,1576400
249,2016-12-28,38.59,38.93,37.93,37.959999,37.046822,2218300
250,2016-12-29,37.919998,38.169998,37.560001,37.830002,36.919964,1710100
251,2016-12-30,37.919998,38.330002,37.32,37.439999,36.53933,2550900
252,2017-01-03,38.119999,38.73,37.189999,37.810001,36.900436,4086300
253,2017-01-04,37.77,38.799999,37.68,38.529999,37.603115,3242000
254,2017-01-05,38.66,38.98,38.32,38.669998,37.739742,2946100
255,2017-01-06,38.669998,39.200001,38.119999,38.990002,38.052055,2916200
256,2017-01-09,38.57,39.139999,37.950001,38.07,37.154186,3266900
257,2017-01-10,38.150002,38.169998,37.630001,37.759998,36.851643,2112600
258,2017-01-11,37.84,38.91,37.810001,38.529999,37.603115,2484300
259,2017-01-12,38.669998,38.720001,37.639999,38.16,37.24202,3266400
260,2017-01-13,37.73,38.240002,37.360001,37.400002,36.500301,2444600
261,2017-01-17,37.66,37.82,37.310001,37.669998,36.763798,2917700
262,2017-01-18,37.290001,37.509998,36.82,37.419998,36.519817,3467000
263,2017-01-19,37.75,38.389999,37.709999,37.900002,36.988277,3708400
264,2017-01-20,38.330002,39.25,38.290001,39.080002,38.139893,3677900
265,2017-01-23,38.650002,38.73,37.869999,38.43,37.505527,4367500
266,2017-01-24,38.740002,39.25,38.349998,39.040001,38.100845,1944000
267,2017-01-25,39.07,39.790001,39.07,39.720001,38.764488,2418800
268,2017-01-26,39.790001,39.939999,39.169998,39.25,38.305798,2442400
269,2017-01-27,39.150002,39.529999,38.689999,38.869999,37.934933,1608400
270,2017-01-30,38.509998,38.619999,37.200001,37.549999,36.646694,3175600
271,2017-01-31,37.599998,37.889999,37.049999,37.810001,36.900436,3068700
272,2017-02-01,38.189999,39.68,37.700001,38.549999,37.622635,14113200
273,2017-02-02,38.450001,38.700001,37.540001,37.799999,36.890675,3456000
274,2017-02-03,37.830002,38.709999,37.740002,38.57,37.642155,2631700
275,2017-02-06,38.580002,38.720001,37.400002,37.459999,36.558857,4376000
276,2017-02-07,38.02,40.75,37.259998,39.290001,38.344837,12138600
277,2017-02-08,39.59,39.59,38.099998,39.209999,38.266754,5106900
278,2017-02-09,39.209999,39.84,38.939999,38.990002,38.052055,3877700
279,2017-02-10,39.490002,39.950001,39.220001,39.419998,38.47171,3120500
280,2017-02-13,39.400002,39.900002,39.32,39.599998,38.647377,1726800
281,2017-02-14,39.75,40.75,39.509998,40.66,39.681873,3057300
282,2017-02-15,40.189999,40.630001,40.009998,40.419998,39.447643,3163500
283,2017-02-16,40.560001,40.799999,40.060001,40.240002,39.271988,2651400
284,2017-02-17,40.029999,40.18,38.93,39.310001,38.364353,3115500
285,2017-02-21,39.84,40.299999,39.529999,39.560001,38.608345,2407500
286,2017-02-22,39.060001,39.41,38.77,38.860001,37.925182,3023900
287,2017-02-23,40.389999,40.599998,39.380001,39.709999,38.754723,4138200
288,2017-02-24,39.220001,39.959999,39.060001,39.790001,38.832809,3146600
289,2017-02-27,39.91,41.540001,39.84,41.099998,40.111294,4477500
290,2017-02-28,40.630001,41.049999,40.279999,40.419998,39.447643,3554600
291,2017-03-01,40.889999,41.880001,40.73,41.740002,40.735897,3273300
292,2017-03-02,41.299999,41.900002,40.25,40.290001,39.320782,4117300
293,2017-03-03,40.830002,41.0,40.139999,40.380001,39.408615,2689200
294,2017-03-06,40.110001,40.220001,39.5,39.869999,38.910885,2768300
295,2017-03-07,39.91,40.07,39.139999,39.299999,38.354603,3104600
296,2017-03-08,39.200001,39.630001,37.759998,37.939999,37.027317,7104700
297,2017-03-09,37.540001,38.18,36.810001,37.689999,36.783325,6055000
298,2017-03-10,37.830002,38.009998,37.32,37.84,36.929714,2275000
299,2017-03-13,37.919998,38.119999,37.630001,38.099998,37.183464,3037300
300,2017-03-14,37.389999,37.939999,36.439999,37.759998,36.851643,5228000
301,2017-03-15,38.200001,39.23,37.73,39.130001,38.239326,4157500
302,2017-03-16,39.290001,39.759998,38.630001,39.150002,38.258869,3059200
303,2017-03-17,39.259998,40.290001,39.23,39.310001,38.415222,5460400
304,2017-03-20,38.91,39.349998,38.400002,39.209999,38.317493,2009000
305,2017-03-21,39.299999,39.560001,38.32,38.919998,38.0341,3338700
306,2017-03-22,38.720001,39.130001,38.439999,38.709999,37.828876,3335700
307,2017-03-23,38.48,38.84,38.259998,38.41,37.535706,2544500
308,2017-03-24,38.540001,38.880001,38.290001,38.459999,37.584568,2057400
309,2017-03-27,37.84,38.549999,37.630001,38.419998,37.545471,2854800
310,2017-03-28,38.619999,39.48,38.139999,39.299999,38.405457,2577700
311,2017-03-29,39.200001,40.369999,38.959999,40.34,39.42178,2693100
312,2017-03-30,40.529999,40.900002,40.029999,40.07,39.157921,4451200
313,2017-03-31,40.0,40.490002,39.830002,40.09,39.177475,3201900
314,2017-04-03,40.18,40.330002,39.529999,39.68,38.776802,3095800
315,2017-04-04,39.650002,39.650002,39.0,39.509998,38.610668,4135800
316,2017-04-05,39.889999,40.25,38.959999,39.07,38.180687,3250400
317,2017-04-06,39.43,39.57,39.09,39.400002,38.503178,2174400
318,2017-04-07,39.400002,39.439999,38.869999,38.889999,38.004784,1924800
319,2017-04-10,39.169998,39.360001,38.970001,39.16,38.268646,2317000
320,2017-04-11,39.09,39.169998,38.349998,38.73,37.848419,3796200
321,2017-04-12,38.84,38.970001,37.630001,37.779999,36.920048,6093300
322,2017-04-13,37.66,37.900002,37.459999,37.709999,36.851643,4767900
323,2017-04-17,37.709999,37.790001,37.279999,37.560001,36.705059,2193800
324,2017-04-18,37.220001,37.560001,36.790001,36.900002,36.060081,3092000
325,2017-04-19,37.080002,37.16,35.740002,35.830002,35.014439,4500400
326,2017-04-20,36.060001,36.18,35.540001,35.630001,34.818989,3208000
327,2017-04-21,35.130001,35.240002,34.509998,34.650002,33.861298,6336700
328,2017-04-24,35.049999,35.599998,34.93,35.43,34.623535,3948200
329,2017-04-25,35.57,35.919998,35.299999,35.82,35.004662,4044900
330,2017-04-26,35.57,36.580002,35.57,36.150002,35.32716,3963800
331,2017-04-27,35.5,35.759998,34.130001,34.98,34.183784,5851200
332,2017-04-28,35.25,35.25,34.700001,34.970001,34.174015,2803600
333,2017-05-01,34.869999,35.009998,34.259998,34.259998,33.480164,3356700
