,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,26.16,26.24,25.809999,26.02,22.30596,4495600
1,2016-01-05,26.09,26.18,25.360001,25.4,21.77446,4239200
2,2016-01-06,24.799999,25.1,24.610001,24.690001,21.31686,3794200
3,2016-01-07,24.15,24.459999,23.15,23.370001,20.177204,6396000
4,2016-01-08,23.459999,23.57,22.93,23.0,19.857752,4284500
5,2016-01-11,23.200001,23.209999,22.469999,22.98,19.840479,4001200
6,2016-01-12,23.200001,23.299999,22.299999,22.6,19.512398,4090100
7,2016-01-13,22.76,23.309999,22.379999,22.52,19.443329,6178200
8,2016-01-14,22.65,23.43,22.639999,23.219999,20.047695,5989100
9,2016-01-15,22.33,22.51,21.459999,22.25,19.210217,6811300
10,2016-01-19,22.559999,22.58,21.290001,21.450001,18.51951,5330700
11,2016-01-20,21.17,21.559999,20.66,21.35,18.433174,3787700
12,2016-01-21,21.469999,21.809999,21.110001,21.35,18.433174,3499900
13,2016-01-22,21.790001,22.139999,21.34,21.51,18.571316,3072500
14,2016-01-25,21.559999,21.58,21.18,21.219999,18.320936,3262500
15,2016-01-26,21.26,22.07,21.25,22.030001,19.020275,5272000
16,2016-01-27,21.93,22.24,21.24,21.309999,18.39864,3733200
17,2016-01-28,21.52,21.620001,21.25,21.48,18.545412,4166000
18,2016-01-29,21.66,22.379999,21.389999,21.93,18.933937,5123700
19,2016-02-01,21.690001,21.9,21.379999,21.860001,18.873499,3820000
20,2016-02-02,21.690001,21.959999,21.51,21.559999,18.614489,3855500
21,2016-02-03,22.139999,22.360001,21.32,22.200001,19.167044,3973600
22,2016-02-04,21.76,23.15,21.469999,22.58,19.495132,3617800
23,2016-02-05,22.57,23.08,22.440001,22.639999,19.546936,4058200
24,2016-02-08,22.33,22.59,22.030001,22.35,19.296555,4213800
25,2016-02-09,22.07,22.639999,22.0,22.040001,19.028906,3523300
26,2016-02-10,22.26,22.870001,22.1,22.379999,19.322456,4240700
27,2016-02-11,21.959999,22.040001,21.219999,21.73,18.761257,5544500
28,2016-02-12,21.18,22.059999,20.889999,21.889999,18.899401,5065400
29,2016-02-16,22.08,23.139999,21.879999,23.09,19.935459,5391800
30,2016-02-17,23.209999,23.66,23.16,23.549999,20.332607,5951000
31,2016-02-18,22.969999,24.33,22.9,23.93,20.660698,9829200
32,2016-02-19,23.91,24.799999,23.700001,24.639999,21.273695,7297900
