,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,70.290001,70.900002,69.660004,70.589996,61.494011,1782500
1,2016-01-05,70.860001,71.129997,70.169998,70.690002,61.581112,863800
2,2016-01-06,69.190002,69.580002,68.690002,69.010002,60.117615,1186600
3,2016-01-07,67.370003,68.199997,66.809998,67.18,58.523399,1355300
4,2016-01-08,68.010002,68.010002,65.839996,65.93,57.434483,1275300
5,2016-01-11,66.68,67.599998,65.120003,65.889999,57.399624,1148900
6,2016-01-12,66.769997,66.830002,65.330002,66.309998,57.765518,1332700
7,2016-01-13,66.580002,66.860001,64.599998,64.75,56.40654,2183100
8,2016-01-14,65.389999,66.550003,64.18,65.739998,57.268963,1501700
9,2016-01-15,63.950001,65.769997,63.43,63.779999,55.56152,2596700
10,2016-01-19,64.879997,65.379997,63.48,63.93,55.692188,2274400
11,2016-01-20,63.0,63.0,60.18,61.43,53.514336,4026700
12,2016-01-21,62.040001,62.27,58.98,59.009998,51.406174,3804400
13,2016-01-22,60.59,61.02,59.689999,60.419998,52.634483,3475300
14,2016-01-25,59.939999,60.279999,58.740002,58.790001,51.214508,2032000
15,2016-01-26,59.119999,60.439999,58.860001,59.849998,52.137932,2377600
16,2016-01-27,59.91,61.82,59.34,59.810001,52.103085,2061800
17,2016-01-28,60.299999,60.810001,58.84,59.77,52.068237,1655300
18,2016-01-29,60.119999,62.080002,59.330002,62.080002,54.080578,1834700
19,2016-02-01,61.57,62.02,60.889999,61.25,53.357533,2099400
20,2016-02-02,60.650002,61.880001,58.790001,59.240002,51.606533,2126700
21,2016-02-03,59.880001,59.93,57.450001,59.459999,51.798172,1689500
22,2016-02-04,59.209999,60.470001,59.200001,60.34,52.564785,1551900
23,2016-02-05,60.200001,60.860001,59.84,60.02,52.286026,2103000
24,2016-02-08,59.049999,60.450001,56.970001,57.720001,50.282394,2718800
25,2016-02-09,57.080002,58.360001,56.32,57.990002,50.517601,2300600
26,2016-02-10,58.549999,59.049999,56.869999,56.900002,49.568054,2075700
27,2016-02-11,55.220001,55.93,54.380001,54.5,47.47731,3778100
28,2016-02-12,55.810001,56.939999,54.77,56.849998,49.524498,2089000
29,2016-02-16,57.869999,58.830002,57.32,58.25,50.744083,2177000
30,2016-02-17,58.950001,60.349998,58.950001,59.610001,51.92886,1705100
31,2016-02-18,59.810001,59.810001,58.470001,59.080002,51.467148,1587200
32,2016-02-19,58.610001,59.580002,58.07,59.380001,51.728497,1118100
33,2016-02-22,60.09,61.150002,60.09,60.900002,53.052635,1217100
34,2016-02-23,60.540001,60.57,58.970001,59.740002,52.042103,1654600
35,2016-02-24,58.59,58.849998,56.779999,58.720001,51.153534,1707000
36,2016-02-25,58.77,59.610001,58.259998,59.52,51.850456,1286000
37,2016-02-26,60.0,61.139999,59.330002,60.240002,52.477673,1718700
38,2016-02-29,60.060001,60.52,59.369999,59.380001,51.728497,1075500
39,2016-03-01,60.040001,62.66,60.040001,62.5,54.446457,1841500
40,2016-03-02,61.919998,63.259998,61.59,63.23,55.401512,2184000
41,2016-03-03,63.040001,64.669998,62.049999,64.43,56.452934,1997400
42,2016-03-04,65.089996,66.019997,64.860001,65.660004,57.530647,2079900
43,2016-03-07,64.809998,66.18,64.660004,65.889999,57.732159,1591000
44,2016-03-08,65.010002,65.440002,63.490002,63.959999,56.041122,1809100
45,2016-03-09,64.18,64.75,63.34,63.639999,55.760742,1081800
46,2016-03-10,64.379997,64.559998,62.66,63.599998,55.725697,1390600
47,2016-03-11,64.470001,65.75,63.450001,65.709999,57.574459,1124100
48,2016-03-14,65.419998,65.790001,64.790001,65.449997,57.346661,1058300
49,2016-03-15,64.849998,65.019997,63.869999,65.0,56.952362,1013100
50,2016-03-16,64.709999,65.559998,63.939999,64.690002,56.68074,1007900
51,2016-03-17,64.639999,65.330002,63.849998,65.160004,57.09256,1176500
52,2016-03-18,65.470001,66.540001,64.160004,66.040001,57.863605,1733600
53,2016-03-21,65.830002,66.690002,65.529999,66.129997,57.942448,642600
54,2016-03-22,65.660004,66.470001,65.339996,66.110001,57.924927,648900
55,2016-03-23,65.900002,66.099998,65.410004,65.629997,57.50436,627900
56,2016-03-24,65.010002,65.220001,64.269997,65.220001,57.145126,681300
57,2016-03-28,65.510002,65.93,64.739998,65.059998,57.004932,877200
58,2016-03-29,64.650002,64.970001,63.5,64.970001,56.926067,1272400
59,2016-03-30,65.739998,66.230003,65.25,65.480003,57.372936,782500
60,2016-03-31,65.400002,65.959999,65.0,65.169998,57.101318,891500
61,2016-04-01,64.519997,65.949997,64.089996,65.849998,57.697124,934400
62,2016-04-04,65.870003,66.529999,65.190002,65.68,57.548172,927500
63,2016-04-05,64.910004,65.389999,64.129997,64.559998,56.566837,930600
64,2016-04-06,64.18,65.269997,64.059998,65.18,57.110073,1137500
65,2016-04-07,64.489998,64.489998,62.669998,63.02,55.217495,1402800
66,2016-04-08,63.689999,64.279999,62.970001,63.259998,55.427792,953200
67,2016-04-11,63.669998,64.68,63.490002,63.880001,55.971027,920700
68,2016-04-12,64.080002,65.25,63.990002,65.160004,57.09256,909300
69,2016-04-13,65.620003,67.660004,65.239998,67.610001,59.239223,1204700
70,2016-04-14,65.790001,69.029999,65.790001,67.980003,59.563396,2131500
71,2016-04-15,67.93,68.190002,67.040001,67.580002,59.212936,896000
72,2016-04-18,67.489998,68.459999,67.029999,68.290001,59.83503,1392600
73,2016-04-19,69.050003,71.900002,68.690002,71.839996,62.945503,2271700
74,2016-04-20,71.169998,72.43,70.660004,72.25,63.304729,1924600
75,2016-04-21,72.169998,73.0,71.470001,71.779999,62.892929,2347800
76,2016-04-22,71.660004,72.800003,71.550003,72.360001,63.401119,1780500
77,2016-04-25,72.169998,72.25,71.120003,71.669998,62.796535,1741500
78,2016-04-26,71.989998,72.559998,71.809998,72.470001,63.497509,1335300
79,2016-04-27,72.18,73.0,71.879997,72.269997,63.32225,1733900
80,2016-04-28,71.690002,72.510002,71.309998,71.610001,62.743984,1225500
81,2016-04-29,71.220001,71.720001,70.410004,71.080002,62.279602,1673700
82,2016-05-02,71.75,71.959999,70.769997,71.860001,62.963024,1004700
83,2016-05-03,70.650002,70.650002,69.190002,70.279999,61.578644,1339000
84,2016-05-04,69.529999,70.080002,68.779999,69.330002,60.746269,1490100
85,2016-05-05,69.639999,69.970001,68.800003,68.989998,60.448364,1332500
86,2016-05-06,68.290001,69.290001,68.040001,69.019997,60.474636,1456000
87,2016-05-09,68.980003,69.379997,68.43,68.720001,60.211796,1168800
88,2016-05-10,69.150002,70.32,69.150002,70.279999,61.578644,950800
89,2016-05-11,70.120003,70.669998,69.389999,69.419998,60.825115,1215300
90,2016-05-12,69.959999,70.589996,68.940002,69.459999,60.860172,1064000
91,2016-05-13,69.309998,70.190002,68.260002,68.470001,59.992744,1151500
92,2016-05-16,68.660004,69.410004,68.559998,68.989998,60.448364,696600
93,2016-05-17,68.699997,69.720001,68.209999,68.93,60.395798,1065000
94,2016-05-18,68.959999,71.550003,68.580002,71.529999,62.673885,1607500
95,2016-05-19,71.75,71.800003,70.0,71.0,62.209507,1922100
96,2016-05-20,71.349998,72.389999,71.349998,71.879997,62.980534,1368000
97,2016-05-23,71.730003,72.449997,70.879997,71.32,62.489876,1021300
98,2016-05-24,71.959999,73.0,71.669998,72.629997,63.637695,1106000
99,2016-05-25,73.0,74.209999,72.690002,74.059998,64.890633,1506700
100,2016-05-26,73.889999,74.160004,73.330002,73.769997,64.636559,1273100
101,2016-05-27,74.0,74.290001,73.559998,74.239998,65.048347,1031600
102,2016-05-31,74.639999,74.860001,73.779999,74.099998,64.92569,1413300
103,2016-06-01,72.779999,74.089996,72.589996,74.019997,65.172218,869300
104,2016-06-02,73.57,74.360001,73.449997,74.349998,65.462776,838400
105,2016-06-03,72.839996,72.989998,71.110001,72.32,63.675426,2163500
106,2016-06-06,72.519997,73.709999,72.349998,73.309998,64.547104,1085100
107,2016-06-07,73.489998,73.489998,72.550003,72.610001,63.930771,805300
108,2016-06-08,72.489998,73.07,72.330002,72.68,63.992401,895500
109,2016-06-09,72.239998,72.5,71.300003,71.870003,63.279205,1190600
110,2016-06-10,71.010002,71.5,70.629997,70.980003,62.49559,1528300
111,2016-06-13,70.57,71.519997,70.489998,70.669998,62.222652,1021100
112,2016-06-14,70.459999,71.080002,69.080002,69.43,61.13089,901100
113,2016-06-15,69.57,70.82,69.440002,69.730003,61.395027,1190800
114,2016-06-16,68.900002,69.330002,68.150002,69.279999,60.99881,1410400
115,2016-06-17,69.330002,69.970001,68.849998,69.279999,60.99881,1305800
116,2016-06-20,70.730003,71.050003,69.449997,69.489998,61.183712,1299600
117,2016-06-21,69.580002,69.949997,69.190002,69.529999,61.218933,1130200
118,2016-06-22,69.779999,70.150002,69.330002,69.389999,61.095642,1039300
119,2016-06-23,70.389999,71.540001,70.18,71.540001,62.98867,1225900
120,2016-06-24,68.43,68.43,65.470001,65.5,57.670639,3729500
121,2016-06-27,64.730003,65.0,61.32,61.669998,54.298447,2063600
122,2016-06-28,62.84,63.639999,61.77,63.57,55.971344,2125600
123,2016-06-29,64.360001,65.5,63.66,65.269997,57.468128,2037300
124,2016-06-30,64.739998,66.300003,64.309998,66.260002,58.33979,2474500
125,2016-07-01,65.760002,66.269997,65.199997,65.230003,57.432911,1254200
126,2016-07-05,64.580002,64.68,62.939999,63.549999,55.953739,1293100
127,2016-07-06,62.77,63.529999,61.860001,63.470001,55.883286,1329900
128,2016-07-07,62.959999,64.489998,62.779999,63.52,55.927311,1426800
129,2016-07-08,64.489998,65.400002,64.169998,64.529999,56.816582,1420700
130,2016-07-11,65.440002,66.0,64.75,65.029999,57.256828,1037000
131,2016-07-12,65.790001,66.480003,65.790001,66.290001,58.366207,1134400
132,2016-07-13,66.120003,66.57,65.5,65.870003,57.996422,1183300
133,2016-07-14,67.190002,67.529999,66.669998,66.779999,58.797642,975800
134,2016-07-15,67.32,67.370003,66.57,67.019997,59.008938,964900
135,2016-07-18,67.150002,67.639999,67.089996,67.419998,59.36113,784100
136,2016-07-19,67.370003,67.370003,66.580002,67.110001,59.088207,2290900
137,2016-07-20,67.75,67.75,65.150002,66.470001,58.5247,2774700
138,2016-07-21,67.040001,67.459999,66.459999,66.730003,58.753616,1950800
139,2016-07-22,67.019997,67.190002,66.599998,67.080002,59.061771,924200
140,2016-07-25,66.839996,67.230003,66.739998,67.110001,59.088207,833700
141,2016-07-26,66.949997,68.120003,66.949997,68.080002,59.942249,1449000
142,2016-07-27,68.400002,69.279999,68.239998,68.480003,60.294434,1559900
143,2016-07-28,68.099998,68.309998,67.529999,67.739998,59.642895,1142700
144,2016-07-29,67.379997,67.779999,67.059998,67.589996,59.510811,835200
145,2016-08-01,67.57,68.010002,66.910004,67.089996,59.07058,747200
146,2016-08-02,66.82,67.25,65.919998,66.209999,58.295773,826300
147,2016-08-03,66.349998,67.190002,66.349998,67.010002,59.000156,853900
148,2016-08-04,66.860001,67.169998,66.599998,66.779999,58.797642,839900
149,2016-08-05,67.519997,69.160004,67.160004,69.139999,60.875546,837800
150,2016-08-08,69.300003,69.720001,68.970001,69.199997,60.928371,544700
151,2016-08-09,69.099998,69.82,69.07,69.190002,60.919571,645400
152,2016-08-10,69.010002,69.480003,68.230003,68.360001,60.188789,618600
153,2016-08-11,68.440002,68.830002,68.150002,68.629997,60.426498,515100
154,2016-08-12,67.919998,67.970001,67.510002,67.830002,59.722122,941700
155,2016-08-15,68.040001,68.5,68.0,68.339996,60.171165,899600
156,2016-08-16,67.900002,68.610001,67.779999,68.18,60.030308,892000
157,2016-08-17,68.0,68.480003,67.989998,68.32,60.153557,958100
158,2016-08-18,68.379997,68.550003,68.07,68.279999,60.118336,661100
159,2016-08-19,68.360001,68.82,68.029999,68.57,60.37368,839500
160,2016-08-22,68.220001,68.720001,68.089996,68.629997,60.426498,724500
161,2016-08-23,68.989998,69.239998,68.559998,68.669998,60.461716,620000
162,2016-08-24,68.709999,69.029999,68.190002,68.379997,60.206394,576700
163,2016-08-25,68.400002,68.839996,67.510002,68.830002,60.602596,626600
164,2016-08-26,68.889999,69.580002,68.779999,69.349998,61.06044,888000
165,2016-08-29,69.410004,70.150002,69.410004,69.889999,61.535896,830100
166,2016-08-30,69.800003,70.82,69.790001,70.82,62.354744,861900
167,2016-08-31,70.400002,71.150002,69.970001,70.589996,62.487518,1832700
168,2016-09-01,70.970001,71.660004,69.790001,70.410004,62.328182,1293900
169,2016-09-02,70.540001,71.040001,70.269997,70.650002,62.540615,780700
170,2016-09-06,70.779999,70.790001,69.540001,69.860001,61.841293,866000
171,2016-09-07,69.610001,70.199997,69.43,69.690002,61.690819,729000
172,2016-09-08,69.809998,70.110001,69.510002,69.830002,61.814739,1028600
173,2016-09-09,69.790001,70.230003,68.949997,68.949997,61.035755,1149200
174,2016-09-12,68.860001,69.940002,68.330002,69.720001,61.717377,1211600
175,2016-09-13,68.910004,69.589996,68.25,68.779999,60.885262,835700
176,2016-09-14,68.589996,68.900002,68.059998,68.459999,60.602009,1156000
177,2016-09-15,68.489998,69.510002,68.300003,69.379997,61.416401,637100
178,2016-09-16,68.709999,68.779999,68.110001,68.360001,60.513489,1273000
179,2016-09-19,68.660004,69.459999,68.269997,68.510002,60.646263,871900
180,2016-09-20,68.919998,69.349998,68.559998,68.629997,60.752483,527700
181,2016-09-21,68.849998,69.400002,68.620003,69.160004,61.221661,677000
