,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,8.0725,8.145,8.01,8.0925,7.912141,35807600
1,2016-01-05,8.245,8.36,8.125,8.2225,8.039246,49027200
2,2016-01-06,8.0875,8.125,7.79,7.8825,7.706821,44934400
3,2016-01-07,7.685,7.7375,7.47,7.57,7.401286,64530400
4,2016-01-08,7.6675,7.675,7.3925,7.4075,7.242409,39847200
5,2016-01-11,7.415,7.4725,7.2875,7.42,7.25463,40937200
6,2016-01-12,7.5525,7.655,7.4925,7.545,7.376843,46935600
7,2016-01-13,7.6025,7.6525,7.3075,7.315,7.151971,48167200
8,2016-01-14,7.165,7.25,6.955,7.1675,7.007755,60023600
9,2016-01-15,6.88,6.9625,6.66,6.7775,6.626449,84145200
10,2016-01-19,6.9175,7.1125,6.805,6.8325,6.680223,45714000
11,2016-01-20,6.7025,6.9575,6.6125,6.87,6.716888,48118000
12,2016-01-21,6.945,7.0575,6.8025,6.95,6.795105,48145600
13,2016-01-22,7.0825,7.16,7.0675,7.1125,6.953985,25799600
14,2016-01-25,7.11,7.1925,7.09,7.105,6.94665,27072800
15,2016-01-26,7.12,7.205,7.0475,7.175,7.01509,22794400
16,2016-01-27,7.165,7.1875,6.955,7.09,6.931985,23170000
17,2016-01-28,7.1475,7.1725,6.875,7.0125,6.856212,27677600
18,2016-01-29,7.0725,7.3375,7.045,7.3225,7.159302,31050400
19,2016-02-01,7.315,7.3625,7.2525,7.325,7.161747,28988400
20,2016-02-02,7.25,7.2875,6.965,7.015,6.858657,34190800
21,2016-02-03,7.07,7.1125,6.8875,7.05,6.892876,32677200
22,2016-02-04,7.06,7.2125,6.9825,7.0525,6.89532,34814000
23,2016-02-05,7.005,7.0825,6.5875,6.6075,6.460238,60042800
24,2016-02-08,6.5075,6.54,6.2125,6.305,6.16448,60885200
25,2016-02-09,6.23,6.6375,6.2,6.3725,6.230476,42537200
26,2016-02-10,6.4125,6.5975,6.3225,6.3575,6.21581,33580000
27,2016-02-11,6.195,6.39,6.195,6.325,6.184034,34014400
28,2016-02-12,6.425,6.445,6.1875,6.4325,6.289138,34081600
29,2016-02-16,6.525,6.7575,6.505,6.7475,6.597117,48535200
30,2016-02-17,6.8325,6.98,6.805,6.915,6.760884,77146800
31,2016-02-18,7.4825,7.745,7.475,7.51,7.342625,106866000
32,2016-02-19,7.47,7.6775,7.4125,7.61,7.440396,52562800
33,2016-02-22,7.72,7.9675,7.705,7.88,7.704379,44966800
34,2016-02-23,7.8175,7.975,7.78,7.9,7.723932,36938000
35,2016-02-24,7.8675,7.9675,7.65,7.955,7.777706,33685200
36,2016-02-25,7.985,8.0125,7.83,7.9725,7.794816,34961600
37,2016-02-26,8.01,8.03,7.84,7.92,7.743487,36196400
38,2016-02-29,7.9025,8.005,7.835,7.84,7.693196,32334400
39,2016-03-01,7.86,8.1875,7.8475,8.1875,8.03419,34870000
40,2016-03-02,8.1425,8.265,8.1275,8.235,8.080797,23381200
41,2016-03-03,8.225,8.26,8.0525,8.1625,8.009658,30200400
42,2016-03-04,8.225,8.2325,8.075,8.1375,7.985124,17530400
43,2016-03-07,8.0925,8.1475,7.98,8.085,7.933608,23996800
44,2016-03-08,8.0025,8.05,7.9125,7.9375,7.788869,27494000
45,2016-03-09,8.0075,8.02,7.83,7.9325,7.783963,22278800
46,2016-03-10,7.98,8.025,7.76,7.92,7.771698,28608400
47,2016-03-11,8.0375,8.0575,7.9425,8.055,7.904171,27740000
48,2016-03-14,8.0175,8.1075,7.98,8.075,7.923795,19031200
49,2016-03-15,8.0325,8.085,7.8925,8.035,7.884544,22621600
50,2016-03-16,7.975,8.3025,7.9375,8.275,8.12005,36364400
51,2016-03-17,8.245,8.285,8.0925,8.205,8.05136,35368000
52,2016-03-18,8.3025,8.5625,8.25,8.4525,8.294227,54551200
53,2016-03-21,8.3775,8.48,8.2875,8.4775,8.318758,33778000
54,2016-03-22,8.45,8.5225,8.3575,8.4625,8.30404,24201200
55,2016-03-23,8.5,8.67,8.4625,8.6075,8.446324,42900800
56,2016-03-24,8.53,8.635,8.5025,8.62,8.45859,24495600
57,2016-03-28,8.605,8.745,8.595,8.7075,8.544454,26538800
58,2016-03-29,8.67,8.8675,8.65,8.8475,8.681829,26181200
59,2016-03-30,8.88,9.0625,8.875,8.94,8.772597,37670000
60,2016-03-31,8.98,9.0,8.8375,8.9075,8.740706,37988400
61,2016-04-01,8.8525,9.0425,8.785,9.0375,8.868272,34829200
62,2016-04-04,9.1125,9.16,8.915,8.95,8.782411,39394000
63,2016-04-05,8.87,9.02,8.835,8.9375,8.770143,33956800
64,2016-04-06,8.825,8.955,8.6575,8.95,8.782411,45337600
65,2016-04-07,8.8925,8.9725,8.82,8.8575,8.691646,37810400
66,2016-04-08,8.93,8.9875,8.8275,8.915,8.748064,25593600
67,2016-04-11,8.9675,9.1175,8.94,8.97,8.802037,38752400
68,2016-04-12,9.0,9.0125,8.785,8.96,8.792222,29276400
69,2016-04-13,9.0,9.1875,9.0,9.185,9.01301,35071600
70,2016-04-14,9.16,9.25,9.1225,9.21,9.037543,41656400
71,2016-04-15,9.2075,9.365,9.1775,9.2825,9.108685,43697200
72,2016-04-18,9.265,9.265,9.1525,9.2425,9.069434,30732000
73,2016-04-19,9.2775,9.295,9.02,9.0775,8.907524,30915200
74,2016-04-20,9.0625,9.1675,9.0525,9.1125,8.941869,20017200
75,2016-04-21,9.115,9.1575,9.0625,9.1025,8.932055,17828000
76,2016-04-22,9.1325,9.195,9.0375,9.0675,8.897713,22354000
77,2016-04-25,9.07,9.1625,9.045,9.1125,8.941869,19197200
78,2016-04-26,9.1675,9.2725,9.08,9.12,8.949227,21453600
79,2016-04-27,9.0975,9.3325,9.08,9.3275,9.152843,35239600
80,2016-04-28,9.27,9.325,9.0275,9.05,8.880538,38122400
81,2016-04-29,9.0125,9.0325,8.785,8.8825,8.716174,32190400
82,2016-05-02,8.9675,9.055,8.925,9.0,8.831476,25607600
83,2016-05-03,8.8975,8.935,8.815,8.8925,8.725988,22402400
84,2016-05-04,8.785,8.7925,8.6,8.69,8.527279,52576400
85,2016-05-05,8.7625,8.845,8.6775,8.7425,8.578797,24688400
86,2016-05-06,8.7275,8.855,8.71,8.8325,8.667111,18324000
87,2016-05-09,8.855,8.8925,8.7475,8.82,8.654842,33333600
88,2016-05-10,8.875,9.005,8.79,8.99,8.821661,26967600
89,2016-05-11,9.0175,9.115,8.9675,9.015,8.846192,32817600
90,2016-05-12,9.08,9.12,8.7325,8.8925,8.725988,67054000
91,2016-05-13,9.7975,10.25,9.75,10.245,10.053162,211025600
92,2016-05-16,10.1675,10.7,10.135,10.5475,10.349997,97303200
93,2016-05-17,10.5,10.645,10.365,10.57,10.372076,62839200
94,2016-05-18,10.5,10.9625,10.5,10.84,10.63702,54107200
95,2016-05-19,10.7975,10.965,10.7825,10.8875,10.683632,39888000
96,2016-05-20,10.955,11.1275,10.9375,11.0825,10.874979,39108400
97,2016-05-23,11.13,11.1725,11.0325,11.1,10.892152,41363600
98,2016-05-24,11.105,11.375,11.075,11.34,11.156556,41578800
99,2016-05-25,11.375,11.4225,11.2025,11.2925,11.10982,45807600
100,2016-05-26,11.3125,11.495,11.28,11.4125,11.227883,30996400
101,2016-05-27,11.425,11.4925,11.3875,11.475,11.289371,27741600
102,2016-05-31,11.525,11.705,11.5175,11.68,11.491055,41252400
103,2016-06-01,11.625,11.815,11.59,11.7025,11.513189,38713200
104,2016-06-02,11.765,11.885,11.65,11.785,11.594355,32920800
105,2016-06-03,11.67,11.685,11.415,11.62,11.432025,46107600
106,2016-06-06,11.65,11.74,11.5,11.56,11.372995,32251200
107,2016-06-07,11.63,11.695,11.5775,11.5825,11.395131,19340000
108,2016-06-08,11.585,11.6275,11.45,11.545,11.358237,23461600
109,2016-06-09,11.505,11.8625,11.48,11.845,11.653387,47216800
110,2016-06-10,11.705,11.81,11.535,11.55,11.363159,40002400
111,2016-06-13,11.5625,11.925,11.5625,11.6975,11.508271,47558800
112,2016-06-14,11.67,11.775,11.54,11.72,11.530409,29834400
113,2016-06-15,11.8175,11.9425,11.6875,11.84,11.648464,30103600
114,2016-06-16,11.7525,11.9075,11.6375,11.8875,11.695196,24645600
115,2016-06-17,11.9025,11.905,11.6325,11.68,11.491055,47100000
116,2016-06-20,11.8675,12.0425,11.86,11.89,11.697657,29376800
117,2016-06-21,11.94,11.9725,11.8,11.8175,11.626331,21250800
118,2016-06-22,11.8425,11.92,11.7875,11.8075,11.616492,20262000
119,2016-06-23,11.92,12.135,11.9125,12.1225,11.926395,29788000
120,2016-06-24,11.625,11.84,11.325,11.4325,11.247557,101768400
121,2016-06-27,11.3375,11.425,11.1425,11.31,11.127041,44908800
122,2016-06-28,11.525,11.5375,11.3175,11.475,11.289371,38192000
123,2016-06-29,11.575,11.7525,11.545,11.6625,11.473837,31893200
124,2016-06-30,11.6825,11.825,11.5875,11.7525,11.56238,43094000
125,2016-07-01,11.6875,11.84,11.625,11.665,11.476297,21848800
126,2016-07-05,11.6,11.8575,11.5075,11.8375,11.646004,37108400
127,2016-07-06,11.755,11.9825,11.695,11.9125,11.719793,27310400
128,2016-07-07,11.9925,12.265,11.9375,12.2225,12.024776,39540000
129,2016-07-08,12.3525,12.7725,12.305,12.7125,12.506849,48193200
130,2016-07-11,12.895,13.1,12.88,13.005,12.794621,44877600
