,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,51.139999,51.419998,50.470001,51.18,40.144459,2030700
1,2016-01-05,51.389999,52.43,51.209999,52.290001,41.015121,1944200
2,2016-01-06,51.860001,52.599998,51.860001,52.599998,41.258266,1769000
3,2016-01-07,51.68,52.490002,50.639999,51.689999,40.544491,2146000
4,2016-01-08,51.759998,52.130001,51.099998,51.169998,40.13662,1581900
5,2016-01-11,51.389999,52.540001,51.299999,52.27,40.999432,2261100
6,2016-01-12,52.52,52.59,51.759998,52.43,41.124931,2794900
7,2016-01-13,52.450001,53.169998,51.700001,51.84,40.662144,2608700
8,2016-01-14,51.98,52.779999,51.650002,52.25,40.983746,2713400
9,2016-01-15,51.68,52.290001,51.09,52.189999,40.936684,3406000
10,2016-01-19,52.509998,53.279999,52.299999,53.009998,41.579868,1986700
11,2016-01-20,52.709999,52.84,50.959999,51.869999,40.685692,2865600
12,2016-01-21,52.290001,53.299999,51.720001,52.52,41.195518,1897400
13,2016-01-22,52.990002,54.200001,52.880001,54.040001,42.387787,1816600
14,2016-01-25,54.119999,54.720001,53.610001,53.889999,42.270115,2039100
15,2016-01-26,54.049999,55.360001,54.049999,55.200001,43.297657,2639700
16,2016-01-27,54.990002,55.740002,54.43,55.080002,43.203537,2403500
17,2016-01-28,54.849998,55.52,54.619999,54.869999,43.194859,3329900
18,2016-01-29,55.299999,55.880001,55.009998,55.790001,43.919113,4807600
19,2016-02-01,55.560001,57.200001,55.189999,56.650002,44.596123,3282800
20,2016-02-02,56.73,57.419998,56.32,57.220001,45.044834,2182900
21,2016-02-03,57.41,58.18,57.139999,57.349998,45.147171,3066400
22,2016-02-04,57.209999,57.900002,56.860001,57.48,45.249523,2953900
23,2016-02-05,57.060001,57.25,55.509998,55.889999,43.997826,3205700
24,2016-02-08,55.709999,56.299999,54.82,56.169998,44.21825,2651700
25,2016-02-09,56.0,56.75,55.630001,56.360001,44.367832,2910900
26,2016-02-10,56.5,57.5,56.48,56.779999,44.698475,2440800
27,2016-02-11,56.709999,60.220001,56.689999,60.119999,47.327778,6346600
28,2016-02-12,59.900002,61.259998,59.650002,60.48,47.611179,5543500
29,2016-02-16,60.330002,60.41,58.759998,59.82,47.091621,3678700
30,2016-02-17,60.0,60.57,59.360001,59.810001,47.08374,2873700
31,2016-02-18,59.799999,60.709999,59.52,60.450001,47.587574,2205600
32,2016-02-19,60.259998,61.34,60.049999,60.220001,47.406498,2994400
33,2016-02-22,60.560001,60.689999,59.470001,59.720001,47.012901,2415900
