,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,17.57,17.6,16.790001,17.16,15.86727,9365900
1,2016-01-05,17.200001,17.48,17.1,17.32,16.015215,9787600
2,2016-01-06,17.040001,17.34,16.780001,16.940001,15.663841,7968900
3,2016-01-07,16.25,16.77,16.17,16.219999,14.998085,6469200
4,2016-01-08,16.59,16.74,15.76,15.9,14.70219,10622000
5,2016-01-11,16.049999,16.370001,15.83,16.16,14.942605,9021000
6,2016-01-12,16.33,16.49,15.85,16.23,15.007328,5682000
7,2016-01-13,16.66,17.08,16.27,16.299999,15.072053,13149700
8,2016-01-14,16.299999,16.43,15.77,16.07,14.859383,6004500
9,2016-01-15,15.62,16.139999,15.5,15.94,14.739178,8129600
10,2016-01-19,16.139999,16.27,15.53,15.67,14.489518,5967600
11,2016-01-20,15.36,15.7,14.61,15.57,14.397051,8245400
12,2016-01-21,15.58,16.5,15.5,16.0,14.794655,11470300
13,2016-01-22,16.27,17.02,16.27,16.6,15.349462,9746000
14,2016-01-25,16.549999,16.780001,15.82,15.91,14.711438,9450600
15,2016-01-26,16.0,16.48,15.58,16.33,15.099798,7969000
16,2016-01-27,16.309999,16.5,15.97,16.08,14.868629,8417000
17,2016-01-28,16.530001,16.799999,16.049999,16.389999,15.155276,11110800
18,2016-01-29,16.5,16.870001,16.190001,16.76,15.497404,12647300
19,2016-02-01,16.57,16.82,16.440001,16.51,15.266239,6266600
20,2016-02-02,16.32,16.68,16.120001,16.18,14.961102,7395700
21,2016-02-03,16.41,16.48,15.94,16.379999,15.146031,5757200
22,2016-02-04,16.370001,16.959999,16.370001,16.530001,15.284731,6605600
23,2016-02-05,16.530001,16.73,16.040001,16.23,15.007328,6181300
24,2016-02-08,15.98,16.190001,15.58,15.79,14.600478,7276700
25,2016-02-09,15.55,16.1,15.5,16.0,14.794655,6325400
26,2016-02-10,16.219999,16.6,15.87,16.35,15.118293,5870300
27,2016-02-11,16.049999,16.120001,15.21,15.36,14.202868,7484300
28,2016-02-12,15.55,16.040001,15.55,16.01,14.803904,5444800
29,2016-02-16,16.24,16.68,16.01,16.67,15.414186,5569900
30,2016-02-17,16.809999,16.9,16.41,16.610001,15.358705,4463000
31,2016-02-18,16.65,16.719999,16.26,16.610001,15.358705,4860700
32,2016-02-19,16.48,16.709999,16.309999,16.540001,15.293979,4222700
33,2016-02-22,16.74,17.209999,16.700001,17.200001,15.90426,4933200
34,2016-02-23,17.15,17.290001,16.92,17.15,15.858021,5522400
35,2016-02-24,16.940001,17.18,16.77,17.1,15.811788,6397300
36,2016-02-25,17.120001,17.35,17.040001,17.34,16.033714,4720900
37,2016-02-26,17.440001,17.620001,17.299999,17.389999,16.079947,4178700
38,2016-02-29,17.360001,17.67,17.18,17.190001,15.895007,5239200
39,2016-03-01,17.35,17.68,17.200001,17.52,16.200148,8650500
40,2016-03-02,17.49,17.889999,17.360001,17.870001,16.523783,9080800
41,2016-03-03,17.889999,18.309999,17.809999,18.16,16.791939,4554700
42,2016-03-04,18.15,18.280001,17.77,17.93,16.579266,4190400
43,2016-03-07,17.799999,18.040001,17.700001,17.93,16.579266,4372700
44,2016-03-08,17.76,18.07,17.59,17.799999,16.542088,6646600
45,2016-03-09,17.93,18.120001,17.629999,18.040001,16.765129,5040500
46,2016-03-10,18.09,18.370001,17.65,17.959999,16.690781,4312200
47,2016-03-11,18.120001,18.440001,17.98,18.4,17.099689,4099600
48,2016-03-14,18.370001,18.51,18.17,18.34,17.043928,3011100
