,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,62.009998,62.549999,61.450001,62.349998,53.063107,778000
1,2016-01-05,62.349998,62.669998,61.799999,62.290001,53.012039,744900
2,2016-01-06,61.310001,61.799999,60.400002,60.93,51.854622,844800
3,2016-01-07,59.759998,60.540001,59.060001,59.490002,50.629105,1070900
4,2016-01-08,60.310001,60.970001,58.220001,58.240002,49.565285,1515800
5,2016-01-11,58.549999,60.080002,58.43,59.5,50.637611,1505500
6,2016-01-12,60.23,60.869999,58.41,59.5,50.637611,934200
7,2016-01-13,59.619999,60.130001,57.610001,57.650002,49.063164,991800
8,2016-01-14,57.98,58.57,56.84,58.16,49.497196,687200
9,2016-01-15,56.48,59.080002,56.41,58.459999,49.752522,1443600
10,2016-01-19,59.130001,59.25,56.57,57.34,48.799339,813900
11,2016-01-20,56.41,57.619999,54.0,56.98,48.492966,1109200
12,2016-01-21,56.900002,57.759998,55.830002,55.950001,47.616371,1298500
13,2016-01-22,57.080002,58.150002,56.549999,57.66,49.071678,1673900
14,2016-01-25,53.369999,53.82,49.900002,50.189999,42.714317,3765800
15,2016-01-26,49.869999,52.25,48.73,49.700001,42.297302,3958400
16,2016-01-27,49.470001,51.139999,49.27,49.799999,42.382401,2586700
17,2016-01-28,50.389999,50.540001,48.529999,48.880001,41.599442,1311500
18,2016-01-29,49.009998,50.830002,48.290001,50.830002,43.258995,1702500
19,2016-02-01,50.150002,51.220001,48.93,51.009998,43.412178,1594800
20,2016-02-02,50.279999,50.310001,49.220001,49.91,42.476013,1332400
21,2016-02-03,50.439999,50.889999,48.189999,49.419998,42.05901,1280300
22,2016-02-04,49.290001,50.549999,48.93,50.439999,42.927074,1715100
23,2016-02-05,50.439999,51.169998,50.0,50.639999,43.097286,1272100
24,2016-02-08,50.009998,50.060001,48.900002,49.73,42.322826,1603100
25,2016-02-09,49.110001,50.080002,48.619999,49.84,42.416447,1727800
26,2016-02-10,49.5,50.209999,48.360001,48.82,41.54837,1356300
27,2016-02-11,47.959999,48.419998,45.84,46.07,39.207981,2258300
28,2016-02-12,46.860001,47.43,46.360001,46.599998,39.659039,2192000
29,2016-02-16,47.139999,47.77,46.720001,47.389999,40.331375,1681100
30,2016-02-17,47.830002,48.52,47.700001,47.959999,40.816463,881700
31,2016-02-18,48.240002,48.41,46.779999,47.16,40.135628,1650900
32,2016-02-19,47.040001,47.040001,44.32,45.150002,38.425014,2735100
33,2016-02-22,45.860001,46.040001,45.23,45.720001,38.910114,1609000
34,2016-02-23,45.529999,45.900002,44.919998,45.82,38.99522,1737100
35,2016-02-24,45.380001,47.400002,45.040001,47.290001,40.246258,2227900
36,2016-02-25,47.32,47.799999,46.75,47.459999,40.390938,1251500
37,2016-02-26,47.889999,48.799999,47.709999,48.330002,41.131355,1916100
38,2016-02-29,48.419998,49.02,47.810001,48.5,41.276039,1466000
39,2016-03-01,49.02,50.48,48.73,50.48,42.961117,1754800
40,2016-03-02,50.220001,51.549999,50.029999,50.720001,43.165375,1409000
41,2016-03-03,50.700001,52.52,50.509998,52.439999,44.629185,1340400
42,2016-03-04,52.16,53.310001,52.150002,52.689999,44.841949,1428300
43,2016-03-07,52.48,53.52,52.27,53.43,45.471729,1264600
44,2016-03-08,52.950001,53.040001,51.75,52.619999,44.782375,1420200
45,2016-03-09,52.73,55.110001,52.509998,55.009998,46.816391,2789300
46,2016-03-10,55.369999,55.369999,53.389999,54.360001,46.263206,1267800
47,2016-03-11,54.259998,55.939999,53.869999,55.419998,47.647408,1421400
48,2016-03-14,55.150002,55.959999,55.09,55.110001,47.380878,1604300
49,2016-03-15,54.990002,55.360001,53.700001,54.290001,46.675884,1702700
50,2016-03-16,54.290001,56.16,54.240002,55.900002,48.060085,1277500
51,2016-03-17,56.0,57.580002,55.880001,57.290001,49.255138,957800
52,2016-03-18,57.279999,57.830002,56.450001,57.200001,49.177761,5306100
53,2016-03-21,57.009998,58.5,57.009998,58.259998,50.089092,1147500
54,2016-03-22,57.82,59.009998,57.709999,58.98,50.708111,1151600
55,2016-03-23,58.82,59.459999,58.330002,58.389999,50.200851,1308800
56,2016-03-24,57.860001,58.830002,57.27,58.709999,50.475994,958000
57,2016-03-28,58.91,59.290001,58.189999,58.939999,50.673725,782700
58,2016-03-29,58.619999,60.389999,58.450001,60.189999,51.748417,1266300
59,2016-03-30,60.259998,60.490002,59.099998,59.439999,51.103603,1115300
60,2016-03-31,59.380001,61.0,59.049999,60.400002,51.928959,1278700
61,2016-04-01,60.009998,60.740002,59.380001,60.73,52.212677,999400
62,2016-04-04,60.68,60.939999,60.34,60.450001,51.971947,741900
63,2016-04-05,59.75,60.07,58.439999,58.889999,50.630749,1034600
64,2016-04-06,58.880001,59.919998,58.490002,59.830002,51.438904,896000
65,2016-04-07,59.200001,59.700001,58.650002,58.990002,50.716713,962500
66,2016-04-08,59.560001,60.650002,59.490002,60.18,51.739822,679100
67,2016-04-11,60.119999,60.700001,59.669998,60.060001,51.636639,696100
68,2016-04-12,59.959999,60.939999,59.490002,60.68,52.169693,750600
69,2016-04-13,61.209999,61.84,60.650002,61.77,53.106823,744900
70,2016-04-14,61.740002,61.759998,60.599998,61.189999,52.608166,617500
71,2016-04-15,60.98,62.34,60.380001,62.27,53.53669,986100
72,2016-04-18,61.91,62.849998,61.799999,62.580002,53.803219,669400
73,2016-04-19,62.849998,63.529999,62.290001,63.09,54.241684,735500
74,2016-04-20,62.919998,63.470001,62.650002,62.700001,53.906399,1012600
75,2016-04-21,64.5,67.0,63.75,63.849998,54.895096,1619800
76,2016-04-22,64.25,65.879997,64.050003,65.68,56.468449,950000
77,2016-04-25,66.129997,66.669998,64.690002,65.110001,55.97839,703500
78,2016-04-26,65.449997,66.519997,65.230003,65.93,56.683388,654800
79,2016-04-27,66.139999,66.93,65.599998,66.160004,56.881134,641800
80,2016-04-28,65.519997,66.779999,65.099998,65.849998,56.614594,625100
81,2016-04-29,65.790001,66.400002,64.699997,64.879997,55.780643,1190200
82,2016-05-02,65.260002,66.129997,64.779999,66.120003,56.846737,861600
83,2016-05-03,65.449997,65.709999,64.709999,65.379997,56.210518,719800
84,2016-05-04,65.050003,65.769997,64.129997,64.75,55.668884,806000
85,2016-05-05,64.879997,65.339996,64.370003,64.949997,55.840828,526600
86,2016-05-06,64.82,65.610001,64.769997,65.279999,56.124546,473100
87,2016-05-09,65.050003,66.110001,65.040001,65.599998,56.399677,610300
88,2016-05-10,65.760002,66.809998,65.739998,66.75,57.388374,719500
89,2016-05-11,66.68,67.050003,66.059998,66.160004,56.881134,456300
90,2016-05-12,66.629997,67.18,65.900002,66.330002,57.027287,504800
91,2016-05-13,65.959999,66.379997,65.059998,65.32,56.158936,391300
92,2016-05-16,65.32,66.739998,65.18,66.449997,57.130463,602900
93,2016-05-17,65.970001,65.970001,64.230003,65.080002,55.952606,1443300
94,2016-05-18,64.830002,65.489998,64.199997,64.389999,55.359364,1235500
95,2016-05-19,64.0,64.870003,63.119999,64.129997,55.135834,748300
96,2016-05-20,64.449997,65.209999,63.900002,65.129997,55.995586,813100
97,2016-05-23,65.260002,66.120003,64.93,65.349998,56.184734,675100
98,2016-05-24,65.760002,66.230003,65.480003,65.809998,56.580204,583800
99,2016-05-25,66.309998,67.860001,66.089996,67.610001,58.127762,717000
100,2016-05-26,67.68,67.989998,67.110001,67.540001,58.067585,688000
101,2016-05-27,67.400002,68.410004,67.400002,68.330002,58.746773,616100
102,2016-05-31,68.370003,68.989998,67.800003,68.230003,58.660801,1098700
103,2016-06-01,67.769997,68.959999,67.349998,68.959999,59.288429,640600
104,2016-06-02,68.849998,69.639999,68.489998,69.480003,59.735508,1000100
105,2016-06-03,69.550003,69.68,68.690002,69.260002,59.54636,1328100
106,2016-06-06,69.489998,69.949997,69.089996,69.75,59.967636,959700
107,2016-06-07,70.0,71.300003,69.769997,71.080002,61.111107,1234700
108,2016-06-08,71.220001,71.309998,70.660004,70.809998,60.878956,1063800
109,2016-06-09,70.480003,70.610001,69.550003,69.639999,59.873062,870100
110,2016-06-10,69.07,69.160004,68.360001,69.110001,59.4174,1443400
111,2016-06-13,68.379997,68.550003,65.919998,66.019997,57.216103,1537800
112,2016-06-14,65.900002,65.989998,64.830002,65.690002,56.930111,1050400
113,2016-06-15,66.099998,66.150002,65.25,65.419998,56.696121,1472200
114,2016-06-16,65.089996,65.589996,64.660004,65.550003,56.808788,771100
115,2016-06-17,65.440002,65.830002,64.889999,65.75,56.982109,1307000
116,2016-06-20,66.519997,67.900002,66.519997,67.57,58.559406,1045300
