,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,9.35,9.48,9.3,9.44,7.886036,17834000
1,2016-01-05,9.45,9.51,9.33,9.42,7.869329,16058300
2,2016-01-06,9.26,9.34,9.18,9.26,7.73567,17107900
3,2016-01-07,9.05,9.17,8.96,8.96,7.485053,27113600
4,2016-01-08,9.04,9.1,8.73,8.76,7.317976,23234600
5,2016-01-11,8.84,8.9,8.57,8.68,7.251147,19568600
6,2016-01-12,8.78,8.82,8.52,8.74,7.301267,18781200
7,2016-01-13,8.81,8.83,8.28,8.33,6.958759,27971600
8,2016-01-14,8.38,8.48,8.17,8.36,6.983821,43913000
9,2016-01-15,7.18,8.26,7.08,8.2,6.85016,37304300
10,2016-01-19,8.31,8.4,8.0,8.08,6.749913,29177900
11,2016-01-20,7.86,8.03,7.6,7.9,6.599545,34519400
12,2016-01-21,7.86,8.08,7.78,7.83,6.541066,31909000
13,2016-01-22,7.96,8.1,7.91,7.93,6.624604,17985400
14,2016-01-25,7.87,7.91,7.55,7.57,6.323867,18528400
15,2016-01-26,7.63,7.93,7.63,7.82,6.532712,22821100
16,2016-01-27,7.81,8.18,7.75,7.95,6.641313,28181600
17,2016-01-28,8.08,8.26,7.98,8.01,6.691436,29478000
18,2016-01-29,8.02,8.15,7.96,8.12,6.783329,26117500
19,2016-02-01,8.13,8.15,7.88,7.94,6.632959,24594000
20,2016-02-02,7.78,7.78,7.56,7.63,6.37399,27109100
21,2016-02-03,7.7,7.87,7.34,7.82,6.532712,34311700
22,2016-02-04,7.76,8.1,7.74,7.9,6.599545,22205200
23,2016-02-05,7.95,8.05,7.78,7.8,6.516005,20024500
24,2016-02-08,7.67,7.68,7.37,7.53,6.290453,26654500
25,2016-02-09,7.37,7.7,7.34,7.65,6.390697,26030000
26,2016-02-10,7.7,7.79,7.51,7.51,6.273744,23601200
27,2016-02-11,7.25,7.3,7.0,7.08,5.914527,28325600
28,2016-02-12,7.24,7.63,7.22,7.6,6.348929,32594900
29,2016-02-16,7.76,7.93,7.62,7.84,6.549421,24383700
30,2016-02-17,7.94,8.02,7.76,7.82,6.532712,20674900
31,2016-02-18,7.9,7.9,7.51,7.62,6.365636,24287600
32,2016-02-19,7.59,7.75,7.49,7.65,6.390697,19930100
33,2016-02-22,7.79,7.91,7.77,7.9,6.599545,16755900
34,2016-02-23,7.86,7.9,7.5,7.57,6.323867,19334700
35,2016-02-24,7.4,7.45,7.21,7.42,6.19856,22039600
36,2016-02-25,7.43,7.55,7.35,7.51,6.273744,15091200
37,2016-02-26,7.64,7.87,7.56,7.75,6.474235,19076300
38,2016-02-29,7.71,7.74,7.52,7.52,6.282097,17443400
39,2016-03-01,7.61,7.99,7.59,7.98,6.666375,17608800
40,2016-03-02,8.0,8.17,7.96,8.12,6.783329,16713300
41,2016-03-03,8.11,8.3,8.08,8.28,6.916989,20972500
42,2016-03-04,8.37,8.57,8.29,8.39,7.008882,26469200
43,2016-03-07,8.27,8.43,8.25,8.38,7.000528,14909500
44,2016-03-08,8.27,8.3,7.95,8.05,6.724852,29012400
45,2016-03-09,8.09,8.12,7.83,7.87,6.623853,22307700
46,2016-03-10,8.0,8.09,7.82,7.97,6.708019,23258000
47,2016-03-11,8.07,8.26,8.05,8.24,6.935267,14643700
48,2016-03-14,8.24,8.28,8.1,8.21,6.910017,16257400
49,2016-03-15,8.13,8.13,8.01,8.11,6.82585,13348000
50,2016-03-16,8.13,8.28,7.9,8.02,6.750101,19985800
51,2016-03-17,7.99,8.13,7.82,8.12,6.834267,17728900
52,2016-03-18,8.21,8.32,8.1,8.23,6.92685,30536600
53,2016-03-21,8.23,8.34,8.11,8.21,6.910017,15639300
54,2016-03-22,8.06,8.25,8.04,8.18,6.884767,15599600
55,2016-03-23,8.15,8.18,8.06,8.08,6.800601,13052100
56,2016-03-24,8.02,8.07,7.82,8.06,6.78377,11387600
57,2016-03-28,8.08,8.12,7.96,8.05,6.775351,9218000
58,2016-03-29,7.95,7.95,7.75,7.9,6.649104,22268000
59,2016-03-30,7.94,8.06,7.86,7.9,6.649104,17122400
60,2016-03-31,7.86,7.95,7.79,7.85,6.607019,15297600
61,2016-04-01,7.8,7.89,7.67,7.89,6.640686,15285100
62,2016-04-04,7.87,7.97,7.8,7.87,6.623853,12083400
63,2016-04-05,7.76,7.82,7.66,7.66,6.447104,14743300
64,2016-04-06,7.67,7.82,7.61,7.81,6.573353,19375600
65,2016-04-07,7.68,7.76,7.53,7.6,6.396605,16828900
66,2016-04-08,7.71,7.81,7.63,7.67,6.455522,18383500
67,2016-04-11,7.7,7.88,7.68,7.76,6.531271,23200300
68,2016-04-12,7.83,8.0,7.79,7.97,6.708019,15865800
69,2016-04-13,8.06,8.43,8.04,8.4,7.069931,32141600
70,2016-04-14,8.39,8.63,8.36,8.48,7.137264,35699700
71,2016-04-15,8.89,8.9,8.55,8.74,7.356096,42654700
72,2016-04-18,8.66,8.84,8.57,8.76,7.372929,19793300
73,2016-04-19,8.88,9.0,8.79,8.98,7.558091,27380400
74,2016-04-20,9.0,9.19,8.95,9.16,7.709591,28551200
75,2016-04-21,9.21,9.26,9.12,9.17,7.718009,17329000
76,2016-04-22,9.2,9.42,9.17,9.34,7.861092,22043700
77,2016-04-25,9.28,9.35,9.17,9.3,7.827425,16553800
78,2016-04-26,9.3,9.43,9.23,9.4,7.911592,17023300
79,2016-04-27,9.41,9.63,9.34,9.59,8.071506,31436800
80,2016-04-28,9.47,9.62,9.38,9.42,7.928423,21401200
81,2016-04-29,9.38,9.45,9.26,9.38,7.894758,23878100
82,2016-05-02,9.45,9.48,9.28,9.45,7.953672,18427900
83,2016-05-03,9.3,9.32,9.1,9.24,7.776926,23707300
84,2016-05-04,9.09,9.22,8.92,9.04,7.608593,25300200
85,2016-05-05,9.09,9.15,8.98,9.04,7.608593,16834400
86,2016-05-06,8.95,9.09,8.92,9.08,7.642262,20046400
87,2016-05-09,9.06,9.14,8.98,9.05,7.617013,13770900
88,2016-05-10,9.1,9.26,9.08,9.23,7.768508,13378600
