,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,11.4,11.408889,11.155556,11.244444,10.467934,1022850
1,2016-01-05,11.244444,11.386667,11.2,11.204444,10.430697,647775
2,2016-01-06,11.066667,11.168889,10.866667,11.053333,10.290023,969300
3,2016-01-07,10.848889,10.986667,10.724444,10.791111,10.045908,747225
4,2016-01-08,10.813333,10.888889,10.68,10.72,9.979705,938700
5,2016-01-11,10.751111,10.822222,10.528889,10.702222,9.963158,2004975
6,2016-01-12,11.128889,11.573333,11.111111,11.506667,10.712048,1666350
7,2016-01-13,11.542222,11.573333,11.208889,11.244444,10.467934,1198575
8,2016-01-14,11.266667,11.502222,11.266667,11.395556,10.608612,824625
9,2016-01-15,11.173333,11.342222,10.911111,11.324444,10.542411,1682325
10,2016-01-19,11.488889,11.497778,11.248889,11.337778,10.554823,1244475
11,2016-01-20,11.204444,11.626667,11.062222,11.413333,10.625163,1368450
12,2016-01-21,11.431111,11.497778,11.266667,11.328889,10.546548,807525
13,2016-01-22,11.462222,11.604444,11.4,11.6,10.798936,622350
14,2016-01-25,11.595556,11.662222,11.453333,11.493333,10.699635,463275
15,2016-01-26,11.515556,11.786667,11.506667,11.755556,10.943753,682200
16,2016-01-27,11.88,12.0,11.546667,11.635556,10.832038,867600
17,2016-01-28,11.711111,11.835556,11.586667,11.715556,10.906514,929925
18,2016-01-29,11.733333,12.253333,11.684444,12.244444,11.398878,1791675
19,2016-02-01,12.146667,12.235556,12.044444,12.124444,11.287167,953550
20,2016-02-02,12.04,12.115556,11.968889,12.022222,11.192,695025
21,2016-02-03,12.097778,12.097778,11.84,12.088889,11.254064,673650
22,2016-02-04,12.04,12.182222,11.884444,11.964444,11.138215,834075
23,2016-02-05,11.928889,11.991111,11.595556,11.644444,10.840314,898200
24,2016-02-08,11.595556,11.595556,11.168889,11.333333,10.591109,922050
25,2016-02-09,11.217778,11.386667,10.982222,11.057778,10.3336,1521225
26,2016-02-10,11.128889,11.364444,11.08,11.195556,10.462355,812925
27,2016-02-11,11.044444,11.093333,10.893333,11.044444,10.321139,989775
28,2016-02-12,11.222222,11.6,11.16,11.417778,10.670025,974700
29,2016-02-16,11.542222,11.964444,11.537778,11.924444,11.14351,995400
30,2016-02-17,11.973333,12.031111,11.84,11.968889,11.185044,776700
31,2016-02-18,11.955556,12.048889,11.911111,11.946667,11.164275,873675
32,2016-02-19,11.911111,12.182222,11.893333,12.071111,11.280569,909225
33,2016-02-22,12.168889,12.288889,12.088889,12.182222,11.384405,583200
34,2016-02-23,12.102222,12.28,11.982222,12.031111,11.243192,1266075
35,2016-02-24,11.884444,12.302222,11.831111,12.217778,11.417634,933750
