,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,53.0,54.369999,52.5,54.369999,51.734756,4145700
1,2016-01-05,54.369999,55.169998,54.18,54.73,52.077316,3029200
2,2016-01-06,54.029999,54.529999,53.299999,53.889999,51.27803,2533700
3,2016-01-07,52.970001,55.110001,52.5,53.759998,51.154324,3774700
4,2016-01-08,53.84,53.84,51.959999,52.099998,49.574787,2830900
5,2016-01-11,52.52,52.869999,51.880001,52.59,50.041039,2261900
6,2016-01-12,53.52,54.860001,53.41,54.450001,51.810886,3878800
7,2016-01-13,54.259998,54.27,52.07,52.189999,49.660427,3565100
8,2016-01-14,52.419998,53.369999,51.720001,52.82,50.259888,3212600
9,2016-01-15,51.209999,52.73,51.209999,52.290001,49.755573,3656500
10,2016-01-19,52.889999,53.150002,52.080002,52.580002,50.031509,3279000
11,2016-01-20,51.990002,52.830002,50.419998,52.18,49.650906,4108700
12,2016-01-21,52.32,52.68,51.91,52.23,49.698475,3216200
13,2016-01-22,52.959999,54.27,52.740002,54.139999,51.515911,2638200
14,2016-01-25,54.080002,54.349998,53.400002,53.619999,51.021107,2208400
15,2016-01-26,53.52,54.48,53.200001,54.330002,51.696705,2145000
16,2016-01-27,54.369999,54.82,53.41,53.779999,51.173355,2477000
17,2016-01-28,54.259998,54.43,53.23,53.950001,51.335117,2176800
18,2016-01-29,54.27,56.32,54.0,56.259998,53.533157,3492100
19,2016-02-01,56.259998,57.189999,55.849998,56.759998,54.008923,4299200
20,2016-02-02,56.290001,57.189999,55.689999,56.52,53.780556,3145800
21,2016-02-03,56.779999,56.919998,54.439999,55.099998,52.429379,3431400
22,2016-02-04,54.439999,54.790001,53.349998,54.48,51.83942,4135900
23,2016-02-05,54.209999,54.25,53.009998,53.32,50.735653,4347200
24,2016-02-08,52.669998,53.599998,52.110001,53.330002,50.745171,3809900
25,2016-02-09,52.939999,54.860001,52.779999,54.529999,51.887001,3878400
