Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,94.300003,95.849998,94.070000,95.730003,93.901024,1212200
2020-01-31,95.769997,96.400002,94.559998,95.050003,93.234016,1324700
2020-02-03,95.389999,96.279999,95.309998,95.839996,94.008911,1019700
2020-02-04,96.330002,96.839996,96.190002,96.230003,94.391464,861900
2020-02-05,96.599998,97.080002,96.230003,96.889999,95.038857,1058900
2020-02-06,96.940002,97.180000,96.519997,96.599998,94.754395,1023300
2020-02-07,96.930000,97.540001,96.570000,97.139999,95.284081,1100300
2020-02-10,97.139999,98.040001,97.010002,97.830002,95.960892,1248600
2020-02-11,98.089996,98.440002,97.839996,98.050003,96.176697,956600
2020-02-12,97.730003,98.809998,97.309998,98.470001,96.588669,1101500
2020-02-13,98.239998,99.349998,98.160004,99.010002,97.118355,1080700
2020-02-14,99.190002,100.660004,99.059998,100.430000,98.511223,1450900
2020-02-18,100.459999,100.459999,99.809998,100.269997,98.354279,1133000
2020-02-19,100.489998,100.910004,99.949997,100.040001,98.128677,704800
2020-02-20,99.550003,99.900002,98.470001,99.120003,97.226250,1171900
2020-02-21,99.110001,99.709999,98.820000,99.430000,97.530319,1226500
2020-02-24,98.489998,99.489998,98.089996,98.930000,97.039879,1288500
2020-02-25,99.089996,99.820000,96.940002,97.050003,95.195801,1384300
2020-02-26,97.349998,98.330002,96.839996,96.900002,95.048668,1490600
2020-02-27,96.160004,97.239998,91.330002,91.339996,89.594894,1922600
2020-02-28,90.050003,90.650002,86.959999,90.260002,88.535522,3320300
2020-03-02,90.900002,94.290001,90.389999,94.080002,92.282547,1857400
2020-03-03,94.059998,95.690002,90.800003,91.309998,89.565460,2056100
2020-03-04,93.629997,96.620003,93.519997,96.559998,94.715157,1543100
2020-03-05,94.900002,96.400002,94.070000,94.919998,93.106483,1681800
2020-03-06,92.900002,95.870003,92.000000,95.519997,93.695023,1577700
2020-03-09,91.470001,94.839996,90.000000,92.040001,90.281509,1966400
2020-03-10,93.809998,94.110001,90.000000,93.339996,91.556671,1925900
2020-03-11,91.849998,92.860001,89.930000,91.279999,89.536034,1955700
2020-03-12,84.989998,86.449997,79.580002,79.589996,78.069382,2767700
2020-03-13,82.860001,84.989998,78.800003,84.980003,83.356400,2672500
2020-03-16,76.500000,80.889999,75.680000,76.120003,74.665680,2481900
2020-03-17,77.629997,82.300003,76.699997,81.639999,80.080223,2568900
2020-03-18,78.400002,79.980003,73.809998,75.889999,74.440063,1888800
2020-03-19,75.300003,75.370003,71.910004,74.000000,72.586174,2460500
2020-03-20,73.639999,74.500000,70.519997,71.540001,70.173180,2674200
2020-03-23,70.690002,71.860001,65.370003,66.260002,64.994064,2274300
2020-03-24,68.750000,72.290001,68.430000,71.489998,70.124130,2055200
2020-03-25,71.000000,73.220001,68.129997,71.739998,70.369370,2745400
2020-03-26,72.459999,77.970001,72.000000,77.400002,75.921227,1959200
2020-03-27,74.830002,78.870003,73.930000,75.599998,74.155609,1612700
2020-03-30,77.160004,78.120003,75.099998,76.650002,75.185562,1776400
2020-03-31,75.349998,76.129997,74.209999,75.059998,74.017021,2441700
2020-04-01,72.870003,72.919998,71.320000,72.709999,71.699669,1627300
2020-04-02,71.860001,75.660004,71.800003,75.230003,74.184669,1691100
2020-04-03,74.099998,75.389999,71.699997,72.529999,71.522171,2923900
2020-04-06,74.980003,75.500000,73.750000,74.110001,73.080215,2269500
2020-04-07,76.529999,77.430000,74.769997,74.959999,73.918411,2041200
2020-04-08,75.730003,78.580002,74.820000,78.239998,77.152840,1294800
2020-04-09,78.919998,82.919998,78.919998,81.820000,80.683083,1667900
2020-04-13,81.500000,81.820000,77.680000,78.889999,77.793800,931700
2020-04-14,79.160004,79.889999,78.309998,79.180000,78.079773,1501500
2020-04-15,77.500000,77.959999,75.769997,77.000000,75.930061,1748300
2020-04-16,77.129997,77.750000,75.610001,77.360001,76.285057,1390700
2020-04-17,79.779999,80.580002,78.260002,80.279999,79.164490,1333100
2020-04-20,79.849998,80.089996,77.900002,78.290001,77.202141,998100
2020-04-21,76.690002,77.860001,76.220001,76.570000,75.506035,1210900
2020-04-22,77.559998,78.970001,77.169998,77.870003,76.787979,1740000
2020-04-23,77.849998,78.269997,76.349998,76.500000,75.437019,1435400
2020-04-24,76.809998,76.970001,75.339996,76.099998,75.042564,1332200
2020-04-27,76.870003,79.150002,76.529999,78.620003,77.527550,976800
2020-04-28,80.599998,80.599998,78.559998,78.980003,77.882561,1104900
2020-04-29,80.290001,80.610001,78.519997,79.769997,78.661568,1234600
2020-04-30,78.419998,79.290001,77.250000,78.339996,77.251442,1331300
2020-05-01,77.309998,77.389999,76.320000,77.129997,76.058258,865500
2020-05-04,76.510002,77.440002,76.190002,77.199997,76.127274,1175700
2020-05-05,77.949997,78.320000,77.389999,77.480003,76.403397,1531700
2020-05-06,85.230003,85.230003,78.500000,78.550003,77.458534,2333600
