,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,58.77,58.830002,57.599998,58.259998,52.333645,13521500
1,2016-01-05,58.790001,58.790001,57.98,58.650002,52.683979,9617800
2,2016-01-06,57.700001,58.529999,57.639999,58.130001,52.216873,8266300
3,2016-01-07,56.880001,57.91,56.16,56.689999,50.923355,11140900
4,2016-01-08,57.41,57.73,56.529999,56.630001,50.869453,10427000
5,2016-01-11,57.0,58.119999,56.779999,57.82,51.938408,10757300
6,2016-01-12,58.389999,59.529999,58.18,59.459999,53.411579,12375800
7,2016-01-13,59.799999,60.0,57.799999,57.869999,51.983318,11303600
8,2016-01-14,57.509998,59.43,56.919998,58.98,52.980404,11444100
9,2016-01-15,57.07,58.389999,56.75,58.0,52.100098,15246100
10,2016-01-19,58.669998,59.389999,58.119999,58.549999,52.594151,12289000
11,2016-01-20,57.57,57.959999,54.939999,56.919998,51.129959,22786400
12,2016-01-21,57.84,59.380001,57.669998,59.029999,53.025318,20888500
13,2016-01-22,57.549999,59.400002,57.41,59.169998,53.151077,32820200
14,2016-01-25,59.360001,59.380001,57.610001,57.709999,51.839588,13554300
15,2016-01-26,57.919998,58.869999,57.799999,58.610001,52.648048,8898100
16,2016-01-27,58.869999,58.959999,57.259998,57.630001,51.767735,12491300
17,2016-01-28,58.290001,59.419998,58.0,59.290001,53.258869,11832400
18,2016-01-29,59.779999,60.880001,59.639999,60.77,54.588318,13224400
19,2016-02-01,60.66,61.790001,60.27,61.400002,55.154236,9529100
20,2016-02-02,60.66,60.900002,60.18,60.700001,54.703629,9407400
21,2016-02-03,60.880001,61.130001,58.5,59.529999,53.649216,12254500
22,2016-02-04,59.41,59.450001,57.990002,58.290001,52.531715,13944900
23,2016-02-05,58.099998,58.200001,54.25,54.490002,49.107094,24529000
24,2016-02-08,53.09,54.470001,52.630001,54.139999,48.791676,21457500
25,2016-02-09,53.189999,55.290001,53.169998,54.419998,49.044014,11605100
26,2016-02-10,55.279999,56.349998,55.009998,55.139999,49.692883,11663900
27,2016-02-11,53.889999,55.389999,53.549999,54.919998,49.494621,12106100
28,2016-02-12,55.560001,56.040001,55.040001,55.860001,50.341766,8680200
29,2016-02-16,56.790001,56.849998,55.98,56.41,50.837429,11594800
30,2016-02-17,56.700001,57.66,56.16,57.630001,51.936901,11955200
31,2016-02-18,57.57,57.57,56.669998,56.959999,51.333096,8494000
32,2016-02-19,56.919998,57.860001,56.52,57.669998,51.97295,9033600
33,2016-02-22,58.630001,58.950001,58.169998,58.869999,53.054413,8390700
34,2016-02-23,58.450001,58.900002,58.0,58.459999,52.684921,7064100
35,2016-02-24,57.209999,58.349998,56.279999,58.110001,52.369492,10780900
