,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,69.449997,70.019997,67.959999,69.18,57.191185,9160200
1,2016-01-05,69.339996,69.839996,68.089996,69.5,57.45573,6783600
2,2016-01-06,67.919998,69.400002,67.470001,67.699997,55.967655,11923000
3,2016-01-07,66.230003,67.760002,65.800003,66.190002,54.719349,12041000
4,2016-01-08,66.360001,66.809998,64.889999,65.080002,53.801701,9657900
5,2016-01-11,65.190002,65.470001,63.790001,64.830002,53.595028,8693100
6,2016-01-12,65.949997,66.110001,63.189999,64.739998,53.520622,10189000
7,2016-01-13,65.599998,66.349998,63.509998,63.950001,52.867535,12729900
8,2016-01-14,64.360001,65.349998,61.75,64.68,53.471027,13814700
9,2016-01-15,62.060001,63.830002,61.709999,63.009998,52.090424,14702300
10,2016-01-19,63.16,64.300003,62.049999,62.82,51.933353,11463500
11,2016-01-20,61.400002,62.27,59.599998,61.060001,50.478374,16075400
12,2016-01-21,61.209999,63.470001,60.369999,61.450001,50.800774,12999400
13,2016-01-22,64.519997,66.25,62.970001,65.199997,53.900902,19387700
14,2016-01-25,63.900002,66.129997,63.23,63.299999,52.330177,13865300
15,2016-01-26,64.389999,65.769997,63.419998,65.330002,54.008381,13829900
16,2016-01-27,65.339996,67.129997,64.580002,65.550003,54.190254,12629000
17,2016-01-28,68.230003,69.599998,67.239998,69.510002,57.463985,16450700
18,2016-01-29,69.980003,72.5,69.57,72.269997,59.745693,18255300
19,2016-02-01,71.120003,71.669998,70.040001,71.459999,59.076035,12047100
20,2016-02-02,69.32,69.980003,68.370003,68.839996,56.910091,13600800
21,2016-02-03,70.029999,70.860001,67.639999,70.830002,58.555244,12837100
22,2016-02-04,71.529999,72.870003,70.309998,70.540001,58.315483,10892700
23,2016-02-05,69.739998,70.07,68.089996,68.809998,56.885296,16470500
24,2016-02-08,68.029999,70.260002,67.339996,69.779999,57.687187,12547500
25,2016-02-09,68.910004,69.709999,67.0,67.800003,56.050327,11138200
26,2016-02-10,67.769997,68.949997,67.389999,67.730003,55.992455,8324500
27,2016-02-11,66.300003,69.449997,66.099998,68.830002,56.901836,12122900
28,2016-02-12,68.879997,70.809998,68.769997,70.309998,58.550667,10756300
29,2016-02-16,71.349998,72.239998,70.389999,71.75,59.749832,9571800
30,2016-02-17,72.550003,73.690002,72.169998,72.93,60.732491,10132100
31,2016-02-18,73.730003,73.730003,72.32,72.68,60.5243,8123700
32,2016-02-19,71.970001,72.889999,71.779999,72.870003,60.682522,8339000
33,2016-02-22,73.82,74.629997,73.580002,74.370003,61.931629,7649900
34,2016-02-23,73.879997,74.769997,71.860001,72.080002,60.024639,8201900
35,2016-02-24,70.889999,72.32,70.400002,72.209999,60.1329,7857700
36,2016-02-25,71.93,72.349998,70.650002,72.349998,60.249485,6358300
37,2016-02-26,73.120003,73.610001,72.199997,72.470001,60.349419,6000700
38,2016-02-29,72.349998,73.389999,71.690002,71.720001,59.72485,7726100
39,2016-03-01,72.459999,74.059998,72.279999,74.010002,61.631844,8321000
40,2016-03-02,73.470001,74.440002,72.470001,74.410004,61.964939,8584000
41,2016-03-03,74.040001,74.970001,73.779999,74.849998,62.331364,7811500
42,2016-03-04,75.110001,76.010002,73.809998,74.830002,62.314693,11415900
43,2016-03-07,74.309998,76.160004,73.25,76.160004,63.422268,9614000
44,2016-03-08,75.260002,75.720001,72.68,72.699997,60.540951,8727100
45,2016-03-09,73.75,73.93,72.599998,72.75,60.582584,6966600
46,2016-03-10,72.800003,73.349998,72.120003,73.18,60.940662,7058400
47,2016-03-11,73.900002,75.139999,73.309998,75.0,62.456264,8054500
