,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,29.98,30.01,29.379999,29.940001,26.370943,8771100
1,2016-01-05,29.85,30.280001,29.450001,30.110001,26.520679,7438000
2,2016-01-06,29.83,30.030001,29.48,29.9,26.335716,9158200
3,2016-01-07,29.469999,29.83,29.0,29.120001,25.648699,11194100
4,2016-01-08,29.360001,29.525,28.780001,28.84,25.402073,10400000
5,2016-01-11,29.0,29.030001,28.299999,28.700001,25.278765,11826100
6,2016-01-12,29.059999,29.190001,28.5,28.9,25.45492,8363300
7,2016-01-13,29.82,29.879999,27.52,27.57,24.283468,15222300
8,2016-01-14,27.6,28.280001,26.280001,28.18,24.820755,20004800
9,2016-01-15,27.440001,27.719999,26.99,27.639999,24.345127,14396200
10,2016-01-19,27.799999,28.155001,27.559999,28.030001,24.688633,9772000
11,2016-01-20,27.34,27.91,26.82,27.620001,24.327509,9686700
12,2016-01-21,27.620001,28.25,27.299999,27.73,24.424393,9065900
13,2016-01-22,29.299999,29.440001,28.75,29.059999,25.595846,16868400
14,2016-01-25,29.08,29.25,28.389999,28.48,25.084988,9094400
15,2016-01-26,28.51,28.92,28.32,28.66,25.243528,7516300
16,2016-01-27,28.549999,29.02,28.280001,28.440001,25.049761,8640000
17,2016-01-28,28.5,28.85,27.59,27.99,24.653397,12522100
18,2016-01-29,28.129999,28.43,27.290001,28.42,25.032141,15306500
19,2016-02-01,28.43,28.6,27.93,28.469999,25.076183,6804500
20,2016-02-02,28.23,28.290001,26.969999,27.01,23.790226,15173400
21,2016-02-03,27.040001,27.290001,25.34,26.34,23.200092,24158300
22,2016-02-04,26.26,26.559999,26.0,26.309999,23.173668,16964900
23,2016-02-05,26.34,26.540001,25.0,25.23,22.22241,15336200
24,2016-02-08,24.98,25.09,24.094999,24.48,21.561821,16427000
25,2016-02-09,24.280001,25.32,24.08,25.08,22.090294,13511600
26,2016-02-10,25.190001,25.85,24.959999,25.01,22.028633,7275500
