,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,40.529999,40.669998,40.279999,40.610001,35.087524,5885400
1,2016-01-05,40.630001,40.759998,40.32,40.639999,35.113445,3855100
2,2016-01-06,40.02,40.290001,39.84,40.189999,34.991562,7391200
3,2016-01-07,39.709999,40.23,39.709999,39.790001,34.643307,5704400
4,2016-01-08,39.939999,40.18,39.75,39.799999,34.652004,4311100
5,2016-01-11,39.860001,40.330002,39.810001,40.119999,34.930618,4573400
6,2016-01-12,40.310001,40.709999,40.209999,40.700001,35.435593,4564000
7,2016-01-13,40.700001,40.869999,40.0,40.040001,34.860962,4812900
8,2016-01-14,40.169998,40.41,39.830002,40.130001,34.939327,5017600
9,2016-01-15,39.299999,39.970001,39.169998,39.860001,34.704247,6213600
10,2016-01-19,40.139999,40.310001,39.57,39.959999,34.791309,4386200
11,2016-01-20,39.57,40.0,38.84,39.66,34.530106,4772900
12,2016-01-21,39.799999,39.869999,38.959999,39.400002,34.303753,6134100
13,2016-01-22,39.77,39.77,39.330002,39.59,34.469181,4372000
14,2016-01-25,39.610001,39.639999,38.970001,39.099998,34.042545,6492600
15,2016-01-26,39.169998,39.610001,39.049999,39.25,34.173149,3829700
16,2016-01-27,39.310001,39.599998,39.07,39.310001,34.225391,3412100
17,2016-01-28,39.43,39.759998,39.130001,39.5,34.390816,4967800
18,2016-01-29,39.57,39.959999,39.41,39.810001,34.660721,6410100
19,2016-02-01,41.75,43.349998,41.400002,43.150002,37.568695,19429100
20,2016-02-02,42.52,43.240002,42.349998,42.790001,37.255264,13275900
21,2016-02-03,43.310001,43.560001,42.740002,43.23,37.638351,9384600
22,2016-02-04,43.16,43.740002,43.0,43.439999,37.821182,6663100
23,2016-02-05,43.880001,43.970001,42.950001,43.07,37.499039,7310500
24,2016-02-08,42.75,43.209999,42.560001,43.119999,37.542583,6192900
25,2016-02-09,42.779999,43.150002,42.560001,42.610001,37.098541,6732300
26,2016-02-10,42.950001,43.380001,42.610001,42.709999,37.185608,6945600
27,2016-02-11,42.470001,42.82,42.279999,42.610001,37.098541,4739100
28,2016-02-12,42.77,43.330002,42.57,43.209999,37.620934,4838600
29,2016-02-16,43.279999,43.939999,43.209999,43.759998,38.099792,5512600
30,2016-02-17,43.93,44.529999,43.66,44.380001,38.639599,4533400
31,2016-02-18,44.400002,44.540001,44.080002,44.52,38.761494,4169600
32,2016-02-19,44.360001,45.110001,44.34,44.990002,39.1707,5328900
33,2016-02-22,44.549999,44.880001,42.049999,42.790001,37.255264,16023100
34,2016-02-23,42.849998,43.150002,42.48,42.900002,37.35104,5375400
35,2016-02-24,42.77,43.150002,42.5,43.099998,37.525166,3690300
36,2016-02-25,43.110001,43.709999,43.0,43.560001,37.925667,3631100
37,2016-02-26,43.549999,43.740002,42.77,43.259998,37.664471,3888100
38,2016-02-29,43.349998,44.32,43.09,44.130001,38.421944,6310100
39,2016-03-01,44.59,44.790001,44.360001,44.57,38.805019,4581600
40,2016-03-02,44.43,45.07,44.259998,45.029999,39.205524,3551200
41,2016-03-03,44.799999,45.049999,44.639999,45.0,39.179409,2667300
42,2016-03-04,44.810001,45.34,44.720001,45.02,39.196827,2653000
43,2016-03-07,44.810001,45.18,44.689999,45.09,39.257767,2504800
44,2016-03-08,45.040001,45.389999,44.77,44.869999,39.066216,3167400
45,2016-03-09,44.869999,45.419998,44.790001,45.040001,39.214241,3558600
46,2016-03-10,45.27,45.610001,44.709999,45.099998,39.266472,6682700
47,2016-03-11,45.549999,46.169998,45.43,45.84,39.910751,4269900
48,2016-03-14,45.630001,45.93,45.529999,45.799999,39.875927,3880600
49,2016-03-15,45.599998,46.16,45.509998,45.869999,39.936874,3683800
50,2016-03-16,45.790001,46.169998,45.580002,46.040001,40.084896,2901500
51,2016-03-17,46.080002,46.470001,45.869999,46.110001,40.145836,3563000
52,2016-03-18,46.130001,46.66,46.009998,46.630001,40.598576,9478200
53,2016-03-21,46.41,46.689999,46.279999,46.349998,40.354778,3504800
54,2016-03-22,46.25,46.650002,46.16,46.34,40.346085,3959300
55,2016-03-23,46.169998,46.59,46.09,46.349998,40.354778,2954700
56,2016-03-24,46.240002,46.419998,46.099998,46.240002,40.259026,4348000
57,2016-03-28,46.259998,46.470001,46.139999,46.240002,40.259026,2512700
58,2016-03-29,46.25,46.580002,46.029999,46.459999,40.450569,3694500
59,2016-03-30,46.18,46.779999,46.099998,46.630001,40.871284,2940100
60,2016-03-31,46.619999,46.900002,46.52,46.73,40.958935,3243900
61,2016-04-01,46.57,47.150002,46.419998,47.080002,41.265709,4026500
62,2016-04-04,47.049999,47.150002,46.709999,46.990002,41.186832,2334600
63,2016-04-05,46.919998,47.150002,46.529999,46.700001,40.932632,3600300
64,2016-04-06,46.790001,47.080002,46.529999,46.98,41.178055,3200400
65,2016-04-07,46.799999,47.169998,46.57,46.759998,40.985233,3181700
66,2016-04-08,46.84,47.049999,46.779999,46.939999,41.14299,2207000
67,2016-04-11,47.0,47.240002,46.700001,46.709999,40.941395,2355400
68,2016-04-12,46.639999,47.0,46.639999,46.950001,41.151768,2286700
69,2016-04-13,47.02,47.119999,46.73,47.099998,41.283234,2874000
