,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,20.459999,20.48,20.129999,20.34,19.475462,2379800
1,2016-01-05,20.34,20.6,20.24,20.51,19.638237,2087300
2,2016-01-06,20.129999,20.280001,19.870001,20.040001,19.188215,2162400
3,2016-01-07,19.48,19.879999,19.459999,19.51,18.680744,2072100
4,2016-01-08,19.58,19.65,19.059999,19.110001,18.297741,2237800
5,2016-01-11,19.290001,19.34,18.959999,19.219999,18.403065,1778900
6,2016-01-12,19.48,19.610001,19.190001,19.43,18.604141,2619100
7,2016-01-13,19.440001,19.5,18.860001,18.950001,18.144543,2282600
8,2016-01-14,19.07,19.700001,18.889999,19.41,18.584988,3192500
9,2016-01-15,18.549999,19.049999,18.549999,18.98,18.173269,2289800
10,2016-01-19,19.280001,19.34,18.98,19.190001,18.374344,2175000
11,2016-01-20,19.27,19.610001,18.82,19.41,18.584988,2495000
12,2016-01-21,19.5,19.639999,19.190001,19.35,18.527544,2387400
13,2016-01-22,19.690001,19.98,19.58,19.780001,18.939266,1649900
14,2016-01-25,19.75,19.83,19.389999,19.440001,18.613718,1697100
15,2016-01-26,19.5,19.91,19.379999,19.82,18.977562,2827500
16,2016-01-27,19.780001,20.559999,19.780001,19.940001,19.092464,4176500
17,2016-01-28,21.08,21.08,18.530001,18.99,18.182842,7791800
18,2016-01-29,19.129999,19.76,19.049999,19.43,18.604141,6479700
19,2016-02-01,19.25,19.57,19.09,19.469999,18.642441,3446600
20,2016-02-02,19.200001,19.540001,18.75,18.799999,18.000919,2668800
21,2016-02-03,18.719999,18.92,18.360001,18.540001,17.751972,3537300
22,2016-02-04,18.549999,18.969999,18.51,18.690001,17.895594,2429300
23,2016-02-05,18.559999,18.59,18.25,18.35,17.570047,2223100
24,2016-02-08,18.07,18.209999,17.780001,17.950001,17.187052,2301700
25,2016-02-09,17.77,18.120001,17.700001,17.77,17.0147,2413600
26,2016-02-10,17.84,18.25,17.77,17.93,17.1679,2668800
27,2016-02-11,17.639999,17.83,17.34,17.549999,16.804049,1892600
28,2016-02-12,17.700001,17.76,17.450001,17.719999,16.966825,1447900
29,2016-02-16,17.889999,18.469999,17.889999,18.23,17.455149,2279400
30,2016-02-17,18.370001,18.879999,18.360001,18.719999,17.924316,2142400
31,2016-02-18,18.82,18.940001,18.68,18.790001,17.991348,1954200
32,2016-02-19,18.790001,19.049999,18.74,18.83,18.029644,1660200
