,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,37.52,37.57,36.66,36.970001,30.525414,1655700
1,2016-01-05,36.970001,37.630001,36.950001,37.439999,30.913485,1052300
2,2016-01-06,37.09,37.470001,36.919998,37.169998,30.690546,1234500
3,2016-01-07,36.25,36.75,36.25,36.470001,30.339489,1973900
4,2016-01-08,36.669998,36.75,35.91,35.990002,29.940176,2275100
5,2016-01-11,36.099998,36.75,36.060001,36.400002,30.281258,1608200
6,2016-01-12,36.439999,36.529999,35.75,36.02,29.96513,1936600
7,2016-01-13,36.09,36.549999,35.84,35.990002,29.940176,2057500
8,2016-01-14,36.060001,36.290001,35.439999,35.439999,29.482622,1734800
9,2016-01-15,34.630001,35.860001,34.630001,35.779999,29.765474,1814000
10,2016-01-19,35.84,36.25,35.549999,35.849998,29.823704,1976000
11,2016-01-20,35.59,36.310001,34.189999,34.860001,29.000124,2513500
12,2016-01-21,34.98,35.27,34.5,34.77,28.925253,1540700
13,2016-01-22,35.220001,35.849998,34.959999,35.709999,29.707235,1328000
14,2016-01-25,35.740002,36.080002,35.27,35.41,29.457663,1756400
15,2016-01-26,35.470001,36.549999,35.439999,36.549999,30.406038,1681100
16,2016-01-27,36.509998,36.509998,35.25,35.560001,29.58246,1893200
17,2016-01-28,35.68,35.91,34.91,35.040001,29.149864,1879100
18,2016-01-29,35.360001,35.68,34.75,35.59,29.607414,3071800
19,2016-02-01,35.34,36.610001,35.209999,36.150002,30.073275,2510900
20,2016-02-02,36.279999,36.450001,35.34,35.48,29.515898,2842400
21,2016-02-03,35.860001,36.82,35.599998,36.360001,30.247974,2650700
22,2016-02-04,36.16,37.189999,35.82,36.77,30.58905,2820900
23,2016-02-05,36.77,36.82,34.959999,35.02,29.133224,2092800
24,2016-02-08,34.93,35.810001,33.560001,33.900002,28.201494,2186900
25,2016-02-09,33.59,34.189999,33.349998,33.419998,27.802179,2115900
26,2016-02-10,33.540001,34.299999,33.540001,33.919998,28.218136,1520300
27,2016-02-11,33.32,33.52,32.900002,33.150002,27.577572,1387900
28,2016-02-12,33.41,33.509998,32.91,33.389999,27.777222,2008600
29,2016-02-16,33.82,33.900002,33.32,33.860001,28.168222,2149200
30,2016-02-17,34.029999,34.34,33.630001,33.650002,27.993523,2026100
31,2016-02-18,33.73,34.139999,33.560001,33.900002,28.201494,1453300
32,2016-02-19,33.68,34.400002,33.5,34.16,28.417793,2051800
33,2016-02-22,34.400002,34.830002,34.240002,34.400002,28.617449,927100
34,2016-02-23,34.209999,34.82,33.82,34.240002,28.484343,752100
35,2016-02-24,34.040001,34.139999,33.349998,33.689999,28.026796,1592400
36,2016-02-25,33.950001,34.540001,33.849998,34.529999,28.725594,1668700
37,2016-02-26,34.509998,34.619999,34.110001,34.369999,28.592485,1202500
38,2016-02-29,34.419998,35.09,34.330002,34.330002,28.559216,1744200
39,2016-03-01,34.48,35.650002,34.330002,35.639999,29.649006,1386400
40,2016-03-02,35.509998,36.32,34.619999,36.169998,30.089911,1677900
41,2016-03-03,36.259998,36.549999,35.700001,36.529999,30.389402,1429600
42,2016-03-04,36.41,36.41,34.759998,34.759998,28.916931,53725900
43,2016-03-07,35.18,36.119999,34.98,35.84,29.81539,4356600
44,2016-03-08,35.919998,36.0,35.25,35.380001,29.432716,3223300
45,2016-03-09,35.439999,36.02,35.130001,35.77,29.757153,2387800
46,2016-03-10,36.060001,36.200001,35.240002,35.689999,29.690594,1876700
47,2016-03-11,36.150002,36.43,35.990002,36.419998,30.29789,2252300
48,2016-03-14,36.41,37.099998,36.220001,36.439999,30.314529,1815400
49,2016-03-15,36.389999,37.139999,36.389999,37.060001,30.830311,2033100
50,2016-03-16,36.889999,37.470001,36.810001,37.380001,31.096521,1415900
51,2016-03-17,37.290001,38.209999,37.25,38.099998,31.69548,1965400
52,2016-03-18,38.130001,38.34,37.740002,37.799999,31.445919,5982500
53,2016-03-21,37.599998,37.91,37.290001,37.41,31.121471,1994200
54,2016-03-22,37.259998,37.669998,37.18,37.470001,31.171389,1299900
55,2016-03-23,37.470001,37.619999,37.169998,37.189999,30.938461,1124600
56,2016-03-24,37.07,37.189999,36.740002,37.049999,30.821993,1003400
57,2016-03-28,37.07,37.599998,37.049999,37.509998,31.204662,865900
58,2016-03-29,37.439999,38.150002,37.389999,38.099998,31.69548,1608000
59,2016-03-30,38.240002,38.529999,38.040001,38.25,31.820272,989600
60,2016-03-31,38.209999,38.599998,38.07,38.529999,32.053204,1387400
61,2016-04-01,38.439999,38.57,38.119999,38.380001,31.928413,1165000
62,2016-04-04,38.48,38.610001,38.369999,38.560001,32.078159,1202200
63,2016-04-05,38.330002,38.529999,37.990002,38.200001,31.778681,1280800
64,2016-04-06,38.080002,38.41,37.950001,38.200001,31.778681,1563600
65,2016-04-07,37.759998,37.939999,37.169998,37.700001,31.60681,2102000
66,2016-04-08,37.950001,38.310001,37.630001,37.669998,31.581654,887200
67,2016-04-11,37.310001,37.419998,36.709999,36.720001,30.785208,2307700
68,2016-04-12,36.779999,37.029999,36.48,36.900002,30.93611,1493700
69,2016-04-13,37.16,37.16,36.02,36.110001,30.273788,2067600
70,2016-04-14,35.919998,36.049999,35.200001,35.529999,29.787533,1970200
71,2016-04-15,35.529999,36.389999,35.349998,36.290001,30.424702,1734200
72,2016-04-18,36.290001,36.66,36.09,36.619999,30.701353,1725600
73,2016-04-19,36.630001,36.799999,36.529999,36.790001,30.843893,1623500
74,2016-04-20,36.82,36.880001,35.759998,35.82,30.030664,1570500
75,2016-04-21,35.810001,36.209999,35.380001,35.470001,29.737226,1408000
76,2016-04-22,35.720001,36.029999,35.509998,36.0,30.18157,1704000
77,2016-04-25,35.779999,36.490002,35.740002,36.48,30.583988,1584600
78,2016-04-26,36.5,37.209999,35.720001,36.119999,30.282177,2976300
79,2016-04-27,35.91,36.080002,34.990002,35.32,29.611475,3213700
80,2016-04-28,35.200001,35.73,35.049999,35.220001,29.527636,1832800
81,2016-04-29,34.970001,35.18,34.23,34.919998,29.276115,2588600
82,2016-05-02,34.950001,35.43,34.790001,35.299999,29.594702,1910400
83,2016-05-03,35.130001,35.580002,34.93,35.5,29.762384,2526700
84,2016-05-04,35.290001,36.330002,35.169998,36.169998,30.324093,2034300
85,2016-05-05,36.110001,36.700001,35.970001,36.509998,30.609138,1502800
86,2016-05-06,36.400002,37.009998,36.099998,36.91,30.944494,1413200
87,2016-05-09,37.0,37.27,36.830002,37.220001,31.204382,1005000
88,2016-05-10,37.32,37.66,37.0,37.369999,31.330135,1579100
89,2016-05-11,37.290001,37.290001,36.330002,36.66,30.734898,1494400
90,2016-05-12,36.59,36.919998,36.240002,36.810001,30.860653,1257200
91,2016-05-13,36.740002,36.740002,36.220001,36.279999,30.416309,1775400
92,2016-05-16,36.279999,36.700001,36.130001,36.560001,30.651068,1055700
93,2016-05-17,36.450001,36.450001,35.919998,36.110001,30.273788,1516200
94,2016-05-18,35.98,36.080002,35.240002,35.73,29.955214,1391500
95,2016-05-19,35.369999,35.450001,35.02,35.299999,29.594702,1222900
96,2016-05-20,35.5,35.599998,35.200001,35.52,29.77914,1552100
97,2016-05-23,35.59,35.720001,35.470001,35.630001,29.871363,826700
98,2016-05-24,35.869999,36.279999,35.830002,36.009998,30.189951,1043900
99,2016-05-25,36.16,36.259998,35.689999,36.18,30.332483,909000
100,2016-05-26,35.970001,35.990002,35.369999,35.919998,30.114498,1330400
101,2016-05-27,35.98,36.34,35.669998,36.16,30.315708,1125000
102,2016-05-31,36.150002,36.360001,35.639999,36.029999,30.206713,2061100
103,2016-06-01,35.740002,35.740002,34.900002,35.029999,29.368336,2731700
104,2016-06-02,35.029999,35.169998,34.669998,35.139999,29.460562,1808400
105,2016-06-03,35.34,35.549999,34.080002,34.200001,28.672491,3735200
106,2016-06-06,33.93,34.049999,33.16,33.419998,28.018553,2796000
107,2016-06-07,33.52,33.779999,33.290001,33.419998,28.018553,2517000
108,2016-06-08,33.299999,33.669998,32.970001,33.560001,28.135927,1694300
109,2016-06-09,33.549999,34.02,33.48,33.709999,28.261681,1941600
110,2016-06-10,33.400002,33.77,33.07,33.740002,28.286833,2080700
111,2016-06-13,33.82,34.189999,33.689999,34.060001,28.555115,2555500
112,2016-06-14,34.02,34.189999,33.529999,34.07,28.563501,3036500
113,2016-06-15,34.139999,34.57,33.970001,34.450001,28.882082,1540500
114,2016-06-16,34.360001,34.919998,34.360001,34.900002,29.259361,1920300
115,2016-06-17,34.82,34.869999,34.470001,34.860001,29.225821,2869600
116,2016-06-20,35.09,35.450001,34.779999,34.880001,29.242582,2337700
117,2016-06-21,34.939999,35.25,34.880001,35.189999,29.502487,1221600
118,2016-06-22,35.18,35.529999,35.0,35.330002,29.619856,1873100
119,2016-06-23,35.52,35.990002,35.060001,35.200001,29.51086,1105900
120,2016-06-24,34.209999,35.389999,34.209999,34.75,29.133596,2642200
121,2016-06-27,34.450001,35.02,34.380001,34.849998,29.217432,2392900
122,2016-06-28,35.139999,35.860001,34.82,35.849998,30.055805,3044800
123,2016-06-29,36.209999,36.639999,36.130001,36.419998,30.533688,3659800
124,2016-06-30,36.400002,36.93,36.099998,36.919998,30.952871,1916900
125,2016-07-01,36.919998,37.130001,36.75,36.880001,30.919338,1599000
126,2016-07-05,36.880001,37.490002,36.880001,37.439999,31.388834,1319200
127,2016-07-06,37.290001,37.41,37.099998,37.27,31.246302,1556400
128,2016-07-07,36.830002,36.93,36.349998,36.610001,30.937862,1088600
129,2016-07-08,36.939999,37.220001,36.759998,37.09,31.343483,1580900
130,2016-07-11,37.139999,37.279999,36.630001,37.169998,31.411097,1398700
131,2016-07-12,37.139999,37.419998,36.68,37.41,31.613907,1702400
132,2016-07-13,37.560001,37.650002,37.290001,37.549999,31.732227,1298100
133,2016-07-14,37.619999,37.619999,36.849998,36.970001,31.242079,1630600
134,2016-07-15,36.93,36.93,36.240002,36.450001,30.802649,2683200
135,2016-07-18,36.5,36.57,36.389999,36.470001,30.819546,1518000
136,2016-07-19,36.490002,36.830002,36.349998,36.799999,31.098415,1362700
137,2016-07-20,36.82,36.880001,36.669998,36.84,31.132219,855800
138,2016-07-21,36.700001,36.970001,36.509998,36.900002,31.182926,984800
139,2016-07-22,36.84,37.310001,36.84,37.16,31.402647,1546500
140,2016-07-25,37.310001,37.470001,36.959999,37.09,31.343483,1063300
141,2016-07-26,36.799999,36.810001,36.52,36.619999,30.946304,1857200
142,2016-07-27,36.619999,37.169998,35.43,36.049999,30.464619,2903700
143,2016-07-28,36.060001,36.919998,35.830002,36.560001,30.895607,1839900
144,2016-07-29,36.57,37.580002,36.57,37.23,31.461796,1945700
145,2016-08-01,37.380001,37.810001,37.380001,37.630001,31.799824,1467800
146,2016-08-02,37.43,37.549999,37.049999,37.119999,31.368841,1137900
147,2016-08-03,37.07,37.130001,36.740002,36.990002,31.258984,1702100
148,2016-08-04,37.029999,37.099998,36.75,36.869999,31.157572,1752100
149,2016-08-05,36.82,37.07,36.639999,36.880001,31.166023,1175200
150,2016-08-08,36.889999,37.669998,36.889999,37.5,31.689962,1767400
151,2016-08-09,37.529999,37.68,37.099998,37.560001,31.740679,1656900
152,2016-08-10,37.52,37.709999,36.950001,37.18,31.419544,1545300
153,2016-08-11,37.169998,37.169998,36.470001,36.810001,31.106871,1433700
154,2016-08-12,36.799999,37.310001,36.73,36.810001,31.106871,1018500
155,2016-08-15,36.82,37.25,36.82,36.869999,31.157572,1324300
156,2016-08-16,36.720001,36.82,36.299999,36.48,30.827995,1097400
157,2016-08-17,36.599998,36.66,35.919998,36.360001,30.726589,1916300
158,2016-08-18,36.310001,36.59,36.110001,36.349998,30.718136,1170400
159,2016-08-19,36.259998,36.369999,35.810001,36.060001,30.473074,1669700
160,2016-08-22,36.130001,36.299999,35.900002,36.220001,30.608288,924800
161,2016-08-23,36.369999,36.389999,35.84,35.950001,30.380116,1190500
162,2016-08-24,36.02,36.110001,35.560001,35.779999,30.236452,1283100
163,2016-08-25,35.810001,36.549999,35.759998,36.099998,30.506874,1206900
164,2016-08-26,36.18,36.610001,35.630001,35.860001,30.304049,1024300
165,2016-08-29,35.990002,36.41,35.91,36.169998,30.566025,1395700
166,2016-08-30,36.23,36.279999,35.48,36.049999,30.464619,1830800
167,2016-08-31,36.09,36.299999,35.639999,36.18,30.57448,2373000
168,2016-09-01,36.209999,36.310001,35.869999,36.09,30.498426,1049800
169,2016-09-02,36.130001,36.77,36.080002,36.240002,30.625177,1296900
170,2016-09-06,36.34,36.599998,36.119999,36.59,30.920952,1469200
171,2016-09-07,36.540001,36.84,36.34,36.75,31.056168,1159200
172,2016-09-08,36.610001,36.610001,35.630001,35.639999,30.118145,4290000
173,2016-09-09,35.259998,35.279999,34.380001,34.490002,29.14632,2697800
174,2016-09-12,34.380001,35.240002,34.299999,35.049999,29.61956,2515100
175,2016-09-13,34.830002,34.880001,34.110001,34.200001,28.901247,2215100
176,2016-09-14,34.369999,34.700001,34.150002,34.669998,29.298426,2171800
177,2016-09-15,34.619999,34.91,34.360001,34.869999,29.467442,1679600
178,2016-09-16,34.709999,34.77,34.48,34.689999,29.315332,2631400
179,2016-09-19,34.779999,35.299999,34.75,35.25,29.788567,995900
180,2016-09-20,35.52,35.599998,35.330002,35.43,29.940683,1530700
181,2016-09-21,35.380001,35.939999,34.91,35.860001,30.304049,1285300
182,2016-09-22,36.189999,36.59,36.189999,36.560001,30.895607,1646200
183,2016-09-23,36.43,37.07,36.169998,36.75,31.056168,1369700
184,2016-09-26,36.630001,37.0,36.619999,36.919998,31.199821,1057800
185,2016-09-27,36.959999,37.060001,36.610001,36.650002,30.971661,1175200
186,2016-09-28,36.650002,37.009998,36.470001,36.98,31.25053,1188800
187,2016-09-29,36.790001,36.93,36.330002,36.43,30.785746,1214800
188,2016-09-30,36.709999,36.84,35.970001,35.990002,30.413923,1980200
189,2016-10-03,35.84,35.84,35.09,35.110001,29.670256,1579800
190,2016-10-04,34.970001,35.16,34.369999,34.700001,29.32378,1887300
191,2016-10-05,34.75,34.93,33.779999,33.970001,28.706884,2370800
192,2016-10-06,33.580002,34.139999,33.139999,33.73,28.753777,1921300
193,2016-10-07,33.93,34.310001,33.349998,33.439999,28.50655,1322400
194,2016-10-10,33.459999,33.82,33.439999,33.740002,28.762295,919700
195,2016-10-11,33.599998,33.779999,33.400002,33.66,28.694096,1234300
196,2016-10-12,33.720001,33.849998,33.439999,33.82,28.830488,930200
197,2016-10-13,33.59,34.209999,33.560001,34.169998,29.128859,1286400
198,2016-10-14,34.139999,34.310001,33.709999,33.779999,28.796396,2151000
199,2016-10-17,33.900002,34.07,33.75,33.810001,28.821966,2268100
200,2016-10-18,34.169998,34.200001,33.720001,33.759998,28.779345,984300
201,2016-10-19,33.709999,33.93,33.650002,33.830002,28.839018,1210800
202,2016-10-20,33.860001,34.16,33.630001,33.709999,28.736719,852500
203,2016-10-21,33.509998,33.82,33.459999,33.709999,28.736719,1078900
204,2016-10-24,33.900002,34.200001,33.490002,33.599998,28.642948,995300
205,2016-10-25,33.049999,33.619999,32.790001,33.540001,28.591803,2408500
206,2016-10-26,33.380001,34.34,33.380001,34.23,29.180006,2387300
207,2016-10-27,34.16,34.169998,33.099998,33.560001,28.608852,2540800
208,2016-10-28,33.580002,34.279999,33.52,33.849998,28.856062,1571200
209,2016-10-31,33.93,34.990002,33.93,34.970001,29.810833,2206100
210,2016-11-01,34.889999,35.07,34.290001,34.740002,29.614761,2414200
