,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,32.360001,32.75,32.240002,32.75,26.983772,1295300
1,2016-01-05,32.52,32.830002,32.380001,32.580002,26.843706,1020500
2,2016-01-06,32.0,32.099998,31.48,31.690001,26.110401,1234900
3,2016-01-07,30.92,31.35,30.68,30.809999,25.385345,1412500
4,2016-01-08,31.1,31.23,30.35,30.42,25.064011,1991200
5,2016-01-11,30.59,30.91,29.92,30.24,24.915705,2388300
6,2016-01-12,30.6,30.66,29.68,30.190001,24.874504,2064600
7,2016-01-13,30.51,30.610001,29.15,29.27,24.116489,1756400
8,2016-01-14,29.440001,29.66,28.74,29.48,24.289516,2182500
9,2016-01-15,28.620001,28.85,27.889999,28.42,23.416145,2532800
10,2016-01-19,28.780001,28.940001,27.91,28.17,23.210161,2606500
11,2016-01-20,27.540001,27.68,26.42,27.4,22.575737,2895600
12,2016-01-21,27.42,28.23,27.299999,27.73,22.847633,2634700
13,2016-01-22,28.17,28.620001,27.92,28.02,23.086576,2497900
14,2016-01-25,27.870001,28.09,27.35,27.370001,22.551018,2504100
15,2016-01-26,27.57,28.23,27.57,27.809999,22.913549,1531000
16,2016-01-27,27.620001,28.469999,27.540001,27.75,23.017229,2069300
17,2016-01-28,28.01,28.41,27.74,28.309999,23.481722,2223400
18,2016-01-29,28.389999,28.65,27.860001,28.639999,23.755444,3390300
19,2016-02-01,28.4,28.83,28.139999,28.49,23.631025,2339100
20,2016-02-02,27.950001,27.950001,27.35,27.440001,22.760099,2714600
21,2016-02-03,28.08,28.42,26.27,26.860001,22.279016,3910600
22,2016-02-04,26.690001,27.67,26.690001,27.629999,22.917694,3683000
23,2016-02-05,27.540001,28.120001,27.52,27.68,22.959167,2429500
24,2016-02-08,27.309999,27.309999,26.049999,26.24,21.764765,2732200
25,2016-02-09,25.32,26.299999,25.32,26.17,21.706699,2622100
26,2016-02-10,26.370001,26.67,25.809999,25.83,21.42469,2525300
27,2016-02-11,24.959999,24.969999,23.99,24.07,19.964851,5108100
28,2016-02-12,24.610001,25.33,24.549999,25.139999,20.852367,4805700
29,2016-02-16,26.17,26.620001,25.530001,26.58,22.046774,2832100
30,2016-02-17,26.99,27.73,26.99,27.51,22.818159,3201700
31,2016-02-18,27.639999,27.639999,27.18,27.379999,22.710333,2511000
32,2016-02-19,27.16,27.57,26.68,27.52,22.826456,2098200
33,2016-02-22,27.530001,28.059999,27.530001,28.030001,23.249477,1598600
