,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,93.5,93.5,89.910004,92.419998,87.749344,1571600
1,2016-01-05,92.75,93.239998,92.010002,92.550003,87.87278,745000
2,2016-01-06,91.019997,92.519997,89.75,90.400002,85.831436,1063300
3,2016-01-07,88.529999,90.410004,87.75,88.300003,83.837547,1953200
4,2016-01-08,88.449997,89.290001,85.919998,86.25,81.891129,1276200
5,2016-01-11,86.980003,87.529999,84.68,85.860001,81.520866,2340500
6,2016-01-12,86.730003,88.18,85.660004,86.709999,82.327911,2116300
7,2016-01-13,86.889999,87.239998,82.900002,83.550003,79.327614,1659100
8,2016-01-14,83.669998,85.870003,82.559998,85.309998,80.998642,2195300
9,2016-01-15,82.5,84.400002,81.879997,83.839996,79.602936,1109100
10,2016-01-19,85.099998,85.470001,81.5,82.519997,78.349655,1301600
11,2016-01-20,80.910004,83.150002,78.830002,81.599998,77.476158,1545400
12,2016-01-21,82.089996,83.389999,80.339996,82.239998,78.083809,1004000
13,2016-01-22,83.730003,88.07,83.709999,85.370003,81.055626,1289100
14,2016-01-25,84.650002,85.610001,82.529999,82.889999,78.700951,937400
15,2016-01-26,83.089996,84.279999,82.639999,84.230003,79.973251,773900
16,2016-01-27,84.330002,85.669998,83.129997,83.660004,79.432045,815500
17,2016-01-28,84.660004,85.559998,82.980003,83.239998,79.033272,578900
18,2016-01-29,83.370003,88.970001,83.089996,88.199997,83.742592,1897600
19,2016-02-01,87.540001,88.290001,86.839996,87.07,82.669708,1710900
20,2016-02-02,86.639999,87.839996,85.690002,86.93,82.536797,1965400
21,2016-02-03,88.110001,88.650002,85.199997,88.019997,83.571709,2036400
22,2016-02-04,92.260002,95.440002,91.5,93.769997,89.03109,2703300
23,2016-02-05,93.900002,94.480003,90.400002,93.639999,88.907684,1663100
24,2016-02-08,91.989998,92.18,87.169998,89.220001,84.711067,1785500
25,2016-02-09,88.199997,94.739998,87.379997,91.010002,86.410583,1856100
26,2016-02-10,91.849998,94.25,91.370003,93.080002,88.375992,1757800
27,2016-02-11,91.419998,91.93,88.830002,89.989998,85.442123,1559900
28,2016-02-12,91.610001,92.480003,89.5,92.019997,87.369568,1530200
29,2016-02-16,93.860001,94.080002,91.800003,93.260002,88.546898,1067300
30,2016-02-17,94.389999,97.040001,93.800003,95.339996,90.521759,1319000
31,2016-02-18,94.669998,95.510002,93.709999,94.120003,89.363419,956000
32,2016-02-19,93.779999,95.959999,92.260002,94.879997,90.08503,924200
33,2016-02-22,94.68,96.82,94.68,96.050003,91.388535,872200
34,2016-02-23,95.239998,96.260002,93.949997,94.480003,89.894737,947700
35,2016-02-24,93.669998,97.839996,93.239998,97.349998,92.625443,1514600
36,2016-02-25,97.300003,98.849998,96.059998,97.980003,93.224869,655000
37,2016-02-26,99.269997,99.699997,98.459999,98.730003,93.938477,1049600
38,2016-02-29,98.980003,99.57,98.510002,98.529999,93.748169,970200
39,2016-03-01,99.760002,102.260002,98.279999,101.620003,96.688225,1036900
40,2016-03-02,101.169998,102.489998,100.300003,102.239998,97.278099,1177200
41,2016-03-03,102.5,103.169998,101.230003,102.709999,97.725304,1095500
42,2016-03-04,102.879997,103.370003,101.279999,101.760002,96.821404,1255600
43,2016-03-07,101.32,103.169998,100.879997,103.019997,98.020248,1123800
44,2016-03-08,101.839996,103.050003,100.610001,102.129997,97.173447,1248500
