,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,25.52,26.59,25.32,26.24,18.265478,10992700
1,2016-01-05,26.41,26.68,25.91,26.33,18.328129,12394300
2,2016-01-06,25.540001,25.74,22.9,22.9,15.940526,16953300
3,2016-01-07,22.209999,22.799999,20.6,20.610001,14.346477,12550600
4,2016-01-08,21.059999,21.23,19.469999,20.309999,14.137649,18822000
5,2016-01-11,20.309999,20.49,18.309999,18.690001,13.009978,17669600
6,2016-01-12,18.93,19.219999,15.19,16.540001,11.513378,49491600
7,2016-01-13,16.48,16.540001,12.77,13.61,9.473825,52053600
8,2016-01-14,13.42,18.440001,13.24,18.290001,12.731542,42552100
9,2016-01-15,15.78,18.0,15.62,16.1,11.207096,24055800
10,2016-01-19,16.559999,17.65,15.41,15.78,10.984348,23623400
11,2016-01-20,15.19,15.71,14.13,15.49,10.782479,15921800
12,2016-01-21,15.44,16.790001,15.25,16.040001,11.165333,17366200
13,2016-01-22,16.91,19.85,16.870001,19.74,13.740877,29937000
14,2016-01-25,19.309999,21.790001,18.24,18.309999,12.745461,20556900
15,2016-01-26,18.940001,20.66,18.280001,20.42,14.214218,18496800
16,2016-01-27,20.27,20.43,18.25,19.27,13.413713,24832100
17,2016-01-28,20.41,21.08,19.030001,19.290001,13.427634,17344800
18,2016-01-29,19.450001,19.84,18.58,19.299999,13.434594,14964300
19,2016-02-01,18.889999,19.85,18.110001,19.51,13.580774,14102100
20,2016-02-02,18.85,19.459999,18.5,18.690001,13.009978,10517900
21,2016-02-03,19.02,19.23,16.98,18.41,12.815072,15426500
22,2016-02-04,18.530001,19.110001,17.799999,18.75,13.051744,11564700
23,2016-02-05,18.51,18.57,16.950001,17.120001,11.917113,11478000
24,2016-02-08,14.93,15.0,10.22,11.16,7.768398,62368000
25,2016-02-09,11.26,12.15,11.0,11.98,8.339193,27066200
26,2016-02-10,11.56,13.78,11.29,12.85,8.944795,18373600
27,2016-02-11,12.08,13.98,11.76,13.29,9.251076,16261500
28,2016-02-12,13.6,14.5,13.0,13.47,9.376373,8546300
29,2016-02-16,13.88,15.05,13.81,15.01,10.448356,12197900
30,2016-02-17,15.43,16.0,15.06,15.69,10.9217,9776300
31,2016-02-18,15.72,16.290001,14.81,15.92,11.0818,12024500
32,2016-02-19,15.59,15.75,15.0,15.51,10.796402,8547000
33,2016-02-22,15.95,16.389999,15.64,16.15,11.241899,8700300
34,2016-02-23,16.049999,16.129999,15.41,15.6,10.859053,8999400
35,2016-02-24,15.29,16.700001,14.7,16.629999,11.576027,7289700
36,2016-02-25,15.75,16.85,14.92,16.030001,11.15837,19206600
37,2016-02-26,16.35,16.790001,15.5,15.64,10.886894,10844700
38,2016-02-29,15.75,16.549999,15.55,15.99,11.130526,11488400
39,2016-03-01,16.139999,16.59,15.78,16.549999,11.520339,6202200
40,2016-03-02,16.59,17.24,16.32,17.129999,11.924071,7216400
41,2016-03-03,17.08,18.15,17.07,18.09,12.59232,7095700
