,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,46.939999,47.720001,46.75,47.27,45.514313,2871700
1,2016-01-05,47.509998,48.099998,47.279999,48.009998,46.226826,3116700
2,2016-01-06,47.27,48.349998,47.259998,48.02,46.23645,4670500
3,2016-01-07,46.990002,48.0,46.290001,46.560001,44.830688,4324400
4,2016-01-08,46.939999,47.57,45.650002,45.880001,44.175938,4946100
5,2016-01-11,46.099998,46.34,43.830002,44.580002,42.924229,4306900
6,2016-01-12,43.869999,45.049999,43.25,44.970001,43.29974,7774900
7,2016-01-13,45.25,45.330002,43.029999,43.25,41.643623,4197600
8,2016-01-14,43.34,44.400002,42.66,44.130001,42.490936,4794900
9,2016-01-15,43.0,43.849998,42.77,43.380001,41.76878,4529100
10,2016-01-19,44.110001,44.720001,42.73,43.189999,41.677116,4595000
11,2016-01-20,42.57,44.279999,42.41,43.790001,42.256107,5212900
12,2016-01-21,43.790001,43.919998,42.98,43.080002,41.570972,3777400
13,2016-01-22,43.59,43.82,43.099998,43.400002,41.879757,3397500
14,2016-01-25,43.25,43.77,43.060001,43.200001,41.686764,2364200
15,2016-01-26,43.299999,44.060001,43.150002,43.869999,42.333298,3797500
16,2016-01-27,43.669998,44.360001,42.799999,43.150002,41.638523,3242500
17,2016-01-28,43.400002,43.580002,42.709999,42.84,41.339371,5660400
18,2016-01-29,43.200001,43.360001,42.610001,43.049999,41.542034,7032600
19,2016-02-01,43.0,43.389999,42.509998,42.959999,41.455177,4702400
20,2016-02-02,42.43,42.529999,41.369999,41.720001,40.25861,3441500
21,2016-02-03,41.84,42.0,40.450001,41.310001,39.86298,5145100
22,2016-02-04,41.150002,41.950001,40.93,41.540001,40.084927,3949800
23,2016-02-05,41.32,41.509998,40.610001,40.91,39.476986,4058100
24,2016-02-08,40.400002,40.709999,39.59,40.189999,38.782192,4314300
25,2016-02-09,39.580002,40.959999,39.389999,39.860001,38.463757,6277600
26,2016-02-10,40.169998,40.48,39.25,39.330002,37.95232,6629200
27,2016-02-11,38.98,39.529999,38.259998,39.360001,37.981285,8058200
28,2016-02-12,39.810001,40.48,39.209999,40.43,39.013794,6734700
29,2016-02-16,41.66,41.869999,39.73,40.43,39.013794,5614300
30,2016-02-17,40.779999,42.0,40.470001,41.799999,40.3358,7226900
31,2016-02-18,41.560001,42.369999,41.529999,42.02,40.548111,5350400
32,2016-02-19,42.07,42.23,41.400002,41.830002,40.364758,3844500
33,2016-02-22,42.119999,42.830002,41.790001,42.77,41.271828,3476600
34,2016-02-23,42.580002,43.200001,42.290001,42.369999,40.885834,2499000
35,2016-02-24,41.939999,42.419998,41.25,42.369999,40.885834,3086800
36,2016-02-25,42.369999,42.919998,41.790001,42.900002,41.397282,4135900
37,2016-02-26,42.990002,43.34,42.220001,42.360001,40.876194,2654300
38,2016-02-29,42.099998,42.169998,41.049999,41.060001,39.621723,3550500
39,2016-03-01,41.490002,42.139999,40.880001,42.099998,40.625301,5280700
40,2016-03-02,41.91,42.18,41.509998,41.720001,40.25861,2507700
41,2016-03-03,41.720001,41.849998,40.700001,41.080002,39.641026,4473700
42,2016-03-04,41.080002,41.32,40.619999,40.799999,39.370834,3557900
43,2016-03-07,40.599998,41.43,40.459999,41.200001,39.756824,3540500
44,2016-03-08,40.84,41.139999,40.16,40.23,38.820793,3266300
45,2016-03-09,40.549999,40.599998,39.84,40.459999,39.042744,4083700
46,2016-03-10,39.919998,40.610001,39.349998,39.91,38.512012,7999500
47,2016-03-11,40.200001,41.91,40.02,41.869999,40.403351,5890900
48,2016-03-14,41.630001,41.709999,41.07,41.310001,39.86298,3338500
49,2016-03-15,41.060001,41.09,39.970001,40.720001,39.293636,7034600
50,2016-03-16,40.860001,40.860001,40.099998,40.459999,39.042744,5147400
51,2016-03-17,40.490002,40.669998,39.52,39.720001,38.328667,7288100
52,2016-03-18,39.919998,41.040001,39.799999,40.860001,39.428741,5812800
53,2016-03-21,40.91,42.029999,40.880001,41.619999,40.162117,5461700
54,2016-03-22,41.59,42.889999,41.59,42.75,41.252525,7592600
55,2016-03-23,42.799999,42.84,42.150002,42.639999,41.146389,5261500
56,2016-03-24,42.27,43.060001,42.130001,42.48,40.991985,4796600
57,2016-03-28,42.490002,42.639999,41.970001,42.18,40.702503,2038300
58,2016-03-29,42.0,43.139999,41.860001,43.119999,41.60957,2763500
59,2016-03-30,43.240002,44.380001,43.23,44.02,42.478039,5311700
60,2016-03-31,43.400002,44.549999,43.25,44.330002,42.777184,6326700
61,2016-04-01,44.02,45.060001,43.970001,44.990002,43.414074,4549300
62,2016-04-04,45.099998,46.040001,45.029999,45.759998,44.157101,5400600
63,2016-04-05,45.259998,45.98,45.009998,45.849998,44.335983,6004300
64,2016-04-06,45.799999,47.599998,45.700001,47.27,45.709099,6180800
65,2016-04-07,46.959999,47.240002,46.830002,47.189999,45.631737,5865600
66,2016-04-08,47.360001,47.459999,46.540001,46.939999,45.389984,4872700
67,2016-04-11,47.0,47.040001,46.48,46.669998,45.128899,3962100
68,2016-04-12,46.84,47.119999,46.599998,47.009998,45.457676,3634800
69,2016-04-13,47.150002,47.5,46.950001,47.5,45.931503,3295700
70,2016-04-14,47.27,47.959999,47.119999,47.669998,46.095882,3065300
71,2016-04-15,47.75,48.139999,47.57,48.110001,46.521358,3189400
72,2016-04-18,47.98,48.779999,47.77,48.57,46.966167,3033300
73,2016-04-19,48.689999,49.099998,48.360001,48.560001,46.956497,2426200
74,2016-04-20,48.560001,48.720001,47.889999,48.470001,46.869461,2702100
75,2016-04-21,48.419998,48.830002,48.040001,48.439999,46.840454,2998900
76,2016-04-22,48.540001,48.950001,48.18,48.639999,47.033852,2117600
77,2016-04-25,48.34,48.360001,47.209999,47.32,45.757446,5239600
