Stock,Stability Coefficient (high),Variance (high),Stability Coefficient (close),Variance (close)
F,7.484946034882958,4.7202639199999945,7.602444492452799,4.765184426677269
TM,3.3586173824782777,137.6066141868254,3.3633023968846945,136.72539816206253
GM,5.4066303523772,29.537725802817544,5.480046179151242,29.638994283419596
HMC,3.7322218061006986,8.9911648183354,3.7704993379716383,9.079348732536374
TSLA,46.33944202052044,23417.44171803229,46.31998629984958,22437.08220543182
NIO,31.44512564544008,216.5679591460303,31.50122847580695,202.14445205515742
RACE,14.509678698539158,2454.5912398066353,14.502252330866082,2410.3709811059903
VWAGY,2.1956689708543466,4.269304580122091,2.2709228094311738,4.496309492693351
BTC-USD,38.288246037344415,37919349.35254928,37.9931686472961,35568841.25265589
ETH-USD,43.170857631662535,74682.18942182904,42.76907041895735,68513.11471058358
LTC,4.010750490456575,25.61352187629046,4.145973284532765,26.815124020923545
DOGE-USD,50.86582341965737,9.594275516730666e-06,41.75990402479391,5.978776687328575e-06
M,15.617271777461106,121.49903890742911,15.758257327503566,119.47292659642757
